Score, Predict
0.80, 28.10
0.43, 30.80
1.00, 30.72
0.00, 31.35
1.00, 27.65
0.00, 17.99
0.00, 4.66
0.86, 32.57
0.30, 27.17
1.00, 30.91
1.00, 29.75
0.50, 24.06
0.71, 4.42
0.86, 6.14
0.25, 13.07
1.00, 32.08
0.00, 5.65
1.00, 30.00
1.00, 26.66
0.86, 28.38
0.62, 24.35
0.60, 26.70
0.90, 28.88
0.00, 26.29
0.57, 26.04
0.86, 31.32
1.00, 28.89
0.86, 30.13
0.89, 30.01
0.00, 2.66
1.00, 32.75
1.00, 33.23
0.71, 32.27
1.00, 29.66
0.40, 9.07
0.62, 31.30
1.00, 30.35
0.00, 7.46
1.00, 28.48
0.33, 28.38
1.00, 30.38
0.75, 24.73
0.88, 21.27
0.62, 26.16
0.90, 26.19
0.89, 34.43
1.00, 31.60
0.10, 22.18
0.00, 27.33
1.00, 32.13
1.00, 28.43
1.00, 35.87
0.80, 25.60
0.12, 1.82
1.00, 31.24
0.88, 30.07
1.00, 32.39
1.00, 22.64
0.90, 28.14
1.00, 28.90
0.57, 2.38
1.00, 27.43
0.88, 27.36
0.00, 3.14
1.00, 29.56
0.00, 1.63
1.00, 33.80
1.00, 32.12
0.78, 24.42
1.00, 5.74
0.80, 24.50
1.00, 32.14
0.29, 27.63
1.00, 24.44
1.00, 28.59
0.00, 19.65
1.00, 27.38
1.00, 28.43
0.10, 19.38
0.90, 26.81
1.00, 23.20
1.00, 29.32
0.38, 18.44
0.14, 2.38
1.00, 30.37
0.90, 29.77
1.00, 28.25
0.22, 23.70
1.00, 30.00
0.86, 21.90
1.00, 30.09
1.00, 30.29
1.00, 28.75
1.00, 24.88
1.00, 31.94
0.00, 8.10
1.00, 28.01
1.00, 24.02
0.00, 28.00
0.86, 31.71
0.89, 29.76
1.00, 30.01
0.12, 22.90
1.00, 28.90
0.67, 24.05
0.67, 27.83
0.89, 25.04
0.50, 8.48
0.12, 6.03
1.00, 29.20
0.56, 20.05
1.00, 22.00
1.00, 29.87
1.00, 27.89
1.00, 29.88
1.00, 33.59
1.00, 31.91
1.00, 27.90
1.00, 31.71
0.86, 31.28
0.14, 21.53
0.86, 29.27
0.12, 7.29
0.00, 4.40
0.00, 3.14
0.00, 4.58
1.00, 29.36
1.00, 32.82
0.88, 27.75
0.29, 31.84
1.00, 30.12
0.00, 5.28
1.00, 31.67
1.00, 30.17
1.00, 32.61
0.00, 19.51
0.25, 26.07
0.00, 23.72
1.00, 28.71
0.80, 25.72
0.29, 11.95
1.00, 22.39
1.00, 33.41
1.00, 28.69
0.00, 1.47
0.29, 14.75
0.62, 4.81
1.00, 26.10
1.00, 30.33
1.00, 28.30
1.00, 25.94
1.00, 30.01
0.44, 27.35
0.78, 31.64
0.80, 7.63
1.00, 25.72
0.88, 31.99
0.00, 18.25
1.00, 29.16
1.00, 25.16
0.00, 5.60
1.00, 29.46
1.00, 27.93
0.60, 23.77
1.00, 26.32
0.00, 24.58
1.00, 28.32
0.71, 11.24
1.00, 29.59
0.00, 2.41
1.00, 31.77
1.00, 25.83
0.00, 27.69
1.00, 34.65
0.70, 24.32
1.00, 14.21
1.00, 30.72
1.00, 32.66
0.60, 14.95
0.86, 29.72
1.00, 29.28
1.00, 29.60
1.00, 31.75
1.00, 22.81
0.90, 19.08
0.43, 6.24
0.80, 26.49
1.00, 30.07
1.00, 29.25
1.00, 25.65
0.86, 32.43
1.00, 27.93
1.00, 29.80
1.00, 30.64
0.50, 31.26
1.00, 32.42
0.88, 29.99
1.00, 22.47
1.00, 29.77
1.00, 28.14
0.44, 26.16
1.00, 25.40
0.88, 28.82
0.71, 34.01
1.00, 23.85
0.40, 23.58
1.00, 31.79
0.00, 3.62
1.00, 22.42
0.88, 30.28
0.00, 2.80
