Score, Predict
0.71, 0.56
1.00, 1.00
0.86, 0.99
0.00, 0.55
0.70, 0.99
0.62, 0.98
0.25, 0.57
0.00, 0.68
1.00, 0.96
1.00, 0.99
0.00, 0.84
0.00, 0.55
0.14, 0.90
0.29, 0.56
1.00, 1.00
1.00, 0.96
0.10, 0.62
1.00, 1.00
1.00, 1.00
0.25, 0.99
1.00, 0.99
1.00, 0.99
1.00, 0.99
1.00, 1.00
0.00, 0.55
0.00, 0.55
1.00, 0.98
0.89, 0.99
1.00, 1.00
1.00, 1.00
0.29, 0.95
1.00, 0.97
1.00, 1.00
1.00, 0.96
0.40, 0.99
1.00, 0.99
0.86, 1.00
1.00, 0.97
0.00, 0.79
1.00, 0.99
0.86, 0.99
1.00, 0.93
1.00, 0.98
0.00, 0.77
1.00, 0.96
0.00, 0.63
0.00, 0.57
0.00, 0.55
0.00, 0.92
0.00, 0.55
1.00, 0.96
1.00, 0.97
0.88, 0.98
1.00, 0.99
1.00, 0.99
1.00, 1.00
1.00, 1.00
0.88, 1.00
0.00, 0.65
1.00, 0.68
0.00, 0.55
0.33, 0.70
1.00, 0.99
0.00, 0.79
1.00, 0.99
1.00, 0.98
1.00, 1.00
0.56, 0.96
0.90, 0.97
1.00, 0.99
0.88, 0.99
1.00, 1.00
0.00, 0.56
0.00, 0.78
1.00, 0.99
1.00, 0.99
0.88, 0.99
1.00, 0.94
0.88, 1.00
1.00, 0.98
0.00, 0.76
0.60, 0.99
0.00, 0.83
1.00, 0.76
1.00, 0.99
0.00, 0.55
1.00, 0.94
1.00, 0.99
1.00, 0.99
1.00, 0.98
0.00, 0.55
0.00, 0.55
0.71, 0.59
0.71, 0.83
1.00, 0.99
0.00, 0.55
1.00, 0.98
1.00, 0.99
1.00, 0.99
1.00, 0.98
1.00, 1.00
1.00, 0.83
1.00, 0.98
1.00, 0.96
1.00, 0.99
1.00, 0.99
0.89, 0.96
0.78, 0.84
1.00, 0.99
1.00, 0.99
1.00, 1.00
1.00, 0.99
1.00, 1.00
0.00, 0.55
0.78, 0.98
0.90, 0.92
0.71, 0.65
0.89, 0.98
1.00, 0.99
0.86, 0.99
0.00, 1.00
1.00, 0.99
1.00, 0.98
0.80, 0.96
0.00, 0.55
0.00, 0.55
0.33, 0.75
0.88, 1.00
0.80, 0.97
1.00, 1.00
1.00, 1.00
0.00, 0.55
1.00, 1.00
1.00, 0.99
0.71, 0.90
0.00, 0.55
0.14, 0.55
0.00, 0.55
1.00, 0.94
0.43, 0.55
0.30, 0.78
1.00, 0.99
0.62, 0.88
1.00, 0.90
1.00, 0.99
1.00, 0.97
1.00, 0.99
0.00, 0.88
1.00, 1.00
0.86, 0.85
0.00, 0.80
1.00, 0.93
1.00, 1.00
1.00, 0.99
1.00, 0.96
0.86, 0.98
0.00, 0.98
0.00, 0.55
1.00, 0.99
0.40, 0.96
1.00, 1.00
0.00, 0.55
0.86, 0.75
0.86, 0.98
0.25, 0.99
0.25, 0.95
1.00, 0.95
0.88, 1.00
0.25, 0.99
0.12, 0.55
1.00, 0.95
1.00, 1.00
1.00, 0.97
0.71, 0.95
0.00, 0.55
1.00, 0.96
0.50, 0.85
1.00, 0.96
0.00, 0.55
0.86, 0.72
0.90, 0.93
1.00, 0.99
0.90, 0.98
0.71, 0.86
1.00, 0.98
0.43, 0.87
1.00, 0.99
1.00, 1.00
0.71, 0.99
0.00, 0.55
1.00, 0.97
0.43, 0.97
1.00, 0.99
0.00, 0.55
0.00, 0.55
0.88, 0.98
0.00, 0.99
1.00, 0.99
0.00, 0.68
0.44, 0.86
1.00, 0.99
0.00, 0.55
1.00, 0.99
0.89, 0.78
0.30, 0.55
1.00, 0.99
1.00, 0.99
1.00, 1.00
0.00, 0.84
0.90, 1.00
0.25, 0.92
0.86, 0.97
1.00, 0.99
1.00, 1.00
0.60, 1.00
0.86, 0.76
1.00, 0.99
1.00, 0.98
1.00, 0.97
1.00, 1.00
0.86, 1.00
1.00, 0.98
0.86, 1.00
0.30, 0.55
0.80, 0.99
1.00, 0.99
0.60, 1.00
1.00, 1.00
0.00, 0.55
0.90, 1.00
1.00, 0.99
0.00, 0.55
0.00, 0.55
0.12, 0.87
1.00, 1.00
1.00, 0.97
1.00, 0.94
0.12, 0.55
0.00, 0.97
1.00, 0.98
1.00, 1.00
0.90, 1.00
1.00, 0.94
1.00, 0.83
0.57, 0.55
1.00, 1.00
1.00, 0.99
1.00, 0.98
0.80, 0.65
0.88, 0.99
0.00, 0.99
1.00, 0.98
1.00, 0.98
0.00, 0.55
1.00, 1.00
0.90, 0.97
0.12, 0.55
1.00, 1.00
1.00, 0.99
0.20, 0.55
1.00, 1.00
0.80, 0.85
1.00, 0.94
1.00, 1.00
0.44, 0.80
0.78, 0.99
0.71, 0.75
1.00, 0.96
1.00, 0.98
1.00, 0.99
1.00, 0.98
0.38, 0.55
0.00, 0.55
0.00, 0.55
1.00, 0.99
0.43, 0.87
0.62, 0.96
0.70, 0.99
0.86, 0.76
0.90, 0.98
1.00, 1.00
1.00, 1.00
0.20, 0.73
1.00, 1.00
1.00, 0.99
1.00, 0.99
1.00, 0.99
1.00, 1.00
0.44, 0.99
0.40, 0.95
1.00, 0.99
0.00, 0.55
1.00, 0.95
1.00, 0.99
0.89, 0.99
1.00, 1.00
1.00, 0.91
0.88, 0.98
1.00, 0.93
1.00, 1.00
0.00, 0.55
0.00, 0.55
0.86, 0.94
0.00, 0.55
1.00, 1.00
1.00, 1.00
0.75, 0.98
0.29, 0.64
0.29, 0.79
0.00, 0.55
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.60, 0.97
0.60, 0.97
0.88, 0.98
0.62, 0.96
0.80, 0.97
1.00, 0.84
1.00, 1.00
0.29, 0.95
0.88, 0.99
1.00, 0.99
0.71, 0.89
0.10, 0.98
1.00, 0.98
1.00, 0.99
1.00, 0.95
1.00, 0.98
0.86, 1.00
1.00, 1.00
1.00, 0.96
0.90, 0.97
0.00, 0.83
0.78, 0.98
1.00, 0.97
0.75, 1.00
0.70, 0.94
0.43, 0.55
0.60, 0.85
0.90, 0.99
0.80, 1.00
0.88, 0.99
0.11, 0.55
1.00, 0.99
0.00, 0.55
0.86, 0.57
