Score, Predict
0.25, 0.94
0.00, 0.19
0.00, 0.94
0.00, 0.15
0.86, 0.93
0.00, 0.16
1.00, 1.00
1.00, 0.53
1.00, 0.96
0.86, 1.00
1.00, 0.98
1.00, 0.99
0.00, 0.16
1.00, 0.98
0.86, 0.98
0.22, 0.87
1.00, 0.98
0.00, 0.14
0.00, 0.23
0.90, 0.96
1.00, 0.98
1.00, 0.98
1.00, 0.99
1.00, 0.97
0.57, 0.99
0.75, 0.98
1.00, 0.97
0.88, 0.97
1.00, 1.00
0.00, 0.19
0.00, 0.18
0.90, 0.97
1.00, 0.96
0.88, 0.58
0.90, 0.99
1.00, 0.97
1.00, 1.00
0.29, 0.59
1.00, 0.87
0.00, 0.16
1.00, 0.99
0.50, 0.96
0.71, 0.98
1.00, 0.99
1.00, 0.98
0.00, 0.16
0.70, 0.97
0.20, 0.14
1.00, 0.96
1.00, 0.97
0.00, 0.15
1.00, 0.99
0.88, 0.99
0.43, 0.98
0.00, 0.93
0.00, 0.16
0.80, 0.99
0.38, 0.26
1.00, 0.97
1.00, 0.98
1.00, 0.99
1.00, 0.91
0.70, 0.99
0.00, 0.35
0.80, 0.77
1.00, 0.99
1.00, 0.97
1.00, 0.96
1.00, 0.86
0.25, 0.97
1.00, 0.91
1.00, 0.99
0.78, 0.94
0.00, 0.17
0.71, 0.88
1.00, 0.84
1.00, 0.35
0.00, 0.36
0.25, 0.99
0.43, 0.98
0.44, 0.90
0.62, 0.99
0.75, 0.70
0.00, 0.17
1.00, 0.99
0.88, 0.99
0.86, 0.97
0.00, 0.15
0.60, 0.93
1.00, 0.99
0.00, 0.23
1.00, 0.94
1.00, 0.98
0.00, 0.15
1.00, 0.96
0.86, 1.00
0.00, 0.19
1.00, 0.99
0.00, 0.26
0.89, 0.99
0.11, 0.17
1.00, 1.00
0.78, 0.93
0.40, 0.93
0.00, 0.21
0.30, 0.90
0.86, 0.99
0.71, 0.96
1.00, 0.99
0.00, 0.62
1.00, 0.99
1.00, 0.99
1.00, 0.95
0.86, 0.99
0.00, 0.26
0.14, 0.17
1.00, 1.00
0.90, 0.18
1.00, 0.99
1.00, 0.99
0.57, 0.98
0.00, 0.89
0.00, 0.39
1.00, 0.99
0.00, 0.94
0.00, 0.23
1.00, 0.99
1.00, 0.98
1.00, 1.00
0.44, 0.94
0.50, 0.99
0.25, 0.91
1.00, 0.98
1.00, 1.00
1.00, 0.96
1.00, 1.00
0.00, 0.16
0.10, 0.23
0.00, 0.93
1.00, 0.96
1.00, 0.99
0.00, 0.15
1.00, 0.99
0.86, 0.20
1.00, 1.00
0.71, 0.35
1.00, 0.72
0.10, 0.84
1.00, 0.98
1.00, 1.00
1.00, 0.99
0.86, 0.99
0.00, 0.15
1.00, 1.00
0.80, 0.96
0.86, 0.96
0.78, 0.62
0.00, 0.16
1.00, 0.91
0.00, 0.41
0.14, 0.96
1.00, 0.98
1.00, 0.99
1.00, 0.99
0.00, 0.31
1.00, 0.98
0.12, 0.15
0.90, 0.89
1.00, 0.98
1.00, 0.99
0.86, 0.98
1.00, 0.98
0.14, 0.19
1.00, 0.95
1.00, 0.99
0.33, 0.75
0.14, 0.39
0.00, 0.15
1.00, 0.98
0.43, 0.97
0.43, 0.65
1.00, 0.97
1.00, 0.98
0.00, 0.19
1.00, 0.99
1.00, 0.78
0.62, 0.93
1.00, 1.00
1.00, 0.99
1.00, 0.99
0.00, 0.29
0.00, 0.16
0.62, 0.99
1.00, 0.98
1.00, 0.83
0.00, 0.15
1.00, 0.98
1.00, 0.98
0.89, 0.95
0.90, 0.32
0.89, 0.96
1.00, 0.96
0.43, 0.98
0.00, 0.19
1.00, 0.99
1.00, 0.77
0.88, 0.75
0.00, 0.15
1.00, 0.91
0.11, 0.99
1.00, 0.98
1.00, 0.98
1.00, 0.95
0.12, 0.18
1.00, 0.93
1.00, 0.99
0.89, 0.92
0.00, 0.20
0.86, 0.98
1.00, 0.97
1.00, 0.47
1.00, 0.98
1.00, 0.99
1.00, 0.99
1.00, 0.98
1.00, 0.99
1.00, 0.94
0.56, 0.98
1.00, 0.86
0.78, 0.97
0.71, 0.83
1.00, 0.99
1.00, 0.86
0.00, 0.84
0.88, 0.95
0.57, 0.99
0.89, 0.73
0.60, 0.95
0.00, 0.44
1.00, 0.80
1.00, 0.96
0.75, 0.91
1.00, 0.94
0.43, 0.87
0.38, 0.98
0.75, 0.77
1.00, 0.88
0.89, 0.95
0.90, 0.99
1.00, 0.97
1.00, 0.98
1.00, 0.99
0.56, 0.46
0.00, 0.13
1.00, 0.89
1.00, 0.96
1.00, 0.73
1.00, 0.95
1.00, 1.00
1.00, 0.99
0.00, 0.17
0.57, 0.91
1.00, 0.99
1.00, 1.00
1.00, 0.97
0.60, 0.97
0.00, 0.17
1.00, 0.94
0.56, 0.90
0.00, 0.15
1.00, 1.00
0.00, 0.17
0.38, 0.98
1.00, 0.76
0.89, 0.98
0.00, 0.17
1.00, 0.98
1.00, 0.82
1.00, 0.97
1.00, 0.22
1.00, 0.99
0.90, 0.96
0.90, 0.98
1.00, 0.99
1.00, 0.99
0.70, 0.70
1.00, 0.96
1.00, 0.87
1.00, 1.00
1.00, 0.62
1.00, 0.99
0.14, 0.75
1.00, 0.97
1.00, 0.98
1.00, 0.99
0.78, 0.93
1.00, 1.00
0.00, 0.23
1.00, 0.99
0.00, 0.16
1.00, 0.99
0.88, 0.19
0.00, 0.25
1.00, 0.99
0.00, 0.97
1.00, 0.99
1.00, 0.99
0.75, 0.99
0.71, 0.96
1.00, 0.70
1.00, 0.97
0.50, 0.46
1.00, 0.67
0.89, 0.98
0.14, 0.15
0.90, 0.98
0.00, 0.17
0.88, 0.98
0.00, 0.15
0.67, 0.96
0.22, 0.98
1.00, 0.99
1.00, 0.99
1.00, 0.97
1.00, 0.97
1.00, 0.98
1.00, 0.91
1.00, 0.90
0.89, 0.65
0.71, 0.96
0.11, 0.98
1.00, 0.99
1.00, 0.91
1.00, 0.90
1.00, 0.99
0.71, 0.98
0.90, 0.83
0.14, 0.13
0.90, 0.94
0.71, 0.53
1.00, 0.95
0.00, 0.16
0.00, 0.16
0.86, 0.94
1.00, 0.96
1.00, 0.95
1.00, 0.95
0.78, 0.89
1.00, 0.96
1.00, 0.91
0.43, 0.98
1.00, 0.99
1.00, 0.99
0.62, 0.97
1.00, 0.99
0.00, 0.15
1.00, 0.95
1.00, 0.97
1.00, 0.99
0.86, 0.99
1.00, 0.94
0.50, 0.95
0.80, 0.76
1.00, 0.98
0.22, 0.76
1.00, 0.92
1.00, 0.74
1.00, 0.98
0.00, 0.15
1.00, 0.96
1.00, 0.98
0.11, 0.98
0.86, 0.96
1.00, 0.98
1.00, 0.99
1.00, 0.98
0.20, 0.19
0.89, 0.99
1.00, 0.84
0.14, 0.41
1.00, 0.98
0.62, 0.82
0.88, 0.97
0.88, 0.96
0.78, 0.98
1.00, 0.99
0.88, 0.98
0.88, 0.94
1.00, 0.97
1.00, 0.84
0.70, 0.96
0.62, 0.83
0.86, 0.89
0.80, 0.95
1.00, 0.90
1.00, 0.99
0.86, 0.96
1.00, 0.99
1.00, 0.95
0.90, 0.91
1.00, 0.98
1.00, 0.95
1.00, 0.95
0.89, 0.95
1.00, 0.91
0.00, 0.15
0.29, 0.26
0.86, 0.54
1.00, 0.96
0.00, 0.50
1.00, 0.98
1.00, 0.98
0.62, 0.69
0.38, 0.92
1.00, 0.99
1.00, 0.97
1.00, 0.97
0.00, 0.37
0.50, 0.98
0.00, 0.22
1.00, 0.98
0.00, 0.55
0.62, 0.96
0.11, 0.17
0.22, 0.16
1.00, 0.99
0.86, 0.92
1.00, 0.99
0.10, 0.18
0.88, 0.88
1.00, 0.98
1.00, 0.99
0.12, 0.96
1.00, 1.00
0.71, 0.97
1.00, 0.98
0.89, 0.99
1.00, 0.99
0.00, 0.74
0.22, 0.15
1.00, 0.99
0.00, 1.00
1.00, 1.00
0.57, 0.19
0.80, 0.78
0.86, 0.90
1.00, 1.00
0.00, 0.24
1.00, 0.20
0.86, 0.98
0.00, 0.39
0.86, 0.83
1.00, 0.90
0.71, 0.76
1.00, 0.97
0.56, 0.92
0.90, 0.92
1.00, 0.98
1.00, 0.98
0.75, 0.62
0.89, 0.97
0.86, 1.00
1.00, 0.96
0.86, 0.91
1.00, 0.97
1.00, 0.73
1.00, 0.25
0.00, 0.13
0.86, 0.99
1.00, 0.91
1.00, 0.91
0.60, 0.96
1.00, 0.98
1.00, 1.00
0.88, 0.99
0.00, 0.49
0.86, 0.99
1.00, 0.98
0.14, 0.71
1.00, 0.85
1.00, 0.98
1.00, 1.00
1.00, 0.94
1.00, 0.98
0.57, 0.96
0.00, 0.18
1.00, 0.98
0.90, 0.96
0.44, 0.85
1.00, 0.71
0.40, 0.19
1.00, 0.99
1.00, 0.98
0.00, 0.20
0.00, 0.14
0.90, 0.73
1.00, 0.99
1.00, 0.90
1.00, 1.00
1.00, 0.98
1.00, 0.73
1.00, 0.98
0.71, 0.16
1.00, 0.87
1.00, 0.99
0.00, 0.96
0.00, 0.17
0.75, 1.00
1.00, 0.94
1.00, 0.95
0.90, 0.97
0.29, 0.16
0.29, 0.18
0.00, 0.15
0.22, 0.97
0.90, 0.96
0.86, 0.93
0.86, 0.98
1.00, 0.98
0.00, 0.53
0.00, 0.78
1.00, 0.96
1.00, 0.97
1.00, 0.90
1.00, 0.91
1.00, 0.98
1.00, 0.99
0.00, 0.21
1.00, 0.98
0.00, 0.21
0.25, 0.96
0.75, 0.98
0.33, 0.95
1.00, 0.96
0.43, 0.80
1.00, 0.98
1.00, 0.89
1.00, 0.97
0.00, 0.98
1.00, 0.99
0.90, 0.98
0.33, 0.21
0.90, 0.96
1.00, 0.94
1.00, 1.00
1.00, 0.95
1.00, 0.99
0.11, 0.36
1.00, 0.93
0.12, 0.91
0.43, 0.94
1.00, 0.99
0.00, 0.16
0.90, 0.99
1.00, 0.99
1.00, 0.99
0.90, 0.96
1.00, 0.99
1.00, 0.99
1.00, 0.98
0.00, 0.16
1.00, 0.98
1.00, 0.98
0.75, 0.68
0.20, 0.37
0.50, 0.18
0.33, 0.90
1.00, 1.00
0.14, 0.17
0.33, 0.33
0.86, 0.96
0.00, 0.18
0.75, 0.65
1.00, 0.98
1.00, 0.84
1.00, 0.96
1.00, 0.99
0.86, 0.98
1.00, 0.98
0.00, 0.13
0.62, 0.99
1.00, 0.89
1.00, 0.98
0.00, 0.14
0.00, 0.34
0.00, 0.16
0.89, 0.19
1.00, 0.98
0.12, 0.16
0.44, 0.97
0.71, 0.95
0.00, 0.15
0.00, 0.20
1.00, 0.94
1.00, 0.99
0.62, 0.97
0.43, 0.96
1.00, 0.99
1.00, 0.98
1.00, 0.92
0.71, 0.99
1.00, 1.00
0.56, 0.85
1.00, 0.90
1.00, 1.00
1.00, 0.97
1.00, 0.98
0.88, 0.99
1.00, 0.99
0.14, 0.25
1.00, 0.99
0.00, 0.88
1.00, 0.93
0.12, 0.20
0.29, 0.84
1.00, 0.99
0.50, 0.39
0.29, 0.82
0.00, 0.84
1.00, 0.87
1.00, 0.99
1.00, 0.99
1.00, 0.99
1.00, 0.83
0.14, 0.97
1.00, 0.95
