Score, Predict
0.38, 0.80
1.00, 0.93
1.00, 0.88
0.00, 0.54
1.00, 0.84
0.78, 0.75
1.00, 0.88
1.00, 0.83
0.11, 0.54
0.70, 0.93
0.00, 0.54
0.56, 0.84
0.50, 0.54
0.57, 0.54
0.88, 0.93
1.00, 0.90
0.30, 0.83
1.00, 0.95
1.00, 0.84
0.89, 0.92
1.00, 0.96
1.00, 0.95
0.86, 0.66
0.43, 0.77
0.00, 0.54
0.62, 0.66
1.00, 0.87
0.57, 0.81
1.00, 0.76
0.90, 0.86
0.89, 0.60
1.00, 0.87
0.00, 0.54
0.89, 0.87
1.00, 0.93
1.00, 0.83
0.00, 0.55
1.00, 0.94
1.00, 0.95
1.00, 0.87
0.00, 0.54
0.00, 0.63
0.88, 0.87
1.00, 0.95
1.00, 0.94
0.25, 0.54
0.00, 0.54
1.00, 0.86
0.57, 0.63
0.00, 0.54
0.00, 0.54
0.00, 0.54
0.10, 0.55
0.40, 0.69
1.00, 0.92
0.86, 0.92
0.00, 0.54
0.88, 0.71
1.00, 0.84
0.00, 0.54
0.00, 0.54
1.00, 0.92
1.00, 0.92
1.00, 0.85
1.00, 0.93
1.00, 0.85
1.00, 0.79
0.60, 0.82
1.00, 0.79
0.71, 0.56
0.60, 0.80
1.00, 0.91
1.00, 0.88
0.86, 0.81
0.88, 0.84
0.89, 0.90
0.33, 0.67
0.75, 0.92
1.00, 0.90
0.22, 0.81
0.86, 0.66
1.00, 0.91
0.75, 0.92
1.00, 0.69
0.20, 0.54
1.00, 0.84
0.60, 0.67
1.00, 0.95
1.00, 0.87
1.00, 0.87
1.00, 0.91
0.71, 0.69
0.71, 0.91
0.89, 0.88
0.00, 0.83
0.67, 0.83
0.80, 0.93
0.80, 0.81
1.00, 0.90
1.00, 0.70
0.14, 0.54
1.00, 0.85
0.00, 0.54
1.00, 0.91
1.00, 0.91
1.00, 0.90
1.00, 0.83
1.00, 0.90
1.00, 0.87
0.88, 0.94
0.86, 0.79
0.44, 0.89
0.00, 0.54
1.00, 0.91
0.75, 0.85
1.00, 0.95
1.00, 0.86
0.62, 0.64
0.50, 0.94
0.71, 0.68
0.78, 0.77
1.00, 0.95
1.00, 0.81
1.00, 0.91
0.90, 0.89
0.00, 0.54
1.00, 0.82
1.00, 0.87
1.00, 0.92
0.00, 0.54
0.88, 0.88
0.86, 0.75
0.60, 0.82
1.00, 0.92
0.00, 0.66
0.80, 0.76
1.00, 0.89
0.33, 0.80
0.90, 0.95
0.90, 0.74
0.78, 0.82
1.00, 0.90
0.78, 0.88
0.43, 0.74
0.62, 0.84
0.88, 0.86
0.00, 0.54
0.00, 0.63
1.00, 0.85
0.90, 0.88
0.00, 0.54
0.11, 0.54
0.38, 0.61
1.00, 0.91
0.38, 0.66
0.00, 0.54
1.00, 0.87
1.00, 0.91
0.00, 0.54
0.00, 0.54
1.00, 0.89
1.00, 0.83
0.00, 0.54
1.00, 0.82
0.00, 0.54
1.00, 0.76
0.22, 0.68
0.50, 0.61
0.89, 0.92
0.00, 0.54
0.43, 0.77
0.71, 0.77
0.00, 0.54
0.75, 0.80
1.00, 0.90
1.00, 0.91
0.00, 0.54
1.00, 0.95
0.75, 0.88
0.33, 0.56
1.00, 0.74
1.00, 0.92
1.00, 0.91
0.70, 0.86
0.25, 0.80
1.00, 0.96
1.00, 0.62
0.00, 0.54
0.43, 0.85
1.00, 0.87
1.00, 0.89
0.29, 0.66
0.40, 0.91
0.88, 0.77
1.00, 0.93
1.00, 0.87
1.00, 0.73
0.00, 0.56
1.00, 0.90
0.86, 0.73
1.00, 0.84
0.86, 0.73
0.70, 0.71
1.00, 0.88
1.00, 0.88
1.00, 0.87
1.00, 0.86
0.00, 0.54
1.00, 0.92
1.00, 0.95
0.88, 0.54
1.00, 0.93
0.86, 0.84
0.80, 0.89
1.00, 0.86
0.00, 0.54
1.00, 0.65
1.00, 0.89
1.00, 0.89
0.38, 0.90
1.00, 0.91
0.71, 0.74
0.50, 0.86
1.00, 0.87
1.00, 0.92
0.25, 0.68
0.00, 0.54
1.00, 0.80
1.00, 0.90
0.43, 0.60
1.00, 0.89
1.00, 0.87
1.00, 0.89
0.00, 0.54
0.00, 0.54
1.00, 0.91
1.00, 0.90
0.38, 0.67
0.00, 0.63
0.67, 0.81
1.00, 0.88
1.00, 0.90
0.60, 0.71
0.29, 0.61
1.00, 0.92
0.43, 0.65
1.00, 0.70
0.00, 0.54
1.00, 0.95
1.00, 0.57
0.40, 0.61
1.00, 0.84
0.90, 0.96
0.14, 0.80
1.00, 0.95
0.80, 0.92
1.00, 0.58
0.50, 0.81
1.00, 0.84
0.40, 0.58
1.00, 0.82
1.00, 0.73
1.00, 0.86
1.00, 0.87
0.89, 0.81
1.00, 0.89
1.00, 0.83
0.71, 0.86
0.14, 0.88
1.00, 0.61
0.33, 0.54
1.00, 0.90
0.00, 0.54
1.00, 0.93
1.00, 0.79
0.00, 0.55
0.29, 0.54
1.00, 0.93
1.00, 0.92
0.67, 0.83
0.14, 0.76
0.88, 0.83
1.00, 0.95
0.14, 0.54
0.62, 0.70
1.00, 0.89
1.00, 0.90
1.00, 0.83
0.86, 0.68
1.00, 0.85
0.25, 0.65
0.78, 0.87
1.00, 0.82
1.00, 0.89
1.00, 0.95
0.25, 0.59
1.00, 0.87
0.67, 0.87
0.86, 0.84
0.00, 0.54
0.90, 0.88
0.25, 0.54
0.86, 0.68
0.80, 0.90
0.60, 0.89
0.89, 0.92
0.40, 0.93
0.86, 0.66
0.20, 0.77
1.00, 0.91
1.00, 0.94
1.00, 0.88
0.14, 0.54
1.00, 0.92
1.00, 0.95
0.00, 0.54
1.00, 0.93
1.00, 0.81
0.00, 0.80
0.80, 0.78
1.00, 0.84
0.86, 0.86
0.43, 0.83
1.00, 0.81
1.00, 0.88
0.00, 0.54
1.00, 0.88
0.44, 0.81
0.00, 0.54
1.00, 0.93
0.14, 0.54
0.89, 0.89
1.00, 0.88
1.00, 0.68
0.88, 0.92
0.57, 0.65
0.75, 0.87
1.00, 0.93
1.00, 0.90
0.62, 0.54
0.71, 0.73
1.00, 0.96
1.00, 0.93
1.00, 0.90
0.86, 0.83
1.00, 0.87
1.00, 0.86
0.75, 0.86
0.14, 0.87
1.00, 0.74
1.00, 0.95
0.20, 0.54
1.00, 0.87
0.57, 0.70
0.43, 0.54
1.00, 0.89
0.25, 0.89
1.00, 0.81
1.00, 0.89
0.00, 0.54
0.00, 0.54
0.11, 0.96
1.00, 0.87
0.89, 0.65
0.00, 0.63
1.00, 0.93
1.00, 0.71
1.00, 0.81
1.00, 0.77
1.00, 0.82
1.00, 0.80
1.00, 0.91
1.00, 0.80
0.10, 0.62
0.50, 0.91
0.00, 0.54
1.00, 0.87
0.90, 0.89
1.00, 0.89
0.78, 0.86
1.00, 0.82
0.00, 0.56
0.90, 0.78
0.88, 0.90
1.00, 0.89
0.89, 0.87
0.62, 0.92
0.00, 0.69
0.12, 0.91
0.71, 0.70
1.00, 0.87
1.00, 0.80
0.89, 0.88
1.00, 0.89
0.71, 0.62
0.80, 0.78
1.00, 0.79
0.75, 0.87
1.00, 0.95
0.60, 0.93
0.86, 0.86
0.25, 0.54
1.00, 0.93
1.00, 0.91
1.00, 0.86
1.00, 0.87
0.00, 0.82
1.00, 0.93
1.00, 0.90
1.00, 0.92
0.12, 0.69
0.86, 0.91
0.88, 0.93
1.00, 0.85
1.00, 0.91
1.00, 0.86
0.86, 0.92
0.30, 0.83
0.75, 0.80
0.71, 0.61
0.78, 0.54
0.38, 0.92
0.89, 0.87
1.00, 0.92
1.00, 0.86
0.75, 0.92
1.00, 0.76
0.00, 0.54
1.00, 0.75
1.00, 0.83
1.00, 0.85
1.00, 0.69
1.00, 0.94
1.00, 0.94
1.00, 0.92
0.44, 0.68
0.88, 0.89
0.75, 0.69
1.00, 0.91
1.00, 0.86
1.00, 0.57
0.90, 0.83
0.80, 0.87
0.70, 0.87
1.00, 0.86
1.00, 0.93
0.78, 0.71
1.00, 0.89
0.22, 0.67
0.43, 0.60
1.00, 0.83
1.00, 0.86
0.38, 0.80
0.11, 0.54
1.00, 0.88
0.71, 0.83
0.78, 0.77
1.00, 0.77
1.00, 0.84
0.00, 0.67
0.88, 0.72
0.86, 0.82
0.29, 0.54
0.00, 0.74
1.00, 0.54
0.86, 0.86
1.00, 0.92
0.20, 0.54
0.30, 0.59
0.00, 0.54
0.86, 0.87
1.00, 0.92
0.89, 0.89
1.00, 0.96
0.00, 0.54
0.78, 0.86
0.78, 0.80
1.00, 0.93
1.00, 0.90
1.00, 0.91
0.90, 0.83
1.00, 0.89
0.25, 0.88
0.00, 0.58
0.86, 0.80
0.75, 0.90
1.00, 0.86
1.00, 0.93
1.00, 0.87
0.00, 0.54
1.00, 0.94
1.00, 0.91
0.29, 0.76
0.88, 0.54
0.00, 0.54
1.00, 0.75
1.00, 0.93
0.40, 0.54
1.00, 0.94
1.00, 0.86
0.00, 0.54
1.00, 0.92
0.20, 0.54
0.00, 0.54
0.70, 0.84
1.00, 0.89
0.14, 0.66
1.00, 0.89
1.00, 0.94
0.90, 0.91
1.00, 0.92
0.89, 0.89
1.00, 0.89
1.00, 0.87
1.00, 0.93
1.00, 0.82
0.00, 0.86
1.00, 0.91
1.00, 0.87
1.00, 0.80
0.10, 0.61
1.00, 0.84
1.00, 0.90
1.00, 0.92
0.30, 0.55
0.00, 0.54
0.89, 0.91
0.88, 0.89
1.00, 0.77
1.00, 0.90
0.50, 0.62
0.75, 0.66
0.50, 0.66
0.12, 0.54
0.86, 0.91
0.86, 0.66
0.50, 0.91
1.00, 0.74
0.40, 0.90
1.00, 0.95
0.00, 0.84
0.89, 0.88
1.00, 0.87
1.00, 0.84
0.00, 0.87
1.00, 0.91
0.86, 0.88
1.00, 0.87
0.00, 0.54
0.75, 0.79
0.71, 0.84
1.00, 0.93
0.00, 0.61
1.00, 0.84
0.86, 0.82
0.88, 0.80
1.00, 0.87
1.00, 0.95
0.86, 0.54
0.86, 0.80
0.00, 0.54
0.00, 0.54
0.75, 0.89
1.00, 0.93
0.80, 0.95
0.00, 0.54
1.00, 0.93
0.78, 0.87
0.00, 0.81
0.00, 0.87
1.00, 0.93
0.29, 0.62
0.00, 0.54
0.00, 0.54
0.89, 0.59
1.00, 0.92
1.00, 0.91
0.38, 0.87
0.70, 0.87
1.00, 0.78
0.12, 0.82
0.88, 0.72
0.88, 0.89
1.00, 0.93
1.00, 0.84
1.00, 0.93
1.00, 0.94
1.00, 0.89
0.78, 0.92
0.71, 0.55
0.43, 0.86
0.62, 0.81
1.00, 0.90
1.00, 0.87
1.00, 0.91
