Score, Predict
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_032_mono.wav, 0.5054, 0.8450
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_027_mono.wav, 0.6055, 0.8450
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_011_mono.wav, 0.4934, 0.8456
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_061_mono.wav, 0.3687, 0.8438
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_105_mono.wav, 0.3714, 0.8461
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_167_mono.wav, 0.3965, 0.8425
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_125_mono.wav, 0.4911, 0.8446
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_161_mono.wav, 0.6345, 0.8450
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_044_mono.wav, 0.4991, 0.8426
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_153_mono.wav, 0.1744, 0.8481
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_078_mono.wav, 0.5523, 0.8406
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_065_mono.wav, 0.2502, 0.8429
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_051_mono.wav, 0.2266, 0.8408
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_158_mono.wav, 0.5951, 0.8472
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_107_mono.wav, 0.3844, 0.8391
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_142_mono.wav, 0.1831, 0.8339
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_177_mono.wav, 0.3868, 0.8505
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_137_mono.wav, 0.2886, 0.8430
/home/ubuntu/elec823/hurricane/mod15/ssn/snrMid/hvd_014_mono.wav, 0.4027, 0.8428
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_062_mono.wav, 0.5481, 0.8548
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_028_mono.wav, 0.4580, 0.8520
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_158_mono.wav, 0.3655, 0.8406
/home/ubuntu/elec823/hurricane/mod11/ssn/snrMid/hvd_055_mono.wav, 0.3523, 0.8526
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_137_mono.wav, 0.4784, 0.8554
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_002_mono.wav, 0.2312, 0.8549
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_002_mono.wav, 0.3621, 0.8651
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_141_mono.wav, 0.2166, 0.8569
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_137_mono.wav, 0.5250, 0.8694
/home/ubuntu/elec823/hurricane/mod9/ssn/snrMid/hvd_045_mono.wav, 0.3984, 0.8721
/home/ubuntu/elec823/hurricane/mod15/ssn/snrLo/hvd_089_mono.wav, 0.1752, 0.8499
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_047_mono.wav, 0.5645, 0.8733
/home/ubuntu/elec823/hurricane/mod11/ssn/snrMid/hvd_167_mono.wav, 0.4714, 0.8502
/home/ubuntu/elec823/hurricane/mod11/ssn/snrMid/hvd_107_mono.wav, 0.4313, 0.8730
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_125_mono.wav, 0.2662, 0.8642
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_072_mono.wav, 0.4699, 0.8746
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_047_mono.wav, 0.4487, 0.8745
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_045_mono.wav, 0.3860, 0.8730
/home/ubuntu/elec823/hurricane/mod18/ssn/snrMid/hvd_015_mono.wav, 0.2992, 0.8604
/home/ubuntu/elec823/hurricane/mod13/ssn/snrLo/hvd_071_mono.wav, 0.2206, 0.8603
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_055_mono.wav, 0.2991, 0.8709
/home/ubuntu/elec823/hurricane/mod7/ssn/snrLo/hvd_142_mono.wav, 0.1645, 0.8593
/home/ubuntu/elec823/hurricane/mod11/ssn/snrLo/hvd_098_mono.wav, 0.2661, 0.8735
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_034_mono.wav, 0.3945, 0.8821
/home/ubuntu/elec823/hurricane/mod19/ssn/snrLo/hvd_068_mono.wav, 0.1741, 0.8553
