Score, Predict
0.49, 0.39
0.64, 0.38
0.17, 0.38
0.66, 0.40
0.09, 0.42
0.16, 0.39
0.12, 0.49
0.19, 0.38
0.34, 0.40
0.43, 0.61
0.20, 0.41
0.38, 0.39
0.85, 0.61
0.92, 0.66
0.04, 0.38
0.08, 0.39
0.06, 0.42
0.78, 0.57
0.15, 0.40
0.37, 0.39
0.07, 0.49
0.21, 0.41
0.97, 0.58
0.08, 0.42
0.12, 0.45
0.44, 0.40
0.20, 0.42
0.22, 0.40
0.19, 0.42
0.86, 0.44
0.28, 0.50
0.69, 0.40
0.86, 0.46
0.44, 0.38
0.82, 0.53
0.44, 0.37
0.71, 0.47
0.74, 0.40
0.75, 0.50
0.98, 0.64
0.22, 0.45
0.17, 0.43
0.80, 0.57
0.88, 0.54
0.16, 0.40
0.12, 0.38
0.15, 0.39
0.15, 0.50
0.16, 0.40
0.17, 0.42
0.16, 0.37
0.12, 0.49
0.52, 0.41
0.81, 0.41
0.11, 0.38
0.95, 0.63
0.11, 0.43
0.14, 0.42
0.28, 0.42
0.47, 0.36
0.80, 0.48
0.98, 0.58
0.78, 0.61
0.79, 0.46
0.17, 0.37
0.12, 0.38
0.51, 0.38
0.40, 0.39
0.13, 0.38
0.89, 0.55
0.87, 0.62
0.10, 0.38
0.96, 0.52
0.40, 0.44
0.22, 0.49
0.75, 0.53
0.75, 0.44
0.20, 0.52
0.62, 0.41
0.08, 0.44
0.07, 0.41
0.94, 0.54
0.05, 0.36
0.11, 0.39
0.10, 0.39
0.97, 0.60
0.99, 0.53
0.93, 0.49
0.92, 0.46
0.36, 0.47
0.98, 0.59
0.93, 0.41
0.14, 0.51
0.88, 0.60
0.20, 0.39
0.98, 0.51
0.73, 0.44
0.14, 0.45
0.72, 0.59
0.83, 0.56
0.56, 0.49
0.09, 0.37
0.07, 0.43
0.11, 0.56
0.43, 0.40
0.29, 0.48
0.19, 0.37
0.07, 0.36
0.86, 0.62
0.11, 0.41
0.99, 0.58
0.50, 0.37
0.20, 0.42
0.10, 0.41
0.53, 0.42
0.11, 0.38
0.07, 0.40
0.60, 0.37
0.65, 0.40
0.36, 0.45
0.82, 0.57
0.07, 0.55
0.42, 0.37
0.77, 0.45
0.92, 0.58
0.87, 0.61
0.46, 0.37
0.79, 0.41
0.16, 0.37
0.10, 0.40
0.85, 0.57
0.10, 0.36
0.84, 0.47
0.09, 0.37
0.11, 0.41
0.96, 0.61
0.10, 0.38
0.05, 0.42
0.06, 0.44
0.51, 0.38
0.07, 0.37
0.09, 0.39
0.75, 0.56
0.80, 0.60
0.11, 0.43
0.59, 0.42
0.74, 0.44
0.72, 0.58
0.70, 0.40
0.20, 0.37
0.08, 0.53
0.97, 0.59
0.09, 0.42
0.33, 0.46
0.76, 0.47
0.44, 0.39
0.56, 0.42
0.16, 0.39
0.09, 0.47
0.39, 0.38
0.08, 0.48
0.11, 0.45
0.05, 0.37
0.08, 0.39
0.08, 0.38
0.96, 0.52
0.24, 0.47
0.11, 0.42
0.07, 0.57
0.98, 0.50
0.73, 0.55
0.81, 0.44
0.84, 0.38
0.83, 0.42
0.89, 0.60
0.14, 0.40
0.30, 0.38
0.12, 0.38
0.90, 0.55
0.14, 0.35
0.86, 0.56
0.43, 0.51
0.74, 0.51
0.75, 0.47
0.11, 0.39
0.80, 0.55
0.09, 0.37
0.06, 0.39
0.20, 0.47
0.93, 0.55
0.23, 0.42
0.81, 0.48
0.57, 0.39
0.08, 0.38
0.93, 0.40
0.08, 0.39
0.85, 0.57
0.18, 0.42
0.07, 0.44
0.95, 0.63
0.53, 0.38
0.79, 0.45
0.10, 0.46
0.87, 0.55
0.20, 0.47
0.87, 0.44
0.79, 0.39
0.95, 0.62
0.11, 0.39
0.56, 0.49
0.59, 0.40
0.64, 0.40
0.44, 0.41
0.15, 0.58
0.07, 0.38
0.22, 0.49
0.45, 0.37
0.36, 0.42
0.13, 0.47
0.92, 0.61
0.67, 0.59
0.47, 0.41
0.16, 0.39
0.51, 0.37
0.60, 0.39
0.17, 0.37
0.92, 0.62
0.94, 0.58
0.73, 0.47
0.08, 0.38
0.11, 0.39
0.46, 0.47
0.65, 0.53
0.70, 0.41
0.17, 0.41
0.67, 0.60
0.14, 0.48
0.13, 0.46
0.08, 0.37
0.89, 0.39
0.76, 0.50
0.90, 0.63
0.75, 0.40
0.07, 0.40
0.10, 0.53
0.06, 0.39
0.54, 0.39
0.11, 0.53
0.89, 0.45
0.37, 0.60
0.12, 0.44
0.09, 0.40
0.77, 0.39
0.68, 0.40
0.16, 0.44
0.75, 0.40
0.22, 0.37
0.22, 0.39
0.23, 0.40
0.22, 0.38
0.11, 0.39
0.95, 0.61
0.16, 0.40
0.97, 0.65
0.91, 0.64
0.96, 0.53
0.12, 0.36
0.77, 0.46
0.97, 0.58
0.10, 0.38
0.70, 0.38
0.10, 0.42
0.22, 0.45
0.80, 0.61
0.97, 0.57
0.12, 0.39
0.60, 0.56
0.87, 0.42
0.25, 0.45
0.72, 0.42
0.07, 0.41
0.13, 0.46
0.80, 0.51
0.41, 0.40
0.28, 0.38
0.25, 0.39
0.07, 0.42
0.13, 0.41
0.22, 0.39
0.74, 0.51
0.24, 0.65
0.17, 0.40
0.90, 0.57
0.12, 0.39
0.20, 0.38
0.14, 0.40
0.41, 0.39
0.15, 0.49
0.06, 0.43
0.12, 0.39
0.06, 0.53
0.73, 0.39
0.27, 0.39
0.45, 0.39
0.12, 0.37
0.49, 0.39
0.04, 0.36
0.70, 0.41
0.65, 0.42
0.97, 0.50
0.75, 0.46
0.21, 0.45
0.10, 0.40
0.14, 0.47
0.92, 0.60
0.89, 0.59
0.81, 0.42
0.97, 0.58
0.94, 0.63
0.81, 0.48
0.09, 0.38
0.11, 0.37
0.31, 0.39
0.91, 0.62
0.61, 0.40
0.18, 0.37
0.44, 0.38
0.04, 0.47
0.77, 0.46
0.94, 0.60
0.11, 0.50
0.17, 0.37
0.86, 0.57
0.06, 0.39
0.75, 0.58
0.05, 0.39
0.16, 0.37
0.17, 0.39
0.66, 0.40
0.97, 0.59
0.07, 0.54
0.11, 0.43
0.63, 0.37
0.15, 0.44
0.59, 0.38
0.75, 0.53
0.16, 0.46
0.81, 0.52
0.98, 0.57
0.08, 0.40
0.02, 0.37
0.93, 0.55
0.38, 0.39
0.97, 0.66
0.06, 0.37
0.85, 0.42
0.11, 0.42
0.71, 0.50
0.34, 0.38
0.12, 0.44
0.50, 0.46
0.24, 0.39
0.16, 0.36
0.78, 0.50
0.90, 0.58
0.10, 0.43
0.54, 0.39
0.09, 0.40
0.80, 0.51
0.67, 0.39
0.57, 0.39
0.09, 0.41
0.13, 0.40
0.77, 0.44
0.98, 0.64
0.96, 0.52
0.16, 0.40
0.13, 0.39
0.96, 0.63
0.17, 0.36
0.15, 0.37
0.11, 0.37
0.95, 0.65
0.92, 0.55
0.78, 0.56
0.24, 0.37
0.81, 0.39
0.23, 0.42
0.81, 0.57
0.86, 0.56
0.98, 0.63
0.45, 0.40
0.18, 0.46
0.08, 0.39
0.06, 0.40
0.15, 0.41
0.92, 0.59
0.13, 0.37
0.26, 0.39
0.09, 0.38
0.45, 0.42
0.12, 0.50
0.17, 0.41
0.23, 0.39
0.29, 0.42
0.14, 0.45
0.34, 0.42
0.68, 0.44
0.27, 0.38
0.52, 0.39
0.10, 0.48
0.17, 0.45
0.08, 0.62
0.34, 0.45
0.49, 0.46
0.09, 0.41
0.14, 0.43
0.83, 0.56
0.91, 0.61
0.11, 0.40
0.12, 0.42
0.09, 0.43
0.19, 0.37
0.72, 0.44
0.23, 0.39
0.16, 0.50
0.91, 0.60
0.14, 0.38
0.53, 0.38
0.85, 0.42
0.74, 0.44
0.17, 0.47
0.93, 0.65
0.10, 0.37
0.23, 0.46
0.05, 0.47
0.10, 0.44
0.10, 0.38
0.88, 0.61
0.62, 0.42
0.61, 0.50
0.17, 0.43
0.15, 0.36
0.11, 0.37
0.63, 0.53
0.97, 0.57
0.70, 0.39
0.36, 0.39
0.96, 0.53
0.15, 0.51
0.09, 0.44
0.19, 0.36
0.60, 0.38
0.27, 0.40
0.23, 0.40
0.48, 0.39
0.82, 0.49
0.10, 0.41
0.98, 0.61
0.97, 0.62
0.20, 0.37
0.18, 0.57
0.12, 0.40
0.11, 0.43
0.11, 0.38
0.45, 0.38
0.89, 0.51
0.21, 0.38
0.21, 0.48
0.70, 0.53
0.18, 0.39
0.88, 0.58
0.13, 0.60
0.15, 0.37
0.08, 0.38
0.25, 0.43
0.77, 0.40
0.71, 0.57
0.12, 0.39
0.76, 0.51
0.92, 0.52
0.10, 0.41
0.08, 0.43
0.74, 0.45
0.07, 0.44
0.65, 0.39
0.85, 0.59
0.07, 0.38
0.18, 0.41
0.74, 0.41
0.65, 0.38
0.53, 0.39
0.07, 0.38
0.77, 0.56
0.06, 0.38
0.80, 0.57
0.13, 0.56
0.81, 0.44
0.91, 0.59
0.45, 0.38
0.65, 0.39
0.66, 0.51
0.20, 0.39
0.97, 0.47
0.85, 0.43
0.94, 0.58
0.51, 0.40
0.69, 0.47
0.81, 0.59
0.33, 0.45
0.14, 0.38
0.07, 0.38
0.44, 0.44
0.14, 0.39
0.09, 0.39
0.50, 0.40
0.17, 0.43
0.99, 0.61
0.13, 0.38
0.05, 0.38
0.45, 0.37
0.12, 0.49
0.47, 0.39
0.97, 0.60
0.35, 0.39
0.33, 0.40
0.97, 0.63
0.69, 0.40
0.23, 0.42
0.92, 0.63
0.11, 0.39
0.17, 0.37
0.55, 0.49
0.35, 0.39
0.16, 0.44
0.88, 0.56
0.91, 0.58
0.12, 0.38
0.72, 0.47
0.09, 0.40
0.07, 0.39
0.10, 0.46
0.16, 0.44
0.96, 0.61
0.17, 0.36
0.12, 0.48
0.08, 0.41
0.46, 0.39
0.94, 0.59
0.58, 0.39
0.65, 0.51
