Score, Predict
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_108.wav, 0.48, 0.25
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_012.wav, 0.82, 0.87
/home/ubuntu/elec823/hurricane/mod10/ssn/snrLo/hvd_033.wav, 0.63, 0.32
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_107.wav, 0.17, 0.25
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_070.wav, 0.74, 0.68
/home/ubuntu/elec823/hurricane/mod5/ssn/snrLo/hvd_119.wav, 0.13, 0.29
/home/ubuntu/elec823/hurricane/mod20/ssn/snrLo/hvd_073.wav, 0.51, 0.28
/home/ubuntu/elec823/hurricane/mod6/ssn/snrHi/hvd_040.wav, 0.90, 0.86
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_172.wav, 0.11, 0.22
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_034.wav, 0.19, 0.79
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_159.wav, 0.95, 0.80
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_039.wav, 0.10, 0.74
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_124.wav, 0.67, 0.95
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_026.wav, 0.29, 0.34
/home/ubuntu/elec823/hurricane/mod17/ssn/snrHi/hvd_039.wav, 0.94, 0.94
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_070.wav, 0.40, 0.79
/home/ubuntu/elec823/hurricane/mod8/ssn/snrHi/hvd_121.wav, 0.85, 0.92
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_051.wav, 0.84, 0.95
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_112.wav, 0.10, 0.12
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_010.wav, 0.95, 0.75
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_040.wav, 0.36, 0.53
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_076.wav, 0.13, 0.33
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_090.wav, 0.08, 0.21
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_097.wav, 0.76, 0.53
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_128.wav, 0.75, 0.90
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_047.wav, 0.10, 0.21
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_073.wav, 0.16, 0.15
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_157.wav, 0.82, 0.68
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_135.wav, 0.13, 0.51
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_032.wav, 0.93, 0.92
