Score, Predict
/home/ubuntu/elec823/hurricane/mod7/ssn/snrLo/hvd_075_mono.wav, 0.10, 0.35
/home/ubuntu/elec823/hurricane/mod19/ssn/snrLo/hvd_132_mono.wav, 0.11, 0.35
/home/ubuntu/elec823/hurricane/mod6/ssn/snrHi/hvd_139_mono.wav, 0.95, 0.46
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_180_mono.wav, 0.94, 0.44
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_098_mono.wav, 0.14, 0.35
/home/ubuntu/elec823/hurricane/mod5/ssn/snrHi/hvd_032_mono.wav, 0.15, 0.35
/home/ubuntu/elec823/hurricane/mod5/ssn/snrLo/hvd_114_mono.wav, 0.14, 0.35
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_171_mono.wav, 0.16, 0.42
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_080_mono.wav, 0.17, 0.35
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_042_mono.wav, 0.05, 0.35
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_127_mono.wav, 0.87, 0.46
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_105_mono.wav, 0.08, 0.35
/home/ubuntu/elec823/hurricane/mod7/ssn/snrLo/hvd_123_mono.wav, 0.14, 0.35
/home/ubuntu/elec823/hurricane/mod18/ssn/snrMid/hvd_040_mono.wav, 0.15, 0.35
/home/ubuntu/elec823/hurricane/mod19/ssn/snrLo/hvd_077_mono.wav, 0.08, 0.35
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_080_mono.wav, 0.97, 0.41
/home/ubuntu/elec823/hurricane/mod16/ssn/snrMid/hvd_039_mono.wav, 0.54, 0.35
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_153_mono.wav, 0.82, 0.35
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_153_mono.wav, 0.77, 0.35
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_021_mono.wav, 0.82, 0.35
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_072_mono.wav, 0.23, 0.35
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_064_mono.wav, 0.45, 0.41
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_071_mono.wav, 0.92, 0.37
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_092_mono.wav, 0.92, 0.51
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_031_mono.wav, 0.96, 0.47
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_010_mono.wav, 0.14, 0.44
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_078_mono.wav, 0.04, 0.35
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_028_mono.wav, 0.88, 0.41
/home/ubuntu/elec823/hurricane/mod19/ssn/snrHi/hvd_078_mono.wav, 0.17, 0.46
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_107_mono.wav, 0.35, 0.35
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_064_mono.wav, 0.86, 0.37
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_062_mono.wav, 0.96, 0.42
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_123_mono.wav, 0.88, 0.35
/home/ubuntu/elec823/hurricane/mod9/ssn/snrMid/hvd_115_mono.wav, 0.73, 0.35
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_012_mono.wav, 0.21, 0.46
/home/ubuntu/elec823/hurricane/mod7/ssn/snrLo/hvd_071_mono.wav, 0.13, 0.35
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_156_mono.wav, 0.95, 0.40
/home/ubuntu/elec823/hurricane/mod12/ssn/snrHi/hvd_123_mono.wav, 0.33, 0.35
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_043_mono.wav, 0.11, 0.42
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_043_mono.wav, 0.73, 0.35
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_028_mono.wav, 0.06, 0.35
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_011_mono.wav, 0.75, 0.35
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_099_mono.wav, 0.98, 0.36
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_066_mono.wav, 0.94, 0.40
/home/ubuntu/elec823/hurricane/mod3/ssn/snrHi/hvd_053_mono.wav, 0.92, 0.44
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_108_mono.wav, 0.95, 0.38
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_088_mono.wav, 0.24, 0.39
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_136_mono.wav, 0.63, 0.35
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_047_mono.wav, 0.11, 0.35
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_169_mono.wav, 0.27, 0.35
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_107_mono.wav, 0.15, 0.35
/home/ubuntu/elec823/hurricane/mod9/ssn/snrMid/hvd_053_mono.wav, 0.75, 0.35
