Score, Predict
1.00, 0.49
1.00, 0.15
1.00, 0.41
1.00, 0.54
0.56, 0.25
0.50, 0.39
0.67, 0.45
1.00, 0.46
0.40, 0.12
1.00, 0.59
0.70, 0.23
0.86, 0.48
1.00, 0.53
1.00, 0.39
1.00, 0.56
1.00, 0.56
0.90, 0.39
1.00, 0.51
1.00, 0.42
1.00, 0.47
0.71, 0.52
1.00, 0.50
1.00, 0.33
1.00, 0.58
1.00, 0.27
0.75, 0.52
0.00, 0.10
1.00, 0.54
1.00, 0.61
0.86, 0.18
0.80, 0.37
0.44, 0.55
0.43, 0.40
0.00, 0.26
0.14, 0.13
0.29, 0.28
1.00, 0.45
1.00, 0.56
1.00, 0.47
0.00, 0.34
1.00, 0.44
0.86, 0.57
1.00, 0.60
0.12, 0.33
1.00, 0.35
0.00, 0.11
1.00, 0.61
0.88, 0.31
0.00, 0.09
0.71, 0.59
0.71, 0.12
0.20, 0.11
1.00, 0.40
1.00, 0.57
1.00, 0.60
0.43, 0.49
1.00, 0.57
1.00, 0.33
1.00, 0.57
1.00, 0.34
1.00, 0.44
1.00, 0.55
1.00, 0.41
0.29, 0.32
0.80, 0.34
1.00, 0.55
0.90, 0.44
0.90, 0.29
1.00, 0.43
1.00, 0.64
0.80, 0.38
1.00, 0.54
0.00, 0.19
0.86, 0.57
0.40, 0.13
0.00, 0.10
0.67, 0.13
0.30, 0.36
0.25, 0.63
1.00, 0.39
1.00, 0.51
1.00, 0.30
1.00, 0.43
1.00, 0.54
0.00, 0.10
1.00, 0.44
1.00, 0.41
1.00, 0.57
0.90, 0.37
0.38, 0.18
1.00, 0.63
0.00, 0.41
1.00, 0.56
1.00, 0.54
0.30, 0.10
0.88, 0.55
0.90, 0.35
1.00, 0.49
0.56, 0.56
1.00, 0.52
0.86, 0.33
1.00, 0.43
1.00, 0.33
0.00, 0.18
0.90, 0.38
0.43, 0.14
1.00, 0.48
0.29, 0.14
0.11, 0.17
1.00, 0.61
1.00, 0.30
