Score, Predict
1.00, 0.14
1.00, 0.09
1.00, 0.13
1.00, 0.16
0.56, 0.14
0.50, 0.14
0.67, 0.14
1.00, 0.15
0.40, 0.09
1.00, 0.15
0.70, 0.12
0.86, 0.14
1.00, 0.16
1.00, 0.14
1.00, 0.16
1.00, 0.16
0.90, 0.15
1.00, 0.16
1.00, 0.13
1.00, 0.16
0.71, 0.15
1.00, 0.14
1.00, 0.14
1.00, 0.16
1.00, 0.13
0.75, 0.15
0.00, 0.10
1.00, 0.15
1.00, 0.16
0.86, 0.09
0.80, 0.15
0.44, 0.15
0.43, 0.13
0.00, 0.11
0.14, 0.10
0.29, 0.11
1.00, 0.14
1.00, 0.16
1.00, 0.14
0.00, 0.11
1.00, 0.15
0.86, 0.15
1.00, 0.16
0.12, 0.14
1.00, 0.15
0.00, 0.10
1.00, 0.16
0.88, 0.14
0.00, 0.08
0.71, 0.15
0.71, 0.10
0.20, 0.08
1.00, 0.13
1.00, 0.16
1.00, 0.17
0.43, 0.16
1.00, 0.15
1.00, 0.14
1.00, 0.16
1.00, 0.13
1.00, 0.14
1.00, 0.16
1.00, 0.15
0.29, 0.14
0.80, 0.15
1.00, 0.16
0.90, 0.14
0.90, 0.12
1.00, 0.15
1.00, 0.16
0.80, 0.13
1.00, 0.16
0.00, 0.10
0.86, 0.16
0.40, 0.09
0.00, 0.09
0.67, 0.10
0.30, 0.12
0.25, 0.16
1.00, 0.15
1.00, 0.16
1.00, 0.13
1.00, 0.15
1.00, 0.16
0.00, 0.09
1.00, 0.14
1.00, 0.15
1.00, 0.16
0.90, 0.14
0.38, 0.12
1.00, 0.16
0.00, 0.14
1.00, 0.14
1.00, 0.16
0.30, 0.08
0.88, 0.16
0.90, 0.15
1.00, 0.13
0.56, 0.16
1.00, 0.18
0.86, 0.14
1.00, 0.16
1.00, 0.14
0.00, 0.10
0.90, 0.13
0.43, 0.11
1.00, 0.13
0.29, 0.10
0.11, 0.11
1.00, 0.16
1.00, 0.15
0.86, 0.15
0.89, 0.15
0.88, 0.15
0.29, 0.15
0.00, 0.14
1.00, 0.16
1.00, 0.14
1.00, 0.15
1.00, 0.16
1.00, 0.15
0.62, 0.10
0.86, 0.15
0.67, 0.09
1.00, 0.15
1.00, 0.15
0.75, 0.15
0.00, 0.10
0.78, 0.15
0.43, 0.13
1.00, 0.15
1.00, 0.10
1.00, 0.15
0.00, 0.10
1.00, 0.17
1.00, 0.12
0.62, 0.12
1.00, 0.16
1.00, 0.17
1.00, 0.12
0.67, 0.13
0.90, 0.15
1.00, 0.13
1.00, 0.16
1.00, 0.16
1.00, 0.16
0.80, 0.14
1.00, 0.14
0.90, 0.15
0.89, 0.15
0.00, 0.10
1.00, 0.15
0.90, 0.15
1.00, 0.11
1.00, 0.17
1.00, 0.17
0.40, 0.10
0.88, 0.14
1.00, 0.10
1.00, 0.14
0.71, 0.14
0.78, 0.09
0.00, 0.09
1.00, 0.14
0.62, 0.14
1.00, 0.17
0.00, 0.09
1.00, 0.15
1.00, 0.15
1.00, 0.14
0.71, 0.15
1.00, 0.14
0.75, 0.12
0.90, 0.14
0.00, 0.16
0.80, 0.14
1.00, 0.13
1.00, 0.15
1.00, 0.14
0.71, 0.12
0.71, 0.15
0.00, 0.12
0.29, 0.12
1.00, 0.14
0.80, 0.14
0.10, 0.09
1.00, 0.15
0.00, 0.10
1.00, 0.16
1.00, 0.16
1.00, 0.15
0.86, 0.15
0.20, 0.14
0.89, 0.15
0.00, 0.09
1.00, 0.17
0.40, 0.14
0.80, 0.15
1.00, 0.15
1.00, 0.16
0.00, 0.10
0.25, 0.13
0.71, 0.10
0.88, 0.13
0.56, 0.13
0.89, 0.15
0.00, 0.09
0.44, 0.10
1.00, 0.16
1.00, 0.14
0.00, 0.08
0.90, 0.14
0.90, 0.14
0.43, 0.10
0.50, 0.15
1.00, 0.17
1.00, 0.15
0.78, 0.14
0.00, 0.09
1.00, 0.14
1.00, 0.14
0.00, 0.11
1.00, 0.16
1.00, 0.14
0.00, 0.11
1.00, 0.15
1.00, 0.15
1.00, 0.14
1.00, 0.16
0.80, 0.13
0.80, 0.14
0.90, 0.13
0.22, 0.12
0.14, 0.11
1.00, 0.15
1.00, 0.14
0.88, 0.14
1.00, 0.14
0.86, 0.11
0.88, 0.10
0.88, 0.14
0.90, 0.12
0.50, 0.15
1.00, 0.15
1.00, 0.15
1.00, 0.11
0.86, 0.11
0.57, 0.14
0.88, 0.15
0.14, 0.11
1.00, 0.16
0.86, 0.11
1.00, 0.16
1.00, 0.16
0.62, 0.10
1.00, 0.16
0.89, 0.15
0.00, 0.15
1.00, 0.16
0.78, 0.18
0.71, 0.16
1.00, 0.15
0.90, 0.14
0.00, 0.10
1.00, 0.15
0.44, 0.11
1.00, 0.15
0.20, 0.13
0.00, 0.10
1.00, 0.16
0.00, 0.09
1.00, 0.10
1.00, 0.15
0.86, 0.16
0.43, 0.14
0.71, 0.15
0.86, 0.15
1.00, 0.12
1.00, 0.16
1.00, 0.15
0.29, 0.14
0.00, 0.15
0.12, 0.15
0.88, 0.16
1.00, 0.15
1.00, 0.14
1.00, 0.15
1.00, 0.11
0.86, 0.15
0.89, 0.14
0.44, 0.13
1.00, 0.16
1.00, 0.16
1.00, 0.15
0.00, 0.10
0.50, 0.13
0.86, 0.16
1.00, 0.15
1.00, 0.15
1.00, 0.14
0.86, 0.14
1.00, 0.16
0.88, 0.11
1.00, 0.11
0.56, 0.11
0.00, 0.11
0.86, 0.15
1.00, 0.14
0.75, 0.13
0.43, 0.10
1.00, 0.15
0.00, 0.11
0.71, 0.15
1.00, 0.15
1.00, 0.16
0.00, 0.09
1.00, 0.15
1.00, 0.15
0.50, 0.10
1.00, 0.16
1.00, 0.15
0.60, 0.15
0.29, 0.13
1.00, 0.16
0.86, 0.15
1.00, 0.16
1.00, 0.12
0.00, 0.13
0.50, 0.11
0.00, 0.10
1.00, 0.15
0.00, 0.11
1.00, 0.16
0.89, 0.15
1.00, 0.16
0.00, 0.10
0.56, 0.15
1.00, 0.13
0.12, 0.12
1.00, 0.15
0.00, 0.09
1.00, 0.15
1.00, 0.14
0.89, 0.15
1.00, 0.16
1.00, 0.14
1.00, 0.16
1.00, 0.11
1.00, 0.11
0.57, 0.14
