Score, Predict
1.00, 0.77
1.00, 0.29
1.00, 0.24
1.00, 0.91
0.56, 0.71
0.50, 0.92
0.67, 0.77
1.00, 0.92
0.40, 0.05
1.00, 0.96
0.70, 0.33
0.86, 0.88
1.00, 0.93
1.00, 0.93
1.00, 0.95
1.00, 0.94
0.90, 0.90
1.00, 0.93
1.00, 0.49
1.00, 0.91
0.71, 0.95
1.00, 0.94
1.00, 0.79
1.00, 0.95
1.00, 0.67
0.75, 0.92
0.00, 0.02
1.00, 0.91
1.00, 0.94
0.86, 0.04
0.80, 0.87
0.44, 0.94
0.43, 0.76
0.00, 0.44
0.14, 0.04
0.29, 0.27
1.00, 0.93
1.00, 0.96
1.00, 0.93
0.00, 0.36
1.00, 0.85
0.86, 0.95
1.00, 0.96
0.12, 0.80
1.00, 0.81
0.00, 0.08
1.00, 0.95
0.88, 0.80
0.00, 0.03
0.71, 0.94
0.71, 0.03
0.20, 0.04
1.00, 0.77
1.00, 0.96
1.00, 0.96
0.43, 0.93
1.00, 0.95
1.00, 0.85
1.00, 0.94
1.00, 0.78
1.00, 0.67
1.00, 0.94
1.00, 0.79
0.29, 0.82
0.80, 0.82
1.00, 0.96
0.90, 0.91
0.90, 0.71
1.00, 0.87
1.00, 0.92
0.80, 0.86
1.00, 0.95
0.00, 0.11
0.86, 0.95
0.40, 0.05
0.00, 0.04
0.67, 0.04
0.30, 0.51
0.25, 0.95
1.00, 0.88
1.00, 0.94
1.00, 0.48
1.00, 0.93
1.00, 0.94
0.00, 0.02
1.00, 0.68
1.00, 0.86
1.00, 0.95
0.90, 0.80
0.38, 0.58
1.00, 0.97
0.00, 0.81
1.00, 0.90
1.00, 0.96
0.30, 0.02
0.88, 0.95
0.90, 0.84
1.00, 0.91
0.56, 0.95
1.00, 0.92
0.86, 0.89
1.00, 0.94
1.00, 0.81
0.00, 0.06
0.90, 0.85
0.43, 0.05
1.00, 0.87
0.29, 0.03
0.11, 0.06
1.00, 0.95
1.00, 0.84
0.86, 0.96
0.89, 0.93
0.88, 0.94
0.29, 0.92
0.00, 0.81
1.00, 0.97
1.00, 0.96
1.00, 0.89
1.00, 0.94
1.00, 0.94
0.62, 0.04
0.86, 0.93
0.67, 0.03
1.00, 0.90
1.00, 0.81
0.75, 0.92
0.00, 0.12
0.78, 0.89
