Score, Predict
1.00, 0.61
1.00, 0.25
1.00, 0.48
1.00, 0.93
0.56, 0.74
0.50, 0.85
0.67, 0.82
1.00, 0.91
0.40, 0.15
1.00, 0.96
0.70, 0.63
0.86, 0.83
1.00, 0.94
1.00, 0.90
1.00, 0.96
1.00, 0.93
0.90, 0.90
1.00, 0.94
1.00, 0.62
1.00, 0.93
0.71, 0.93
1.00, 0.86
1.00, 0.81
1.00, 0.94
1.00, 0.73
0.75, 0.92
0.00, 0.09
1.00, 0.89
1.00, 0.93
0.86, 0.11
0.80, 0.87
0.44, 0.94
0.43, 0.80
0.00, 0.26
0.14, 0.11
0.29, 0.25
1.00, 0.92
1.00, 0.93
1.00, 0.91
0.00, 0.52
1.00, 0.84
0.86, 0.94
1.00, 0.97
0.12, 0.85
1.00, 0.82
0.00, 0.23
1.00, 0.94
0.88, 0.83
0.00, 0.11
0.71, 0.94
0.71, 0.09
0.20, 0.16
1.00, 0.83
1.00, 0.95
1.00, 0.96
0.43, 0.92
1.00, 0.93
1.00, 0.84
1.00, 0.95
1.00, 0.78
1.00, 0.61
1.00, 0.95
1.00, 0.85
0.29, 0.81
0.80, 0.82
1.00, 0.95
0.90, 0.92
0.90, 0.75
1.00, 0.89
1.00, 0.93
0.80, 0.87
1.00, 0.95
0.00, 0.25
0.86, 0.91
0.40, 0.13
0.00, 0.14
0.67, 0.13
0.30, 0.67
0.25, 0.94
1.00, 0.87
1.00, 0.92
1.00, 0.65
1.00, 0.90
1.00, 0.95
0.00, 0.08
1.00, 0.74
1.00, 0.87
1.00, 0.95
0.90, 0.83
0.38, 0.63
1.00, 0.97
0.00, 0.82
1.00, 0.83
1.00, 0.96
0.30, 0.08
0.88, 0.93
0.90, 0.86
1.00, 0.89
0.56, 0.95
1.00, 0.93
0.86, 0.80
1.00, 0.93
1.00, 0.86
0.00, 0.18
0.90, 0.85
0.43, 0.11
1.00, 0.81
0.29, 0.09
0.11, 0.17
1.00, 0.95
1.00, 0.84
0.86, 0.95
0.89, 0.93
0.88, 0.92
0.29, 0.82
0.00, 0.80
1.00, 0.97
1.00, 0.95
1.00, 0.86
1.00, 0.95
1.00, 0.91
0.62, 0.12
0.86, 0.92
0.67, 0.10
1.00, 0.91
1.00, 0.84
0.75, 0.92
0.00, 0.18
0.78, 0.89
0.43, 0.42
1.00, 0.92
1.00, 0.28
1.00, 0.88
0.00, 0.10
1.00, 0.97
1.00, 0.84
0.62, 0.70
1.00, 0.86
1.00, 0.98
1.00, 0.59
0.67, 0.77
0.90, 0.87
1.00, 0.82
1.00, 0.93
1.00, 0.95
1.00, 0.95
0.80, 0.80
1.00, 0.92
0.90, 0.83
0.89, 0.92
0.00, 0.11
1.00, 0.92
0.90, 0.89
1.00, 0.70
1.00, 0.96
1.00, 0.96
0.40, 0.15
0.88, 0.86
1.00, 0.32
1.00, 0.74
0.71, 0.76
0.78, 0.15
0.00, 0.07
1.00, 0.91
0.62, 0.82
1.00, 0.97
0.00, 0.11
1.00, 0.81
1.00, 0.87
1.00, 0.86
0.71, 0.91
1.00, 0.87
0.75, 0.82
0.90, 0.84
0.00, 0.97
0.80, 0.88
1.00, 0.84
1.00, 0.94
1.00, 0.82
0.71, 0.20
0.71, 0.94
0.00, 0.14
0.29, 0.61
1.00, 0.89
0.80, 0.88
0.10, 0.12
1.00, 0.92
0.00, 0.32
1.00, 0.95
1.00, 0.95
1.00, 0.91
0.86, 0.96
0.20, 0.75
0.89, 0.90
0.00, 0.12
1.00, 0.96
0.40, 0.90
0.80, 0.93
1.00, 0.91
1.00, 0.92
0.00, 0.11
0.25, 0.80
0.71, 0.19
0.88, 0.79
0.56, 0.71
0.89, 0.94
0.00, 0.10
0.44, 0.20
1.00, 0.96
1.00, 0.82
0.00, 0.13
0.90, 0.90
0.90, 0.78
0.43, 0.16
0.50, 0.88
1.00, 0.97
1.00, 0.93
0.78, 0.85
0.00, 0.16
1.00, 0.78
1.00, 0.87
0.00, 0.45
1.00, 0.95
1.00, 0.72
0.00, 0.16
1.00, 0.96
1.00, 0.91
1.00, 0.88
1.00, 0.95
0.80, 0.81
0.80, 0.80
0.90, 0.85
0.22, 0.78
0.14, 0.10
1.00, 0.95
1.00, 0.90
0.88, 0.63
1.00, 0.83
0.86, 0.16
0.88, 0.12
0.88, 0.80
0.90, 0.74
0.50, 0.93
1.00, 0.83
1.00, 0.88
1.00, 0.76
0.86, 0.15
0.57, 0.74
0.88, 0.90
0.14, 0.28
1.00, 0.96
0.86, 0.15
1.00, 0.96
1.00, 0.95
0.62, 0.32
1.00, 0.97
0.89, 0.95
0.00, 0.89
1.00, 0.96
0.78, 0.95
0.71, 0.92
1.00, 0.80
0.90, 0.83
0.00, 0.08
1.00, 0.94
0.44, 0.65
1.00, 0.93
0.20, 0.66
0.00, 0.20
1.00, 0.93
0.00, 0.10
1.00, 0.14
1.00, 0.91
0.86, 0.94
0.43, 0.79
0.71, 0.88
0.86, 0.89
1.00, 0.64
1.00, 0.95
1.00, 0.93
0.29, 0.74
0.00, 0.79
0.12, 0.79
0.88, 0.93
1.00, 0.88
1.00, 0.92
1.00, 0.77
1.00, 0.61
0.86, 0.86
0.89, 0.83
0.44, 0.71
1.00, 0.93
1.00, 0.94
1.00, 0.96
0.00, 0.53
0.50, 0.70
0.86, 0.95
1.00, 0.83
1.00, 0.93
1.00, 0.88
0.86, 0.87
1.00, 0.91
0.88, 0.16
1.00, 0.38
0.56, 0.49
0.00, 0.16
0.86, 0.93
1.00, 0.87
0.75, 0.80
0.43, 0.16
1.00, 0.93
0.00, 0.26
0.71, 0.91
1.00, 0.94
1.00, 0.91
0.00, 0.17
1.00, 0.93
1.00, 0.91
0.50, 0.67
1.00, 0.94
1.00, 0.94
0.60, 0.91
0.29, 0.80
1.00, 0.95
0.86, 0.86
1.00, 0.96
1.00, 0.11
0.00, 0.81
0.50, 0.60
0.00, 0.66
1.00, 0.92
0.00, 0.10
1.00, 0.95
0.89, 0.86
1.00, 0.96
0.00, 0.12
0.56, 0.89
1.00, 0.81
0.12, 0.29
1.00, 0.89
0.00, 0.07
1.00, 0.96
1.00, 0.87
0.89, 0.93
1.00, 0.98
1.00, 0.92
1.00, 0.95
1.00, 0.39
1.00, 0.53
0.57, 0.84
1.00, 0.81
0.00, 0.87
1.00, 0.92
0.25, 0.88
1.00, 0.94
1.00, 0.89
0.00, 0.84
0.00, 0.70
1.00, 0.82
1.00, 0.90
0.00, 0.10
1.00, 0.94
0.00, 0.13
0.00, 0.10
0.75, 0.94
1.00, 0.92
1.00, 0.86
0.86, 0.92
