Score, Predict
1.00, 0.50
1.00, 0.40
1.00, 0.52
1.00, 0.68
0.56, 0.61
0.50, 0.65
0.67, 0.58
1.00, 0.68
0.40, 0.33
1.00, 0.71
0.70, 0.52
0.86, 0.60
1.00, 0.69
1.00, 0.62
1.00, 0.71
1.00, 0.68
0.90, 0.66
1.00, 0.70
1.00, 0.55
1.00, 0.68
0.71, 0.69
1.00, 0.64
1.00, 0.62
1.00, 0.67
1.00, 0.59
0.75, 0.67
0.00, 0.32
1.00, 0.65
1.00, 0.67
0.86, 0.27
0.80, 0.65
0.44, 0.66
0.43, 0.59
0.00, 0.34
0.14, 0.29
0.29, 0.41
1.00, 0.65
1.00, 0.72
1.00, 0.66
0.00, 0.44
1.00, 0.63
0.86, 0.67
1.00, 0.72
0.12, 0.61
1.00, 0.60
0.00, 0.35
1.00, 0.69
0.88, 0.63
0.00, 0.17
0.71, 0.68
0.71, 0.29
0.20, 0.33
1.00, 0.58
1.00, 0.70
1.00, 0.75
0.43, 0.67
1.00, 0.68
1.00, 0.64
1.00, 0.71
1.00, 0.61
1.00, 0.55
1.00, 0.72
1.00, 0.62
0.29, 0.62
0.80, 0.63
1.00, 0.73
0.90, 0.67
0.90, 0.58
1.00, 0.65
1.00, 0.67
0.80, 0.62
1.00, 0.73
0.00, 0.34
0.86, 0.67
0.40, 0.26
0.00, 0.25
0.67, 0.33
0.30, 0.49
0.25, 0.66
1.00, 0.66
1.00, 0.70
1.00, 0.53
1.00, 0.66
1.00, 0.70
0.00, 0.25
1.00, 0.57
1.00, 0.62
1.00, 0.70
0.90, 0.64
0.38, 0.57
1.00, 0.70
0.00, 0.63
1.00, 0.58
1.00, 0.73
0.30, 0.21
0.88, 0.69
0.90, 0.62
1.00, 0.64
0.56, 0.69
1.00, 0.70
0.86, 0.65
1.00, 0.65
1.00, 0.63
0.00, 0.32
0.90, 0.61
0.43, 0.42
1.00, 0.54
0.29, 0.30
0.11, 0.43
1.00, 0.68
1.00, 0.67
0.86, 0.68
0.89, 0.67
0.88, 0.66
0.29, 0.61
0.00, 0.63
1.00, 0.72
1.00, 0.70
1.00, 0.62
1.00, 0.70
1.00, 0.65
0.62, 0.34
0.86, 0.67
0.67, 0.25
1.00, 0.66
1.00, 0.64
0.75, 0.68
0.00, 0.28
0.78, 0.66
0.43, 0.54
1.00, 0.68
1.00, 0.38
1.00, 0.63
0.00, 0.27
1.00, 0.72
1.00, 0.64
0.62, 0.55
1.00, 0.65
1.00, 0.76
1.00, 0.52
0.67, 0.58
0.90, 0.65
1.00, 0.61
1.00, 0.66
1.00, 0.68
1.00, 0.68
0.80, 0.65
1.00, 0.66
0.90, 0.65
0.89, 0.66
0.00, 0.36
1.00, 0.65
0.90, 0.66
1.00, 0.57
1.00, 0.72
1.00, 0.74
0.40, 0.29
0.88, 0.60
1.00, 0.38
1.00, 0.63
0.71, 0.58
0.78, 0.30
0.00, 0.24
1.00, 0.65
0.62, 0.61
1.00, 0.74
0.00, 0.21
1.00, 0.64
1.00, 0.63
1.00, 0.62
0.71, 0.66
1.00, 0.62
0.75, 0.59
0.90, 0.64
0.00, 0.71
0.80, 0.66
1.00, 0.64
1.00, 0.68
1.00, 0.63
0.71, 0.51
0.71, 0.66
0.00, 0.41
0.29, 0.48
1.00, 0.58
0.80, 0.63
0.10, 0.27
1.00, 0.65
0.00, 0.30
1.00, 0.70
1.00, 0.69
1.00, 0.67
0.86, 0.70
0.20, 0.59
0.89, 0.63
0.00, 0.23
1.00, 0.71
0.40, 0.67
0.80, 0.68
1.00, 0.69
1.00, 0.66
0.00, 0.26
0.25, 0.59
0.71, 0.32
0.88, 0.61
0.56, 0.53
0.89, 0.69
0.00, 0.24
0.44, 0.32
1.00, 0.70
1.00, 0.62
0.00, 0.19
0.90, 0.65
0.90, 0.59
0.43, 0.31
0.50, 0.64
1.00, 0.72
1.00, 0.67
0.78, 0.62
0.00, 0.32
1.00, 0.61
1.00, 0.64
0.00, 0.45
1.00, 0.70
1.00, 0.55
0.00, 0.50
1.00, 0.74
1.00, 0.67
1.00, 0.61
1.00, 0.68
0.80, 0.61
0.80, 0.65
0.90, 0.64
0.22, 0.58
0.14, 0.32
1.00, 0.68
1.00, 0.60
0.88, 0.62
1.00, 0.60
0.86, 0.46
0.88, 0.27
0.88, 0.61
0.90, 0.54
0.50, 0.68
1.00, 0.63
1.00, 0.64
1.00, 0.54
0.86, 0.33
0.57, 0.61
0.88, 0.66
0.14, 0.42
1.00, 0.72
0.86, 0.36
1.00, 0.72
1.00, 0.70
0.62, 0.43
1.00, 0.70
0.89, 0.70
0.00, 0.63
1.00, 0.69
0.78, 0.70
0.71, 0.66
1.00, 0.65
0.90, 0.64
0.00, 0.26
1.00, 0.69
0.44, 0.54
1.00, 0.64
0.20, 0.56
0.00, 0.30
1.00, 0.68
0.00, 0.18
1.00, 0.32
1.00, 0.68
0.86, 0.69
0.43, 0.62
0.71, 0.66
0.86, 0.68
1.00, 0.61
1.00, 0.70
1.00, 0.69
0.29, 0.59
0.00, 0.55
0.12, 0.62
0.88, 0.69
1.00, 0.66
1.00, 0.67
1.00, 0.65
1.00, 0.53
0.86, 0.63
0.89, 0.65
0.44, 0.59
1.00, 0.70
1.00, 0.70
1.00, 0.71
0.00, 0.44
0.50, 0.57
0.86, 0.68
1.00, 0.64
1.00, 0.66
1.00, 0.65
0.86, 0.63
1.00, 0.68
0.88, 0.40
1.00, 0.43
0.56, 0.42
0.00, 0.35
0.86, 0.65
1.00, 0.67
0.75, 0.59
0.43, 0.37
1.00, 0.65
0.00, 0.42
0.71, 0.66
1.00, 0.69
1.00, 0.66
0.00, 0.29
1.00, 0.69
1.00, 0.67
0.50, 0.40
1.00, 0.69
1.00, 0.69
0.60, 0.65
0.29, 0.54
1.00, 0.70
0.86, 0.65
1.00, 0.71
1.00, 0.40
0.00, 0.57
0.50, 0.49
0.00, 0.57
1.00, 0.67
0.00, 0.40
1.00, 0.70
0.89, 0.63
1.00, 0.72
0.00, 0.40
0.56, 0.66
1.00, 0.61
0.12, 0.35
1.00, 0.64
0.00, 0.23
1.00, 0.70
1.00, 0.61
0.89, 0.71
1.00, 0.71
1.00, 0.67
1.00, 0.68
1.00, 0.45
1.00, 0.49
0.57, 0.62
1.00, 0.58
0.00, 0.64
1.00, 0.66
0.25, 0.64
1.00, 0.70
1.00, 0.66
0.00, 0.63
0.00, 0.58
1.00, 0.60
1.00, 0.65
0.00, 0.23
1.00, 0.68
0.00, 0.20
0.00, 0.27
0.75, 0.71
1.00, 0.67
1.00, 0.61
0.86, 0.67
1.00, 0.70
0.50, 0.41
0.88, 0.37
0.71, 0.69
0.88, 0.64
1.00, 0.69
0.62, 0.63
0.57, 0.60
1.00, 0.66
0.33, 0.48
1.00, 0.71
0.71, 0.60
1.00, 0.71
0.71, 0.35
1.00, 0.65
0.00, 0.28
0.00, 0.39
1.00, 0.70
0.00, 0.30
0.89, 0.69
1.00, 0.66
0.33, 0.63
0.90, 0.71
1.00, 0.65
0.78, 0.59
0.71, 0.69
0.80, 0.55
0.00, 0.45
0.89, 0.62
0.57, 0.67
1.00, 0.62
0.00, 0.38
0.25, 0.62
0.89, 0.65
0.00, 0.26
0.90, 0.66
1.00, 0.43
0.88, 0.77
1.00, 0.72
1.00, 0.67
0.75, 0.62
0.71, 0.25
0.90, 0.64
0.71, 0.67
0.00, 0.31
1.00, 0.67
0.88, 0.39
1.00, 0.68
0.00, 0.37
0.70, 0.65
0.00, 0.25
1.00, 0.70
1.00, 0.68
1.00, 0.60
1.00, 0.62
1.00, 0.68
1.00, 0.71
1.00, 0.66
0.40, 0.55
1.00, 0.68
1.00, 0.66
1.00, 0.66
0.62, 0.68
1.00, 0.66
0.89, 0.66
0.11, 0.36
0.00, 0.28
0.14, 0.64
0.00, 0.36
0.00, 0.59
1.00, 0.74
0.88, 0.57
0.12, 0.38
1.00, 0.71
0.00, 0.32
0.44, 0.67
0.88, 0.68
1.00, 0.66
0.12, 0.53
1.00, 0.72
0.89, 0.63
0.86, 0.69
0.75, 0.66
0.71, 0.62
1.00, 0.62
0.57, 0.31
1.00, 0.63
1.00, 0.71
1.00, 0.72
0.00, 0.31
1.00, 0.66
1.00, 0.69
0.78, 0.62
0.00, 0.24
0.43, 0.65
1.00, 0.67
0.57, 0.55
1.00, 0.65
1.00, 0.65
0.22, 0.41
1.00, 0.72
0.86, 0.67
1.00, 0.71
0.90, 0.65
1.00, 0.55
0.44, 0.45
1.00, 0.70
1.00, 0.63
0.88, 0.66
0.12, 0.61
1.00, 0.70
0.29, 0.61
0.90, 0.69
0.12, 0.23
1.00, 0.69
1.00, 0.67
0.80, 0.65
0.60, 0.70
1.00, 0.69
1.00, 0.70
1.00, 0.56
0.71, 0.58
0.00, 0.26
0.50, 0.67
0.89, 0.61
1.00, 0.66
0.11, 0.50
1.00, 0.72
0.57, 0.66
1.00, 0.66
0.86, 0.73
1.00, 0.65
1.00, 0.66
0.50, 0.61
1.00, 0.68
1.00, 0.66
0.44, 0.52
0.25, 0.40
0.22, 0.60
1.00, 0.63
0.10, 0.50
1.00, 0.69
1.00, 0.66
1.00, 0.69
0.00, 0.23
0.80, 0.45
1.00, 0.71
0.00, 0.25
0.00, 0.55
0.88, 0.65
1.00, 0.72
0.00, 0.52
1.00, 0.64
0.00, 0.65
1.00, 0.73
0.20, 0.56
1.00, 0.69
1.00, 0.64
1.00, 0.71
0.00, 0.60
0.71, 0.64
1.00, 0.65
1.00, 0.47
