Score, Predict
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_062_mono.wav, 0.2273, nan
/home/ubuntu/elec823/hurricane/mod19/ssn/snrHi/hvd_139_mono.wav, 0.4535, nan
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_172_mono.wav, 0.3484, nan
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_049_mono.wav, 0.5142, nan
/home/ubuntu/elec823/hurricane/mod5/ssn/snrLo/hvd_052_mono.wav, 0.1948, nan
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_130_mono.wav, 0.2028, nan
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_084_mono.wav, 0.2343, nan
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_105_mono.wav, 0.2238, nan
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_021_mono.wav, 0.4931, nan
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_050_mono.wav, 0.4633, nan
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_030_mono.wav, 0.2142, nan
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_068_mono.wav, 0.4686, nan
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_177_mono.wav, 0.3868, nan
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_056_mono.wav, 0.5268, nan
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_016_mono.wav, 0.3481, nan
/home/ubuntu/elec823/hurricane/mod7/ssn/snrMid/hvd_046_mono.wav, 0.4216, nan
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_055_mono.wav, 0.2069, nan
/home/ubuntu/elec823/hurricane/mod13/ssn/snrHi/hvd_109_mono.wav, 0.5012, nan
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_071_mono.wav, 0.3623, nan
