Score, Predict
1.00, 0.38
0.86, 0.37
0.78, 0.37
0.88, 0.38
0.00, 0.38
0.00, 0.38
1.00, 0.38
0.50, 0.38
0.30, 0.38
0.00, 0.38
1.00, 0.38
0.50, 0.38
0.90, 0.38
0.62, 0.38
1.00, 0.38
0.38, 0.38
1.00, 0.40
0.62, 0.38
0.50, 0.37
1.00, 0.38
1.00, 0.39
1.00, 0.38
1.00, 0.38
0.90, 0.39
0.00, 0.37
1.00, 0.40
1.00, 0.37
1.00, 0.39
0.89, 0.37
1.00, 0.39
0.00, 0.37
0.70, 0.37
1.00, 0.39
0.56, 0.38
0.89, 0.40
0.90, 0.39
0.14, 0.37
1.00, 0.41
1.00, 0.41
0.86, 0.41
1.00, 0.40
1.00, 0.40
0.80, 0.39
0.25, 0.38
1.00, 0.39
0.29, 0.37
1.00, 0.40
0.57, 0.39
0.78, 0.41
1.00, 0.40
1.00, 0.40
0.12, 0.41
1.00, 0.40
0.12, 0.37
1.00, 0.40
0.20, 0.39
0.70, 0.40
0.00, 0.37
0.44, 0.37
1.00, 0.40
1.00, 0.40
1.00, 0.43
0.88, 0.40
0.90, 0.40
1.00, 0.39
1.00, 0.41
1.00, 0.40
0.10, 0.38
0.20, 0.39
0.25, 0.37
0.86, 0.42
1.00, 0.41
0.70, 0.41
0.10, 0.36
1.00, 0.42
0.14, 0.36
1.00, 0.40
0.88, 0.41
1.00, 0.42
0.00, 0.36
0.67, 0.40
1.00, 0.41
1.00, 0.41
1.00, 0.42
0.62, 0.39
0.60, 0.38
0.88, 0.44
0.00, 0.42
1.00, 0.43
1.00, 0.43
1.00, 0.41
0.86, 0.41
0.89, 0.40
1.00, 0.43
0.80, 0.39
1.00, 0.42
0.86, 0.38
1.00, 0.43
0.57, 0.40
0.88, 0.44
0.10, 0.36
0.67, 0.42
1.00, 0.41
1.00, 0.42
1.00, 0.40
0.12, 0.41
1.00, 0.42
1.00, 0.42
1.00, 0.40
1.00, 0.42
0.00, 0.36
0.33, 0.38
1.00, 0.42
0.00, 0.36
1.00, 0.45
0.67, 0.37
1.00, 0.43
0.88, 0.43
1.00, 0.41
1.00, 0.41
1.00, 0.39
0.00, 0.36
1.00, 0.42
1.00, 0.42
1.00, 0.42
1.00, 0.42
1.00, 0.42
0.86, 0.43
1.00, 0.42
0.90, 0.37
1.00, 0.40
1.00, 0.44
1.00, 0.42
0.00, 0.37
0.38, 0.42
0.80, 0.42
1.00, 0.42
0.88, 0.42
1.00, 0.43
0.75, 0.42
0.70, 0.41
0.14, 0.35
0.43, 0.42
0.86, 0.48
1.00, 0.41
1.00, 0.43
0.25, 0.42
0.71, 0.42
0.00, 0.36
1.00, 0.42
0.71, 0.40
0.86, 0.44
0.00, 0.40
1.00, 0.41
1.00, 0.45
0.80, 0.39
0.00, 0.36
1.00, 0.42
0.00, 0.37
0.90, 0.41
1.00, 0.41
1.00, 0.42
0.80, 0.43
1.00, 0.43
0.20, 0.37
1.00, 0.39
1.00, 0.44
1.00, 0.43
0.10, 0.38
1.00, 0.39
0.78, 0.41
0.60, 0.42
1.00, 0.44
0.00, 0.36
0.10, 0.37
1.00, 0.43
0.71, 0.37
0.86, 0.42
1.00, 0.42
1.00, 0.46
1.00, 0.44
1.00, 0.44
1.00, 0.37
0.33, 0.43
0.60, 0.41
0.88, 0.36
1.00, 0.41
1.00, 0.43
1.00, 0.40
0.30, 0.36
1.00, 0.40
0.88, 0.42
0.57, 0.44
0.86, 0.41
1.00, 0.41
1.00, 0.44
1.00, 0.42
0.89, 0.42
1.00, 0.42
1.00, 0.41
1.00, 0.44
0.88, 0.38
0.75, 0.38
1.00, 0.44
0.00, 0.37
0.00, 0.37
0.00, 0.36
0.14, 0.37
1.00, 0.40
0.89, 0.41
1.00, 0.39
1.00, 0.42
1.00, 0.40
0.00, 0.39
1.00, 0.40
1.00, 0.43
0.90, 0.42
1.00, 0.41
0.71, 0.40
1.00, 0.41
1.00, 0.41
1.00, 0.42
1.00, 0.41
0.88, 0.44
1.00, 0.41
1.00, 0.42
1.00, 0.44
0.00, 0.36
1.00, 0.42
1.00, 0.43
0.25, 0.40
1.00, 0.44
0.00, 0.36
1.00, 0.41
1.00, 0.42
1.00, 0.41
1.00, 0.40
1.00, 0.42
0.86, 0.41
1.00, 0.43
0.88, 0.43
1.00, 0.37
1.00, 0.42
0.80, 0.41
0.00, 0.37
1.00, 0.43
0.88, 0.40
1.00, 0.45
0.43, 0.36
1.00, 0.39
1.00, 0.41
1.00, 0.45
0.88, 0.41
1.00, 0.43
1.00, 0.41
1.00, 0.42
0.75, 0.36
1.00, 0.43
1.00, 0.40
0.57, 0.42
1.00, 0.40
1.00, 0.42
0.71, 0.41
1.00, 0.44
0.71, 0.41
0.67, 0.43
1.00, 0.44
0.71, 0.36
0.33, 0.35
0.14, 0.42
1.00, 0.43
1.00, 0.41
1.00, 0.42
1.00, 0.42
0.14, 0.41
0.75, 0.42
0.44, 0.37
0.20, 0.36
1.00, 0.42
0.78, 0.42
1.00, 0.41
1.00, 0.44
1.00, 0.44
0.00, 0.36
1.00, 0.35
1.00, 0.42
1.00, 0.42
0.90, 0.43
0.20, 0.39
0.75, 0.43
0.75, 0.37
0.90, 0.41
0.86, 0.39
1.00, 0.42
0.56, 0.38
0.90, 0.39
0.44, 0.42
0.86, 0.44
0.67, 0.40
0.22, 0.41
0.56, 0.41
1.00, 0.45
0.00, 0.42
1.00, 0.37
1.00, 0.41
1.00, 0.44
0.50, 0.40
1.00, 0.45
0.88, 0.41
0.78, 0.43
1.00, 0.43
1.00, 0.42
1.00, 0.42
0.86, 0.40
0.67, 0.39
1.00, 0.42
0.25, 0.38
0.12, 0.36
1.00, 0.43
0.75, 0.41
0.88, 0.43
0.40, 0.42
0.70, 0.38
1.00, 0.43
0.30, 0.40
0.00, 0.37
1.00, 0.41
0.00, 0.41
1.00, 0.43
1.00, 0.42
0.70, 0.43
0.43, 0.36
1.00, 0.43
0.29, 0.42
1.00, 0.40
1.00, 0.44
0.70, 0.45
