Score, Predict
1.00, 0.48
1.00, 0.56
1.00, 0.64
0.00, 0.45
1.00, 0.48
1.00, 0.61
0.56, 0.54
1.00, 0.60
1.00, 0.63
1.00, 0.58
0.88, 0.58
1.00, 0.25
1.00, 0.57
1.00, 0.63
1.00, 0.66
0.00, 0.52
1.00, 0.39
1.00, 0.56
0.75, 0.59
0.50, 0.48
1.00, 0.60
0.86, 0.63
0.90, 0.59
1.00, 0.63
1.00, 0.56
1.00, 0.64
1.00, 0.63
0.89, 0.62
1.00, 0.59
1.00, 0.58
0.10, 0.31
1.00, 0.56
0.38, 0.42
0.57, 0.62
1.00, 0.65
0.43, 0.59
1.00, 0.59
0.62, 0.55
1.00, 0.62
0.43, 0.49
0.00, 0.24
0.86, 0.39
0.67, 0.58
1.00, 0.60
1.00, 0.69
0.38, 0.62
0.00, 0.22
1.00, 0.54
1.00, 0.64
0.30, 0.33
0.00, 0.57
0.00, 0.41
1.00, 0.58
1.00, 0.68
0.38, 0.60
1.00, 0.61
0.11, 0.29
1.00, 0.65
1.00, 0.65
0.40, 0.55
0.71, 0.54
0.00, 0.23
0.00, 0.44
1.00, 0.48
0.00, 0.29
1.00, 0.51
0.70, 0.48
0.90, 0.51
1.00, 0.63
0.57, 0.24
0.80, 0.63
1.00, 0.68
1.00, 0.55
0.22, 0.24
0.43, 0.56
1.00, 0.62
0.75, 0.65
1.00, 0.60
0.86, 0.52
1.00, 0.62
1.00, 0.63
1.00, 0.64
0.00, 0.23
0.88, 0.59
0.00, 0.38
1.00, 0.61
1.00, 0.52
0.25, 0.41
0.86, 0.65
1.00, 0.59
1.00, 0.58
1.00, 0.53
0.86, 0.55
1.00, 0.60
0.90, 0.61
1.00, 0.58
0.78, 0.62
0.89, 0.56
1.00, 0.64
1.00, 0.64
0.89, 0.60
1.00, 0.63
1.00, 0.66
0.88, 0.50
0.89, 0.57
0.00, 0.54
1.00, 0.68
0.44, 0.24
0.11, 0.24
1.00, 0.62
0.00, 0.24
0.70, 0.43
0.88, 0.67
1.00, 0.59
0.57, 0.61
0.00, 0.25
0.88, 0.64
1.00, 0.62
1.00, 0.53
0.38, 0.44
0.10, 0.26
1.00, 0.61
0.00, 0.23
0.40, 0.31
1.00, 0.64
1.00, 0.64
0.29, 0.57
1.00, 0.65
0.86, 0.64
0.62, 0.54
1.00, 0.52
1.00, 0.65
0.80, 0.60
0.00, 0.23
0.71, 0.59
1.00, 0.61
1.00, 0.65
0.00, 0.40
0.78, 0.55
0.57, 0.52
0.00, 0.24
1.00, 0.68
0.86, 0.52
0.12, 0.55
0.71, 0.56
0.80, 0.61
0.89, 0.62
0.00, 0.52
0.60, 0.59
0.56, 0.49
0.00, 0.52
0.22, 0.26
0.62, 0.63
1.00, 0.59
0.00, 0.28
0.00, 0.24
1.00, 0.67
0.30, 0.24
1.00, 0.60
1.00, 0.64
1.00, 0.63
1.00, 0.51
1.00, 0.49
1.00, 0.52
0.88, 0.61
0.75, 0.60
0.30, 0.36
1.00, 0.61
1.00, 0.61
1.00, 0.56
1.00, 0.59
1.00, 0.61
0.00, 0.23
1.00, 0.66
0.88, 0.56
1.00, 0.59
1.00, 0.63
0.86, 0.59
1.00, 0.63
1.00, 0.55
1.00, 0.62
0.86, 0.63
1.00, 0.56
0.43, 0.56
0.00, 0.24
1.00, 0.66
1.00, 0.57
1.00, 0.57
0.38, 0.43
0.00, 0.25
0.00, 0.63
0.38, 0.25
1.00, 0.54
0.88, 0.53
1.00, 0.50
0.80, 0.47
1.00, 0.51
0.75, 0.45
0.90, 0.47
1.00, 0.66
1.00, 0.59
1.00, 0.58
0.00, 0.24
1.00, 0.63
1.00, 0.59
1.00, 0.64
1.00, 0.62
1.00, 0.62
0.88, 0.63
0.11, 0.23
0.71, 0.32
1.00, 0.49
0.14, 0.51
0.29, 0.56
1.00, 0.62
1.00, 0.64
1.00, 0.67
1.00, 0.59
0.86, 0.65
0.00, 0.25
0.88, 0.28
1.00, 0.66
0.90, 0.55
0.25, 0.64
1.00, 0.61
1.00, 0.62
1.00, 0.64
1.00, 0.65
0.00, 0.25
0.88, 0.54
1.00, 0.57
1.00, 0.55
0.12, 0.23
1.00, 0.62
0.90, 0.60
1.00, 0.57
1.00, 0.63
1.00, 0.59
0.00, 0.24
1.00, 0.63
0.00, 0.28
0.75, 0.60
0.89, 0.49
1.00, 0.66
1.00, 0.63
1.00, 0.51
1.00, 0.59
1.00, 0.55
0.38, 0.59
0.90, 0.56
0.90, 0.55
1.00, 0.61
1.00, 0.61
0.11, 0.25
1.00, 0.65
1.00, 0.62
0.25, 0.56
0.12, 0.25
0.86, 0.62
1.00, 0.54
0.44, 0.23
0.00, 0.54
0.43, 0.57
1.00, 0.62
0.00, 0.52
0.29, 0.65
1.00, 0.55
0.20, 0.42
1.00, 0.43
0.00, 0.34
1.00, 0.60
0.29, 0.59
0.60, 0.54
1.00, 0.56
0.00, 0.22
0.86, 0.57
0.00, 0.23
1.00, 0.66
1.00, 0.58
0.71, 0.62
0.14, 0.24
1.00, 0.53
0.90, 0.53
1.00, 0.66
0.86, 0.52
1.00, 0.61
1.00, 0.60
0.88, 0.64
0.50, 0.53
1.00, 0.62
0.71, 0.63
1.00, 0.60
1.00, 0.58
0.50, 0.25
0.20, 0.43
1.00, 0.64
1.00, 0.58
1.00, 0.55
0.90, 0.57
0.44, 0.34
0.86, 0.68
0.00, 0.30
1.00, 0.64
0.00, 0.23
1.00, 0.57
1.00, 0.62
1.00, 0.61
1.00, 0.60
1.00, 0.54
1.00, 0.61
0.10, 0.45
1.00, 0.64
0.22, 0.23
1.00, 0.50
1.00, 0.65
1.00, 0.64
1.00, 0.47
0.00, 0.22
1.00, 0.61
0.57, 0.60
1.00, 0.56
1.00, 0.62
0.50, 0.64
0.00, 0.42
0.89, 0.49
1.00, 0.48
1.00, 0.61
1.00, 0.61
0.29, 0.30
0.00, 0.48
1.00, 0.65
0.20, 0.36
1.00, 0.24
0.80, 0.54
1.00, 0.61
0.57, 0.61
0.62, 0.61
1.00, 0.52
1.00, 0.66
1.00, 0.65
0.40, 0.32
0.86, 0.60
0.90, 0.66
1.00, 0.61
0.25, 0.24
0.00, 0.22
1.00, 0.67
1.00, 0.64
0.89, 0.54
1.00, 0.57
1.00, 0.51
0.80, 0.47
1.00, 0.53
1.00, 0.60
0.14, 0.54
0.71, 0.58
1.00, 0.66
1.00, 0.58
0.86, 0.62
1.00, 0.55
1.00, 0.62
0.90, 0.51
0.88, 0.63
0.30, 0.29
0.57, 0.63
0.57, 0.33
1.00, 0.57
0.71, 0.23
1.00, 0.65
1.00, 0.56
0.12, 0.23
1.00, 0.62
1.00, 0.58
0.90, 0.42
1.00, 0.59
1.00, 0.63
1.00, 0.55
1.00, 0.65
1.00, 0.67
0.43, 0.23
0.00, 0.49
1.00, 0.62
1.00, 0.38
1.00, 0.60
1.00, 0.49
1.00, 0.62
1.00, 0.65
0.86, 0.60
0.00, 0.24
0.78, 0.57
0.00, 0.57
1.00, 0.62
1.00, 0.59
