Score, Predict
1.00, 0.46
0.86, 0.46
0.78, 0.46
0.88, 0.46
0.00, 0.46
0.00, 0.46
1.00, 0.46
0.50, 0.46
0.30, 0.46
0.00, 0.46
1.00, 0.46
0.50, 0.46
0.90, 0.46
0.62, 0.46
1.00, 0.46
0.38, 0.46
1.00, 0.49
0.62, 0.50
0.50, 0.48
1.00, 0.49
1.00, 0.48
1.00, 0.50
1.00, 0.48
0.90, 0.49
0.00, 0.49
1.00, 0.50
1.00, 0.49
1.00, 0.50
0.89, 0.49
1.00, 0.49
0.00, 0.48
0.70, 0.48
1.00, 0.55
0.56, 0.54
0.89, 0.57
0.90, 0.53
0.14, 0.55
1.00, 0.54
1.00, 0.60
0.86, 0.55
1.00, 0.53
1.00, 0.52
0.80, 0.52
0.25, 0.57
1.00, 0.55
0.29, 0.51
1.00, 0.54
0.57, 0.54
0.78, 0.61
1.00, 0.63
1.00, 0.63
0.12, 0.61
1.00, 0.61
0.12, 0.64
1.00, 0.60
0.20, 0.56
0.70, 0.62
0.00, 0.58
0.44, 0.58
1.00, 0.59
1.00, 0.61
1.00, 0.64
0.88, 0.57
0.90, 0.59
1.00, 0.72
1.00, 0.66
1.00, 0.62
0.10, 0.68
0.20, 0.59
0.25, 0.65
0.86, 0.68
1.00, 0.69
0.70, 0.68
0.10, 0.56
1.00, 0.69
0.14, 0.53
1.00, 0.70
0.88, 0.64
1.00, 0.70
0.00, 0.53
0.67, 0.65
1.00, 0.75
1.00, 0.64
1.00, 0.71
0.62, 0.67
0.60, 0.65
0.88, 0.67
0.00, 0.72
1.00, 0.64
1.00, 0.75
1.00, 0.72
0.86, 0.70
0.89, 0.72
1.00, 0.80
0.80, 0.64
1.00, 0.72
0.86, 0.74
1.00, 0.75
0.57, 0.75
0.88, 0.72
0.10, 0.65
0.67, 0.66
1.00, 0.73
1.00, 0.67
1.00, 0.75
0.12, 0.71
1.00, 0.71
1.00, 0.77
1.00, 0.68
1.00, 0.74
0.00, 0.51
0.33, 0.60
1.00, 0.74
0.00, 0.57
1.00, 0.73
0.67, 0.64
1.00, 0.70
0.88, 0.76
1.00, 0.73
1.00, 0.58
1.00, 0.75
0.00, 0.54
1.00, 0.76
1.00, 0.78
1.00, 0.77
1.00, 0.74
1.00, 0.78
0.86, 0.69
1.00, 0.77
0.90, 0.58
1.00, 0.77
1.00, 0.74
1.00, 0.76
0.00, 0.68
0.38, 0.60
0.80, 0.74
1.00, 0.70
0.88, 0.75
1.00, 0.79
0.75, 0.72
0.70, 0.74
0.14, 0.54
0.43, 0.70
0.86, 0.77
1.00, 0.74
1.00, 0.76
0.25, 0.71
0.71, 0.82
0.00, 0.60
1.00, 0.76
0.71, 0.70
0.86, 0.85
0.00, 0.76
1.00, 0.78
1.00, 0.71
0.80, 0.73
0.00, 0.53
1.00, 0.73
0.00, 0.49
0.90, 0.68
1.00, 0.77
1.00, 0.78
0.80, 0.76
1.00, 0.73
0.20, 0.61
1.00, 0.69
1.00, 0.83
1.00, 0.83
0.10, 0.76
1.00, 0.72
0.78, 0.76
0.60, 0.77
1.00, 0.72
0.00, 0.49
0.10, 0.69
1.00, 0.77
0.71, 0.52
0.86, 0.75
1.00, 0.74
1.00, 0.81
1.00, 0.69
1.00, 0.82
1.00, 0.68
0.33, 0.71
0.60, 0.82
0.88, 0.66
1.00, 0.82
1.00, 0.78
1.00, 0.77
0.30, 0.45
1.00, 0.76
0.88, 0.77
0.57, 0.82
0.86, 0.73
1.00, 0.68
1.00, 0.89
1.00, 0.73
0.89, 0.69
1.00, 0.80
1.00, 0.78
1.00, 0.74
0.88, 0.72
0.75, 0.78
1.00, 0.77
0.00, 0.59
0.00, 0.57
0.00, 0.57
0.14, 0.69
1.00, 0.74
0.89, 0.79
1.00, 0.63
1.00, 0.66
1.00, 0.74
0.00, 0.67
1.00, 0.75
1.00, 0.75
0.90, 0.68
1.00, 0.72
0.71, 0.65
1.00, 0.91
1.00, 0.67
1.00, 0.75
1.00, 0.82
0.88, 0.82
1.00, 0.71
1.00, 0.78
1.00, 0.81
0.00, 0.65
1.00, 0.67
1.00, 0.71
0.25, 0.67
1.00, 0.78
0.00, 0.60
1.00, 0.80
1.00, 0.59
1.00, 0.81
1.00, 0.72
1.00, 0.77
0.86, 0.78
1.00, 0.91
0.88, 0.82
1.00, 0.72
1.00, 0.72
0.80, 0.69
0.00, 0.49
1.00, 0.84
0.88, 0.75
1.00, 0.73
0.43, 0.53
1.00, 0.72
1.00, 0.82
1.00, 0.76
0.88, 0.74
1.00, 0.76
1.00, 0.76
1.00, 0.82
0.75, 0.53
1.00, 0.74
1.00, 0.73
0.57, 0.75
1.00, 0.68
1.00, 0.82
0.71, 0.72
1.00, 0.88
0.71, 0.80
0.67, 0.77
1.00, 0.86
0.71, 0.55
0.33, 0.50
0.14, 0.70
1.00, 0.64
1.00, 0.66
1.00, 0.79
1.00, 0.76
0.14, 0.71
0.75, 0.86
0.44, 0.70
0.20, 0.58
1.00, 0.75
0.78, 0.82
1.00, 0.76
1.00, 0.80
1.00, 0.71
0.00, 0.60
1.00, 0.61
1.00, 0.75
1.00, 0.76
0.90, 0.79
0.20, 0.65
0.75, 0.60
0.75, 0.56
0.90, 0.77
0.86, 0.73
1.00, 0.79
0.56, 0.68
0.90, 0.75
0.44, 0.73
0.86, 0.76
0.67, 0.65
0.22, 0.79
0.56, 0.76
1.00, 0.87
0.00, 0.74
1.00, 0.66
1.00, 0.75
1.00, 0.79
0.50, 0.73
1.00, 0.79
0.88, 0.85
0.78, 0.79
1.00, 0.81
1.00, 0.71
1.00, 0.81
0.86, 0.70
0.67, 0.71
1.00, 0.77
0.25, 0.54
0.12, 0.54
1.00, 0.78
0.75, 0.79
0.88, 0.89
0.40, 0.80
0.70, 0.64
1.00, 0.73
0.30, 0.76
0.00, 0.55
1.00, 0.75
0.00, 0.76
1.00, 0.77
1.00, 0.73
0.70, 0.80
0.43, 0.60
1.00, 0.72
0.29, 0.80
1.00, 0.70
1.00, 0.72
0.70, 0.74
1.00, 0.82
0.22, 0.50
1.00, 0.75
0.57, 0.56
0.00, 0.73
0.11, 0.55
1.00, 0.86
1.00, 0.80
1.00, 0.83
0.86, 0.63
1.00, 0.81
1.00, 0.81
1.00, 0.74
1.00, 0.75
1.00, 0.73
1.00, 0.70
0.00, 0.58
1.00, 0.78
1.00, 0.83
1.00, 0.81
0.56, 0.59
0.70, 0.76
0.75, 0.70
1.00, 0.83
0.12, 0.61
0.89, 0.76
0.00, 0.67
0.62, 0.78
0.57, 0.62
1.00, 0.77
0.71, 0.70
1.00, 0.75
0.00, 0.81
1.00, 0.84
0.00, 0.66
0.00, 0.57
0.78, 0.83
0.00, 0.65
1.00, 0.66
1.00, 0.77
1.00, 0.77
0.29, 0.64
0.90, 0.77
1.00, 0.83
0.10, 0.51
1.00, 0.82
0.89, 0.67
0.38, 0.79
1.00, 0.86
1.00, 0.75
0.70, 0.68
1.00, 0.72
1.00, 0.76
1.00, 0.82
1.00, 0.79
0.20, 0.65
1.00, 0.77
0.00, 0.41
1.00, 0.76
1.00, 0.82
1.00, 0.79
0.00, 0.61
0.86, 0.76
1.00, 0.74
1.00, 0.83
1.00, 0.69
0.00, 0.50
0.86, 0.91
1.00, 0.80
1.00, 0.81
1.00, 0.71
0.00, 0.54
1.00, 0.73
0.00, 0.73
1.00, 0.66
1.00, 0.84
0.89, 0.67
0.57, 0.55
0.88, 0.73
0.88, 0.80
1.00, 0.86
0.75, 0.57
1.00, 0.80
1.00, 0.58
0.00, 0.53
1.00, 0.76
1.00, 0.79
0.88, 0.79
1.00, 0.71
0.12, 0.48
1.00, 0.81
1.00, 0.73
1.00, 0.78
0.38, 0.83
0.00, 0.56
0.50, 0.77
1.00, 0.79
1.00, 0.71
1.00, 0.77
1.00, 0.80
0.80, 0.74
1.00, 0.72
0.00, 0.45
1.00, 0.87
0.90, 0.74
0.86, 0.87
1.00, 0.75
0.71, 0.61
0.86, 0.73
0.78, 0.66
1.00, 0.76
1.00, 0.85
0.78, 0.78
0.50, 0.79
0.80, 0.72
1.00, 0.79
1.00, 0.83
0.80, 0.64
0.00, 0.52
0.38, 0.77
0.11, 0.48
1.00, 0.82
1.00, 0.80
0.20, 0.75
1.00, 0.76
1.00, 0.76
0.00, 0.55
1.00, 0.81
1.00, 0.80
1.00, 0.66
0.00, 0.56
1.00, 0.77
0.14, 0.47
1.00, 0.77
