Score, Predict
1.00, 0.58
0.86, 0.58
0.78, 0.58
0.88, 0.58
0.00, 0.58
0.00, 0.58
1.00, 0.58
0.50, 0.58
0.30, 0.58
0.00, 0.58
1.00, 0.58
0.50, 0.58
0.90, 0.58
0.62, 0.58
1.00, 0.58
0.38, 0.58
1.00, 0.67
0.62, 0.60
0.50, 0.63
1.00, 0.81
1.00, 0.64
1.00, 0.81
1.00, 0.64
0.90, 0.63
0.00, 0.64
1.00, 0.63
1.00, 0.63
1.00, 0.67
0.89, 0.63
1.00, 0.64
0.00, 0.60
0.70, 0.73
1.00, 0.80
0.56, 0.71
0.89, 0.66
0.90, 0.80
0.14, 0.66
1.00, 0.53
1.00, 0.68
0.86, 0.51
1.00, 0.87
1.00, 0.87
0.80, 0.70
0.25, 0.53
1.00, 0.70
0.29, 0.60
1.00, 0.80
0.57, 0.71
0.78, 0.86
1.00, 0.74
1.00, 0.75
0.12, 0.59
1.00, 0.67
0.12, 0.72
1.00, 0.86
0.20, 0.49
0.70, 0.69
0.00, 0.93
0.44, 0.51
1.00, 0.67
1.00, 0.86
1.00, 0.75
0.88, 0.49
0.90, 0.59
1.00, 0.86
1.00, 0.84
1.00, 0.42
0.10, 0.86
0.20, 0.60
0.25, 0.86
0.86, 0.99
1.00, 0.87
0.70, 0.77
0.10, 0.76
1.00, 0.87
0.14, 0.42
1.00, 0.46
0.88, 0.99
1.00, 0.74
0.00, 0.60
0.67, 0.62
1.00, 0.99
1.00, 1.00
1.00, 0.85
0.62, 0.85
0.60, 0.87
0.88, 1.00
0.00, 1.00
1.00, 0.99
1.00, 1.00
1.00, 1.00
0.86, 0.85
0.89, 0.77
1.00, 0.90
0.80, 0.87
1.00, 0.77
0.86, 0.99
1.00, 0.77
0.57, 0.91
0.88, 0.98
0.10, 0.89
0.67, 0.99
1.00, 0.85
1.00, 0.38
1.00, 0.76
0.12, 1.00
1.00, 1.00
1.00, 0.91
1.00, 0.39
1.00, 1.00
0.00, 0.58
0.33, 0.79
1.00, 0.23
0.00, 0.78
1.00, 1.00
0.67, 0.96
