Score, Predict
0.25, 0.37
0.00, 0.39
0.00, 0.34
0.00, 0.30
0.86, 0.44
0.00, 0.40
1.00, 0.43
1.00, 0.42
1.00, 0.37
0.86, 0.44
1.00, 0.43
1.00, 0.39
0.00, 0.40
1.00, 0.46
0.86, 0.42
0.22, 0.40
1.00, 0.40
0.00, 0.29
0.00, 0.33
0.90, 0.44
1.00, 0.39
1.00, 0.43
1.00, 0.42
1.00, 0.45
0.57, 0.41
0.75, 0.38
1.00, 0.38
0.88, 0.42
1.00, 0.50
0.00, 0.42
0.00, 0.28
0.90, 0.37
1.00, 0.39
0.88, 0.39
0.90, 0.39
1.00, 0.43
1.00, 0.45
0.29, 0.37
1.00, 0.39
0.00, 0.36
1.00, 0.44
0.50, 0.36
0.71, 0.43
1.00, 0.43
1.00, 0.41
0.00, 0.26
0.70, 0.41
0.20, 0.33
1.00, 0.42
1.00, 0.41
0.00, 0.33
1.00, 0.46
0.88, 0.41
0.43, 0.36
0.00, 0.40
0.00, 0.35
0.80, 0.43
0.38, 0.35
1.00, 0.35
1.00, 0.41
1.00, 0.44
1.00, 0.35
0.70, 0.39
0.00, 0.31
0.80, 0.37
1.00, 0.45
1.00, 0.47
1.00, 0.46
1.00, 0.39
0.25, 0.43
1.00, 0.37
1.00, 0.43
0.78, 0.33
0.00, 0.34
0.71, 0.36
1.00, 0.44
1.00, 0.46
0.00, 0.39
0.25, 0.33
0.43, 0.37
0.44, 0.37
0.62, 0.31
0.75, 0.38
0.00, 0.32
1.00, 0.48
0.88, 0.44
0.86, 0.43
0.00, 0.34
0.60, 0.37
1.00, 0.42
0.00, 0.38
1.00, 0.40
1.00, 0.40
0.00, 0.38
1.00, 0.42
0.86, 0.46
0.00, 0.39
1.00, 0.49
0.00, 0.41
0.89, 0.36
0.11, 0.30
1.00, 0.46
0.78, 0.41
0.40, 0.37
0.00, 0.39
0.30, 0.40
0.86, 0.42
0.71, 0.44
1.00, 0.43
0.00, 0.29
1.00, 0.48
1.00, 0.39
1.00, 0.43
0.86, 0.46
0.00, 0.37
0.14, 0.29
1.00, 0.43
0.90, 0.30
1.00, 0.45
1.00, 0.44
0.57, 0.34
0.00, 0.43
0.00, 0.31
1.00, 0.41
0.00, 0.43
0.00, 0.27
1.00, 0.47
1.00, 0.40
1.00, 0.43
0.44, 0.36
0.50, 0.42
0.25, 0.39
1.00, 0.41
1.00, 0.48
1.00, 0.41
1.00, 0.45
0.00, 0.32
0.10, 0.37
0.00, 0.41
1.00, 0.41
1.00, 0.36
0.00, 0.25
1.00, 0.41
0.86, 0.37
1.00, 0.47
0.71, 0.35
1.00, 0.38
0.10, 0.31
1.00, 0.44
1.00, 0.44
1.00, 0.45
0.86, 0.40
0.00, 0.28
1.00, 0.38
0.80, 0.41
0.86, 0.41
0.78, 0.37
0.00, 0.33
1.00, 0.43
0.00, 0.35
0.14, 0.34
1.00, 0.44
1.00, 0.46
1.00, 0.46
0.00, 0.34
1.00, 0.40
0.12, 0.35
0.90, 0.38
1.00, 0.41
1.00, 0.42
