Score, Predict
1.00, 0.52
0.50, 0.47
0.71, 0.42
1.00, 0.55
0.00, 0.36
1.00, 0.52
1.00, 0.60
1.00, 0.54
0.56, 0.48
1.00, 0.57
1.00, 0.60
1.00, 0.54
1.00, 0.51
1.00, 0.51
0.00, 0.45
0.00, 0.43
1.00, 0.55
1.00, 0.58
0.00, 0.34
1.00, 0.53
0.22, 0.45
1.00, 0.51
1.00, 0.51
1.00, 0.52
1.00, 0.54
1.00, 0.56
0.78, 0.50
0.71, 0.51
1.00, 0.55
1.00, 0.58
0.14, 0.50
0.86, 0.48
0.90, 0.55
0.86, 0.49
0.14, 0.47
0.90, 0.52
0.89, 0.55
1.00, 0.52
0.60, 0.53
0.62, 0.50
1.00, 0.53
1.00, 0.58
1.00, 0.54
0.11, 0.31
1.00, 0.38
0.75, 0.55
1.00, 0.57
1.00, 0.53
0.33, 0.49
0.60, 0.41
0.25, 0.53
1.00, 0.58
0.00, 0.34
1.00, 0.54
0.88, 0.35
0.86, 0.51
1.00, 0.62
0.80, 0.47
0.88, 0.56
0.00, 0.41
0.00, 0.34
0.00, 0.55
1.00, 0.61
0.90, 0.52
0.78, 0.53
1.00, 0.35
1.00, 0.51
1.00, 0.57
0.90, 0.54
0.60, 0.44
0.40, 0.51
0.12, 0.39
1.00, 0.54
0.43, 0.51
0.00, 0.55
0.22, 0.44
1.00, 0.54
0.20, 0.35
1.00, 0.51
0.89, 0.52
0.00, 0.44
1.00, 0.51
1.00, 0.55
0.71, 0.52
1.00, 0.57
0.00, 0.45
1.00, 0.53
1.00, 0.54
1.00, 0.37
1.00, 0.55
0.38, 0.52
1.00, 0.56
1.00, 0.41
1.00, 0.55
0.57, 0.57
0.56, 0.51
0.50, 0.60
1.00, 0.55
0.62, 0.50
1.00, 0.53
1.00, 0.61
0.11, 0.33
0.56, 0.44
1.00, 0.53
1.00, 0.56
1.00, 0.50
0.00, 0.41
1.00, 0.48
1.00, 0.52
0.30, 0.51
0.90, 0.50
0.86, 0.55
1.00, 0.53
0.33, 0.54
1.00, 0.59
0.00, 0.45
1.00, 0.54
1.00, 0.57
1.00, 0.58
0.38, 0.42
1.00, 0.39
0.00, 0.33
1.00, 0.53
1.00, 0.57
0.00, 0.34
0.86, 0.57
0.00, 0.42
0.50, 0.60
0.80, 0.49
1.00, 0.45
0.44, 0.40
0.00, 0.35
0.78, 0.60
0.29, 0.40
1.00, 0.57
0.43, 0.47
0.14, 0.46
1.00, 0.54
0.71, 0.55
0.62, 0.56
1.00, 0.58
1.00, 0.55
1.00, 0.57
0.88, 0.46
0.00, 0.41
0.00, 0.38
1.00, 0.54
1.00, 0.55
1.00, 0.53
0.70, 0.54
1.00, 0.53
0.70, 0.45
0.80, 0.53
1.00, 0.50
1.00, 0.53
0.86, 0.60
1.00, 0.54
0.89, 0.54
1.00, 0.52
0.00, 0.34
1.00, 0.58
0.00, 0.37
0.00, 0.30
0.00, 0.45
1.00, 0.59
0.62, 0.43
1.00, 0.49
0.89, 0.55
0.00, 0.42
0.50, 0.55
1.00, 0.55
0.71, 0.55
1.00, 0.57
1.00, 0.60
1.00, 0.56
1.00, 0.53
1.00, 0.51
1.00, 0.53
0.71, 0.48
0.14, 0.46
1.00, 0.56
1.00, 0.52
1.00, 0.54
1.00, 0.54
1.00, 0.51
0.78, 0.56
1.00, 0.60
0.75, 0.36
0.86, 0.52
0.00, 0.44
0.00, 0.40
0.14, 0.51
1.00, 0.57
0.78, 0.56
1.00, 0.53
0.00, 0.46
1.00, 0.48
0.00, 0.39
1.00, 0.51
1.00, 0.42
0.00, 0.41
1.00, 0.54
0.90, 0.48
0.25, 0.56
0.78, 0.60
1.00, 0.56
1.00, 0.49
0.25, 0.54
1.00, 0.58
1.00, 0.50
1.00, 0.57
0.90, 0.59
1.00, 0.49
1.00, 0.52
