Score, Predict
/home/ubuntu/elec823/hurricane/mod7/ssn/snrLo/hvd_011_mono.wav, 0.1870, 0.3221
/home/ubuntu/elec823/hurricane/mod4/ssn/snrHi/hvd_026_mono.wav, 0.4672, 0.4309
/home/ubuntu/elec823/hurricane/mod16/cs/snrHi/hvd_118_mono.wav, 0.5338, 0.3877
/home/ubuntu/elec823/hurricane/mod4/ssn/snrLo/hvd_014_mono.wav, 0.1756, 0.2967
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_105_mono.wav, 0.2799, 0.3329
/home/ubuntu/elec823/hurricane/mod1/cs/snrHi/hvd_162_mono.wav, 0.5364, 0.3459
/home/ubuntu/elec823/hurricane/mod19/cs/snrHi/hvd_101_mono.wav, 0.5056, 0.4746
/home/ubuntu/elec823/hurricane/mod10/cs/snrLo/hvd_003_mono.wav, 0.3006, 0.4348
/home/ubuntu/elec823/hurricane/mod19/cs/snrHi/hvd_130_mono.wav, 0.5482, 0.3491
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_018_mono.wav, 0.3235, 0.3764
/home/ubuntu/elec823/hurricane/mod14/cs/snrLo/hvd_097_mono.wav, 0.2482, 0.4489
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_179_mono.wav, 0.4972, 0.3801
/home/ubuntu/elec823/hurricane/mod17/cs/snrHi/hvd_060_mono.wav, 0.5004, 0.4075
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_088_mono.wav, 0.4923, 0.4724
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_030_mono.wav, 0.3787, 0.3833
/home/ubuntu/elec823/hurricane/mod16/cs/snrLo/hvd_099_mono.wav, 0.2337, 0.4681
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_061_mono.wav, 0.4564, 0.4333
/home/ubuntu/elec823/hurricane/mod1/cs/snrMid/hvd_097_mono.wav, 0.4047, 0.4527
/home/ubuntu/elec823/hurricane/mod19/ssn/snrHi/hvd_097_mono.wav, 0.4234, 0.4134
/home/ubuntu/elec823/hurricane/mod15/cs/snrMid/hvd_115_mono.wav, 0.4267, 0.3987
/home/ubuntu/elec823/hurricane/mod17/cs/snrHi/hvd_091_mono.wav, 0.5191, 0.4442
/home/ubuntu/elec823/hurricane/mod11/cs/snrHi/hvd_084_mono.wav, 0.5084, 0.4465
/home/ubuntu/elec823/hurricane/mod20/cs/snrHi/hvd_040_mono.wav, 0.4333, 0.4690
/home/ubuntu/elec823/hurricane/mod9/cs/snrHi/hvd_046_mono.wav, 0.5570, 0.4577
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_113_mono.wav, 0.3175, 0.3175
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_124_mono.wav, 0.2289, 0.3855
/home/ubuntu/elec823/hurricane/mod20/cs/snrHi/hvd_074_mono.wav, 0.5687, 0.4332
/home/ubuntu/elec823/hurricane/mod1/cs/snrLo/hvd_062_mono.wav, 0.2400, 0.4149
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_177_mono.wav, 0.3642, 0.3982
/home/ubuntu/elec823/hurricane/mod13/cs/snrLo/hvd_044_mono.wav, 0.3078, 0.4465
