Score, Predict
/home/ubuntu/elec823/hurricane/mod13/ssn/snrLo/hvd_087_mono.wav, 0.76, 0.43
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_066_mono.wav, 0.14, 0.43
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_171_mono.wav, 0.45, 0.43
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_104_mono.wav, 0.70, 0.43
/home/ubuntu/elec823/hurricane/mod14/ssn/snrHi/hvd_091_mono.wav, 0.20, 0.58
/home/ubuntu/elec823/hurricane/mod4/ssn/snrMid/hvd_003_mono.wav, 0.25, 0.43
/home/ubuntu/elec823/hurricane/mod9/ssn/snrHi/hvd_060_mono.wav, 0.92, 0.45
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_138_mono.wav, 0.17, 0.43
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_166_mono.wav, 0.85, 0.55
/home/ubuntu/elec823/hurricane/mod8/ssn/snrHi/hvd_027_mono.wav, 0.98, 0.60
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_077_mono.wav, 0.30, 0.43
/home/ubuntu/elec823/hurricane/mod18/ssn/snrMid/hvd_014_mono.wav, 0.11, 0.43
/home/ubuntu/elec823/hurricane/mod9/ssn/snrLo/hvd_026_mono.wav, 0.51, 0.43
/home/ubuntu/elec823/hurricane/mod8/ssn/snrLo/hvd_015_mono.wav, 0.22, 0.43
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_091_mono.wav, 0.94, 0.53
/home/ubuntu/elec823/hurricane/mod15/ssn/snrMid/hvd_095_mono.wav, 0.89, 0.43
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_128_mono.wav, 0.08, 0.44
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_017_mono.wav, 0.48, 0.43
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_168_mono.wav, 0.76, 0.43
/home/ubuntu/elec823/hurricane/mod19/ssn/snrLo/hvd_134_mono.wav, 0.06, 0.43
/home/ubuntu/elec823/hurricane/mod16/ssn/snrMid/hvd_118_mono.wav, 0.66, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_145_mono.wav, 0.23, 0.43
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_048_mono.wav, 0.13, 0.44
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_047_mono.wav, 0.07, 0.48
/home/ubuntu/elec823/hurricane/mod18/ssn/snrMid/hvd_011_mono.wav, 0.13, 0.43
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_107_mono.wav, 0.16, 0.51
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_072_mono.wav, 0.15, 0.43
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_156_mono.wav, 0.13, 0.45
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_152_mono.wav, 0.15, 0.43
/home/ubuntu/elec823/hurricane/mod13/ssn/snrMid/hvd_010_mono.wav, 0.83, 0.54
/home/ubuntu/elec823/hurricane/mod11/ssn/snrLo/hvd_097_mono.wav, 0.26, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_069_mono.wav, 0.12, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_101_mono.wav, 0.24, 0.43
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_136_mono.wav, 0.84, 0.45
/home/ubuntu/elec823/hurricane/mod19/ssn/snrMid/hvd_169_mono.wav, 0.08, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_162_mono.wav, 0.26, 0.43
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_177_mono.wav, 0.65, 0.43
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_107_mono.wav, 0.15, 0.43
/home/ubuntu/elec823/hurricane/mod3/ssn/snrMid/hvd_145_mono.wav, 0.70, 0.43
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_055_mono.wav, 0.68, 0.43
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_101_mono.wav, 0.18, 0.43
/home/ubuntu/elec823/hurricane/mod9/ssn/snrMid/hvd_042_mono.wav, 0.75, 0.43
/home/ubuntu/elec823/hurricane/mod6/ssn/snrHi/hvd_155_mono.wav, 0.97, 0.60
/home/ubuntu/elec823/hurricane/mod17/ssn/snrLo/hvd_152_mono.wav, 0.65, 0.43
/home/ubuntu/elec823/hurricane/mod6/ssn/snrMid/hvd_112_mono.wav, 0.69, 0.47
/home/ubuntu/elec823/hurricane/mod14/ssn/snrLo/hvd_095_mono.wav, 0.06, 0.43
/home/ubuntu/elec823/hurricane/mod1/ssn/snrLo/hvd_015_mono.wav, 0.11, 0.43
/home/ubuntu/elec823/hurricane/mod2/ssn/snrHi/hvd_056_mono.wav, 0.23, 0.43
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_105_mono.wav, 0.09, 0.55
/home/ubuntu/elec823/hurricane/mod12/ssn/snrHi/hvd_002_mono.wav, 0.12, 0.58
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_005_mono.wav, 0.70, 0.49
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_180_mono.wav, 0.39, 0.43
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_161_mono.wav, 0.42, 0.43
/home/ubuntu/elec823/hurricane/mod10/ssn/snrMid/hvd_078_mono.wav, 0.52, 0.43
/home/ubuntu/elec823/hurricane/mod15/ssn/snrHi/hvd_074_mono.wav, 0.98, 0.51
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_064_mono.wav, 0.35, 0.49
/home/ubuntu/elec823/hurricane/mod20/ssn/snrMid/hvd_084_mono.wav, 0.83, 0.44
/home/ubuntu/elec823/hurricane/mod1/ssn/snrHi/hvd_046_mono.wav, 0.08, 0.44
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_075_mono.wav, 0.81, 0.46
/home/ubuntu/elec823/hurricane/mod2/ssn/snrMid/hvd_115_mono.wav, 0.14, 0.43
/home/ubuntu/elec823/hurricane/mod16/ssn/snrLo/hvd_048_mono.wav, 0.59, 0.43
/home/ubuntu/elec823/hurricane/mod11/ssn/snrHi/hvd_097_mono.wav, 0.19, 0.49
/home/ubuntu/elec823/hurricane/mod12/ssn/snrLo/hvd_070_mono.wav, 0.08, 0.43
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_030_mono.wav, 0.17, 0.43
/home/ubuntu/elec823/hurricane/mod16/ssn/snrHi/hvd_052_mono.wav, 0.91, 0.61
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_061_mono.wav, 0.09, 0.43
/home/ubuntu/elec823/hurricane/mod5/ssn/snrMid/hvd_061_mono.wav, 0.14, 0.43
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_033_mono.wav, 0.95, 0.60
/home/ubuntu/elec823/hurricane/mod10/ssn/snrHi/hvd_021_mono.wav, 0.76, 0.43
/home/ubuntu/elec823/hurricane/mod20/ssn/snrHi/hvd_118_mono.wav, 0.94, 0.67
/home/ubuntu/elec823/hurricane/mod15/ssn/snrLo/hvd_106_mono.wav, 0.52, 0.43
/home/ubuntu/elec823/hurricane/mod7/ssn/snrHi/hvd_104_mono.wav, 0.13, 0.54
/home/ubuntu/elec823/hurricane/mod18/ssn/snrHi/hvd_021_mono.wav, 0.08, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrHi/hvd_180_mono.wav, 0.14, 0.43
/home/ubuntu/elec823/hurricane/mod3/ssn/snrHi/hvd_059_mono.wav, 0.91, 0.55
/home/ubuntu/elec823/hurricane/mod15/ssn/snrLo/hvd_005_mono.wav, 0.46, 0.43
/home/ubuntu/elec823/hurricane/mod17/ssn/snrMid/hvd_163_mono.wav, 0.90, 0.44
/home/ubuntu/elec823/hurricane/mod6/ssn/snrLo/hvd_073_mono.wav, 0.70, 0.43
/home/ubuntu/elec823/hurricane/mod2/ssn/snrLo/hvd_053_mono.wav, 0.12, 0.43
/home/ubuntu/elec823/hurricane/mod18/ssn/snrLo/hvd_099_mono.wav, 0.08, 0.43
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_146_mono.wav, 0.42, 0.43
/home/ubuntu/elec823/hurricane/mod1/ssn/snrHi/hvd_168_mono.wav, 0.18, 0.44
/home/ubuntu/elec823/hurricane/mod8/ssn/snrMid/hvd_152_mono.wav, 0.66, 0.43
/home/ubuntu/elec823/hurricane/mod3/ssn/snrLo/hvd_058_mono.wav, 0.57, 0.43
/home/ubuntu/elec823/hurricane/mod1/ssn/snrMid/hvd_142_mono.wav, 0.15, 0.51
/home/ubuntu/elec823/hurricane/mod5/ssn/snrLo/hvd_119_mono.wav, 0.13, 0.43
/home/ubuntu/elec823/hurricane/mod12/ssn/snrMid/hvd_069_mono.wav, 0.12, 0.44
