Score, Predict
0.43, 0.35
1.00, 0.54
1.00, 0.47
0.20, 0.46
1.00, 0.49
0.00, 0.42
0.57, 0.40
0.88, 0.43
1.00, 0.42
0.88, 0.53
0.78, 0.51
1.00, 0.47
0.86, 0.45
0.00, 0.35
1.00, 0.54
1.00, 0.47
1.00, 0.50
0.67, 0.45
0.86, 0.43
0.14, 0.39
0.00, 0.35
0.89, 0.55
0.50, 0.48
0.88, 0.50
0.00, 0.35
1.00, 0.52
1.00, 0.43
0.90, 0.50
1.00, 0.49
1.00, 0.50
1.00, 0.53
1.00, 0.46
0.90, 0.50
1.00, 0.45
1.00, 0.46
0.71, 0.35
0.29, 0.36
1.00, 0.47
1.00, 0.54
0.86, 0.47
1.00, 0.45
1.00, 0.53
1.00, 0.48
1.00, 0.49
1.00, 0.45
1.00, 0.50
1.00, 0.49
1.00, 0.46
1.00, 0.49
0.78, 0.47
0.00, 0.38
0.86, 0.44
1.00, 0.52
0.25, 0.39
1.00, 0.46
0.00, 0.35
1.00, 0.40
0.71, 0.47
0.00, 0.41
1.00, 0.49
0.00, 0.35
0.00, 0.35
0.88, 0.47
0.40, 0.45
1.00, 0.44
0.44, 0.38
0.38, 0.40
0.00, 0.36
0.00, 0.35
0.00, 0.35
0.86, 0.41
1.00, 0.51
1.00, 0.51
1.00, 0.50
1.00, 0.48
1.00, 0.50
0.78, 0.44
1.00, 0.52
1.00, 0.53
1.00, 0.47
1.00, 0.49
0.90, 0.48
0.00, 0.39
1.00, 0.48
0.00, 0.37
0.57, 0.45
1.00, 0.47
1.00, 0.43
0.57, 0.35
1.00, 0.49
1.00, 0.47
0.80, 0.47
0.75, 0.45
0.57, 0.51
0.00, 0.35
1.00, 0.51
0.75, 0.43
1.00, 0.49
0.89, 0.51
0.00, 0.36
0.00, 0.42
1.00, 0.48
0.29, 0.43
1.00, 0.51
1.00, 0.39
1.00, 0.43
0.29, 0.42
0.86, 0.47
1.00, 0.47
0.12, 0.37
0.00, 0.35
1.00, 0.43
0.40, 0.52
0.86, 0.49
0.14, 0.35
1.00, 0.46
0.00, 0.36
0.62, 0.38
1.00, 0.45
0.86, 0.47
1.00, 0.50
1.00, 0.49
0.00, 0.35
0.62, 0.40
1.00, 0.49
1.00, 0.46
0.86, 0.51
1.00, 0.50
1.00, 0.51
0.67, 0.50
1.00, 0.49
1.00, 0.46
0.43, 0.38
1.00, 0.46
0.10, 0.40
1.00, 0.47
1.00, 0.47
0.44, 0.41
0.86, 0.45
1.00, 0.41
0.43, 0.39
0.89, 0.49
1.00, 0.53
1.00, 0.47
0.88, 0.42
1.00, 0.52
0.70, 0.47
1.00, 0.46
0.80, 0.48
0.00, 0.35
0.20, 0.50
0.60, 0.44
0.38, 0.52
1.00, 0.54
0.50, 0.52
0.71, 0.48
0.29, 0.41
0.00, 0.35
1.00, 0.46
0.20, 0.35
1.00, 0.45
1.00, 0.44
1.00, 0.48
