Score, Predict
1.00, 0.42
0.86, 0.42
0.78, 0.42
0.88, 0.42
0.00, 0.42
0.00, 0.42
1.00, 0.41
0.50, 0.42
0.30, 0.41
0.00, 0.42
1.00, 0.42
0.50, 0.42
0.90, 0.42
0.62, 0.42
1.00, 0.42
0.38, 0.41
1.00, 0.55
0.62, 0.57
0.50, 0.51
1.00, 0.54
1.00, 0.56
1.00, 0.57
1.00, 0.55
0.90, 0.54
0.00, 0.54
1.00, 0.55
1.00, 0.55
1.00, 0.57
0.89, 0.53
1.00, 0.53
0.00, 0.52
0.70, 0.54
1.00, 0.72
0.56, 0.71
0.89, 0.76
0.90, 0.70
0.14, 0.71
1.00, 0.81
1.00, 0.79
0.86, 0.77
1.00, 0.77
1.00, 0.74
0.80, 0.70
0.25, 0.70
1.00, 0.75
0.29, 0.69
1.00, 0.75
0.57, 0.74
0.78, 0.87
1.00, 0.89
1.00, 0.87
0.12, 0.90
1.00, 0.87
0.12, 0.78
1.00, 0.86
0.20, 0.85
0.70, 0.89
0.00, 0.84
0.44, 0.74
1.00, 0.82
1.00, 0.87
1.00, 0.92
0.88, 0.85
0.90, 0.87
1.00, 0.91
1.00, 0.91
1.00, 0.89
0.10, 0.83
0.20, 0.84
0.25, 0.81
0.86, 0.94
1.00, 0.91
0.70, 0.91
0.10, 0.71
1.00, 0.93
0.14, 0.77
1.00, 0.91
0.88, 0.89
1.00, 0.93
0.00, 0.75
0.67, 0.88
1.00, 0.86
1.00, 0.88
1.00, 0.92
0.62, 0.85
0.60, 0.83
0.88, 0.88
0.00, 0.85
1.00, 0.88
1.00, 0.92
1.00, 0.90
0.86, 0.89
0.89, 0.90
1.00, 0.90
0.80, 0.83
1.00, 0.87
0.86, 0.82
1.00, 0.92
0.57, 0.90
0.88, 0.93
0.10, 0.77
0.67, 0.86
1.00, 0.90
1.00, 0.92
1.00, 0.87
0.12, 0.86
1.00, 0.88
1.00, 0.91
1.00, 0.84
1.00, 0.89
0.00, 0.79
0.33, 0.66
1.00, 0.91
0.00, 0.62
1.00, 0.93
0.67, 0.65
1.00, 0.88
0.88, 0.92
1.00, 0.86
1.00, 0.91
1.00, 0.85
0.00, 0.63
1.00, 0.94
1.00, 0.89
1.00, 0.91
1.00, 0.92
1.00, 0.88
0.86, 0.88
1.00, 0.89
0.90, 0.57
1.00, 0.89
1.00, 0.93
1.00, 0.84
0.00, 0.64
0.38, 0.90
0.80, 0.84
1.00, 0.84
0.88, 0.86
1.00, 0.93
0.75, 0.87
0.70, 0.92
0.14, 0.75
0.43, 0.87
0.86, 0.92
1.00, 0.84
1.00, 0.88
0.25, 0.92
0.71, 0.89
0.00, 0.60
1.00, 0.90
0.71, 0.81
0.86, 0.92
0.00, 0.83
1.00, 0.93
1.00, 0.87
0.80, 0.86
0.00, 0.61
1.00, 0.92
0.00, 0.59
0.90, 0.83
1.00, 0.82
1.00, 0.91
0.80, 0.90
1.00, 0.84
0.20, 0.72
1.00, 0.78
1.00, 0.86
1.00, 0.92
0.10, 0.82
1.00, 0.87
0.78, 0.75
0.60, 0.89
1.00, 0.90
0.00, 0.65
0.10, 0.73
1.00, 0.86
0.71, 0.56
0.86, 0.83
1.00, 0.90
1.00, 0.93
1.00, 0.92
1.00, 0.89
1.00, 0.64
0.33, 0.86
0.60, 0.86
0.88, 0.68
1.00, 0.90
1.00, 0.86
1.00, 0.88
0.30, 0.66
1.00, 0.79
0.88, 0.89
0.57, 0.93
0.86, 0.91
1.00, 0.84
1.00, 0.86
1.00, 0.86
0.89, 0.86
1.00, 0.92
1.00, 0.90
1.00, 0.91
0.88, 0.60
0.75, 0.76
1.00, 0.92
0.00, 0.64
0.00, 0.60
0.00, 0.56
0.14, 0.69
1.00, 0.85
0.89, 0.83
1.00, 0.77
1.00, 0.84
1.00, 0.75
0.00, 0.80
1.00, 0.79
1.00, 0.88
0.90, 0.83
1.00, 0.78
0.71, 0.80
1.00, 0.89
1.00, 0.81
1.00, 0.83
1.00, 0.82
0.88, 0.92
1.00, 0.84
1.00, 0.83
1.00, 0.92
0.00, 0.54
1.00, 0.84
1.00, 0.89
0.25, 0.81
1.00, 0.91
0.00, 0.53
1.00, 0.93
1.00, 0.81
1.00, 0.83
1.00, 0.85
1.00, 0.84
0.86, 0.86
1.00, 0.87
0.88, 0.90
1.00, 0.68
1.00, 0.85
0.80, 0.80
0.00, 0.67
1.00, 0.85
0.88, 0.88
1.00, 0.84
0.43, 0.65
1.00, 0.83
1.00, 0.86
1.00, 0.83
0.88, 0.81
1.00, 0.89
1.00, 0.84
1.00, 0.91
0.75, 0.67
1.00, 0.85
1.00, 0.86
0.57, 0.87
1.00, 0.86
1.00, 0.90
0.71, 0.82
1.00, 0.86
0.71, 0.86
0.67, 0.87
1.00, 0.87
0.71, 0.61
0.33, 0.56
0.14, 0.88
1.00, 0.87
1.00, 0.82
1.00, 0.90
1.00, 0.88
0.14, 0.89
0.75, 0.90
0.44, 0.63
0.20, 0.63
1.00, 0.91
0.78, 0.87
1.00, 0.83
1.00, 0.89
1.00, 0.89
0.00, 0.54
1.00, 0.57
1.00, 0.91
1.00, 0.85
0.90, 0.83
0.20, 0.76
0.75, 0.86
0.75, 0.66
0.90, 0.82
0.86, 0.81
