Score, Predict
1.00, 0.56
1.00, 0.56
1.00, 0.56
0.86, 0.58
0.86, 0.56
0.00, 0.54
1.00, 0.55
1.00, 0.57
1.00, 0.56
1.00, 0.57
0.50, 0.54
0.00, 0.52
1.00, 0.57
0.00, 0.57
1.00, 0.54
0.25, 0.56
0.40, 0.57
0.89, 0.52
0.88, 0.55
0.88, 0.55
1.00, 0.55
1.00, 0.55
0.88, 0.56
1.00, 0.54
1.00, 0.56
0.00, 0.52
0.00, 0.52
0.67, 0.54
1.00, 0.55
1.00, 0.57
0.70, 0.56
1.00, 0.56
1.00, 0.56
0.88, 0.54
0.20, 0.53
1.00, 0.56
0.10, 0.54
1.00, 0.56
0.88, 0.54
0.86, 0.53
0.62, 0.56
0.86, 0.55
0.75, 0.57
0.89, 0.53
0.86, 0.58
0.00, 0.52
0.40, 0.51
0.33, 0.52
0.88, 0.56
0.30, 0.55
1.00, 0.57
1.00, 0.56
1.00, 0.57
1.00, 0.56
0.86, 0.56
0.88, 0.58
1.00, 0.56
0.88, 0.56
0.86, 0.55
0.50, 0.55
0.00, 0.51
1.00, 0.56
1.00, 0.52
1.00, 0.56
1.00, 0.55
0.25, 0.56
0.14, 0.52
1.00, 0.56
1.00, 0.56
0.00, 0.52
1.00, 0.55
0.90, 0.55
0.90, 0.56
0.00, 0.52
1.00, 0.58
0.38, 0.57
1.00, 0.56
1.00, 0.55
0.50, 0.52
1.00, 0.58
0.14, 0.53
0.71, 0.55
0.86, 0.55
0.00, 0.57
0.80, 0.56
0.29, 0.51
0.00, 0.55
1.00, 0.56
1.00, 0.56
0.00, 0.54
0.43, 0.55
0.90, 0.53
1.00, 0.57
1.00, 0.56
1.00, 0.55
1.00, 0.56
0.71, 0.56
0.00, 0.52
1.00, 0.55
1.00, 0.56
0.00, 0.54
0.86, 0.57
0.44, 0.56
0.50, 0.56
0.00, 0.53
0.56, 0.56
0.86, 0.54
0.43, 0.53
1.00, 0.57
1.00, 0.57
1.00, 0.54
1.00, 0.56
1.00, 0.56
1.00, 0.57
0.00, 0.54
1.00, 0.57
1.00, 0.56
0.62, 0.54
1.00, 0.57
0.00, 0.55
1.00, 0.54
1.00, 0.55
0.00, 0.56
0.70, 0.55
1.00, 0.57
0.70, 0.54
1.00, 0.55
1.00, 0.55
1.00, 0.57
0.75, 0.55
0.71, 0.55
1.00, 0.58
0.86, 0.54
0.56, 0.53
1.00, 0.55
1.00, 0.55
0.00, 0.53
1.00, 0.55
0.00, 0.51
1.00, 0.57
1.00, 0.55
0.00, 0.55
0.00, 0.54
0.80, 0.57
0.86, 0.54
1.00, 0.56
1.00, 0.58
1.00, 0.55
1.00, 0.56
1.00, 0.55
0.62, 0.53
1.00, 0.55
1.00, 0.56
1.00, 0.56
0.29, 0.56
1.00, 0.58
0.29, 0.55
0.00, 0.51
1.00, 0.56
0.90, 0.57
0.78, 0.55
0.00, 0.51
1.00, 0.57
0.29, 0.56
1.00, 0.55
1.00, 0.57
0.62, 0.54
0.62, 0.56
1.00, 0.55
1.00, 0.56
0.71, 0.57
0.86, 0.56
1.00, 0.56
1.00, 0.57
0.14, 0.52
0.00, 0.52
0.14, 0.52
1.00, 0.57
1.00, 0.56
0.33, 0.51
0.38, 0.53
0.86, 0.57
1.00, 0.57
0.00, 0.52
1.00, 0.57
1.00, 0.55
0.89, 0.55
1.00, 0.54
1.00, 0.57
0.89, 0.54
1.00, 0.55
0.00, 0.53
0.80, 0.56
1.00, 0.55
0.89, 0.56
0.00, 0.52
0.29, 0.55
1.00, 0.57
0.70, 0.56
1.00, 0.55
0.11, 0.53
0.33, 0.54
0.00, 0.52
1.00, 0.55
1.00, 0.56
1.00, 0.59
0.89, 0.56
1.00, 0.57
0.86, 0.57
1.00, 0.54
1.00, 0.56
1.00, 0.56
0.33, 0.55
0.43, 0.53
0.57, 0.53
0.00, 0.55
0.62, 0.55
0.88, 0.56
0.10, 0.53
1.00, 0.56
1.00, 0.59
0.00, 0.51
1.00, 0.55
0.00, 0.51
0.00, 0.52
0.40, 0.53
0.89, 0.53
0.11, 0.54
1.00, 0.56
0.90, 0.57
0.30, 0.52
0.86, 0.56
1.00, 0.56
0.40, 0.58
1.00, 0.56
1.00, 0.56
1.00, 0.55
0.71, 0.55
0.43, 0.54
0.89, 0.56
0.00, 0.53
0.20, 0.51
0.00, 0.52
0.88, 0.57
0.00, 0.55
1.00, 0.56
0.80, 0.56
0.10, 0.51
1.00, 0.57
1.00, 0.59
1.00, 0.56
0.29, 0.57
0.90, 0.55
0.00, 0.52
1.00, 0.56
0.00, 0.52
0.50, 0.55
0.60, 0.52
1.00, 0.55
0.00, 0.54
1.00, 0.58
0.75, 0.55
1.00, 0.56
0.67, 0.55
0.44, 0.51
1.00, 0.56
0.00, 0.52
0.12, 0.52
0.89, 0.56
1.00, 0.56
0.14, 0.52
1.00, 0.58
1.00, 0.56
0.00, 0.53
0.78, 0.56
1.00, 0.56
0.57, 0.55
1.00, 0.54
0.20, 0.56
1.00, 0.57
1.00, 0.56
1.00, 0.58
1.00, 0.56
0.90, 0.54
0.50, 0.54
1.00, 0.56
0.56, 0.54
1.00, 0.56
1.00, 0.57
1.00, 0.56
0.00, 0.52
1.00, 0.56
0.00, 0.53
1.00, 0.58
1.00, 0.56
1.00, 0.56
0.86, 0.54
1.00, 0.55
0.50, 0.54
0.62, 0.56
1.00, 0.56
0.22, 0.52
1.00, 0.57
1.00, 0.57
0.00, 0.55
0.00, 0.51
1.00, 0.54
1.00, 0.55
0.00, 0.51
1.00, 0.57
0.00, 0.51
1.00, 0.56
0.62, 0.57
0.90, 0.54
1.00, 0.55
0.00, 0.52
1.00, 0.57
0.29, 0.54
0.75, 0.56
1.00, 0.55
0.71, 0.55
0.12, 0.52
0.80, 0.57
0.56, 0.51
1.00, 0.55
0.71, 0.56
0.89, 0.54
1.00, 0.54
1.00, 0.55
1.00, 0.56
1.00, 0.55
1.00, 0.55
0.57, 0.54
1.00, 0.57
0.90, 0.53
0.57, 0.55
1.00, 0.58
0.78, 0.56
0.43, 0.54
1.00, 0.54
0.57, 0.55
0.57, 0.54
1.00, 0.56
1.00, 0.55
0.88, 0.56
0.44, 0.57
1.00, 0.58
1.00, 0.56
1.00, 0.57
0.29, 0.56
1.00, 0.56
0.86, 0.55
0.88, 0.57
0.86, 0.55
1.00, 0.56
1.00, 0.58
1.00, 0.54
1.00, 0.56
0.30, 0.56
1.00, 0.52
0.71, 0.56
0.00, 0.52
0.62, 0.56
1.00, 0.58
1.00, 0.54
1.00, 0.55
0.75, 0.56
0.00, 0.53
0.00, 0.52
0.80, 0.57
0.40, 0.52
1.00, 0.58
0.75, 0.53
1.00, 0.58
1.00, 0.57
0.80, 0.55
1.00, 0.54
0.50, 0.53
0.67, 0.56
0.43, 0.54
1.00, 0.55
0.00, 0.54
1.00, 0.55
0.33, 0.53
0.88, 0.57
1.00, 0.57
0.75, 0.54
1.00, 0.53
1.00, 0.55
0.80, 0.55
1.00, 0.56
0.50, 0.56
0.12, 0.52
0.70, 0.54
0.88, 0.57
1.00, 0.57
1.00, 0.57
1.00, 0.56
1.00, 0.57
0.00, 0.52
0.00, 0.53
1.00, 0.55
1.00, 0.55
1.00, 0.57
0.90, 0.55
1.00, 0.55
0.00, 0.52
1.00, 0.58
0.10, 0.53
1.00, 0.55
0.25, 0.55
1.00, 0.57
1.00, 0.53
1.00, 0.55
1.00, 0.56
1.00, 0.55
0.00, 0.50
1.00, 0.56
1.00, 0.57
0.90, 0.56
0.86, 0.55
0.88, 0.55
0.89, 0.57
0.57, 0.56
1.00, 0.55
0.70, 0.54
1.00, 0.54
1.00, 0.55
0.71, 0.55
0.86, 0.57
0.00, 0.52
1.00, 0.55
1.00, 0.55
0.90, 0.57
0.50, 0.52
1.00, 0.53
0.88, 0.57
1.00, 0.58
1.00, 0.54
1.00, 0.57
0.14, 0.51
1.00, 0.56
1.00, 0.56
0.29, 0.55
1.00, 0.56
1.00, 0.54
0.86, 0.54
0.25, 0.56
0.57, 0.56
0.50, 0.54
0.00, 0.55
1.00, 0.57
1.00, 0.56
0.57, 0.56
1.00, 0.54
0.00, 0.51
1.00, 0.55
0.43, 0.55
0.86, 0.57
1.00, 0.56
0.00, 0.53
1.00, 0.57
1.00, 0.57
0.00, 0.54
1.00, 0.55
0.10, 0.53
1.00, 0.56
1.00, 0.56
1.00, 0.54
0.86, 0.55
0.67, 0.54
0.22, 0.55
1.00, 0.57
0.71, 0.57
0.75, 0.53
1.00, 0.57
0.90, 0.56
0.43, 0.55
1.00, 0.55
0.14, 0.56
0.71, 0.56
1.00, 0.57
1.00, 0.56
0.86, 0.55
0.60, 0.55
0.75, 0.56
0.00, 0.51
0.86, 0.55
1.00, 0.57
0.00, 0.51
1.00, 0.54
1.00, 0.56
0.14, 0.53
1.00, 0.55
0.90, 0.52
1.00, 0.57
0.22, 0.56
1.00, 0.55
0.71, 0.54
0.29, 0.55
1.00, 0.56
1.00, 0.57
1.00, 0.57
0.00, 0.54
0.75, 0.57
0.88, 0.59
0.33, 0.52
1.00, 0.55
0.71, 0.58
1.00, 0.54
1.00, 0.56
0.38, 0.54
1.00, 0.56
1.00, 0.56
0.57, 0.56
1.00, 0.56
0.86, 0.55
0.29, 0.53
1.00, 0.57
0.71, 0.54
0.78, 0.55
0.71, 0.54
1.00, 0.57
0.00, 0.55
1.00, 0.54
1.00, 0.56
0.00, 0.53
0.00, 0.56
1.00, 0.56
0.86, 0.57
1.00, 0.57
1.00, 0.57
1.00, 0.57
0.00, 0.53
0.56, 0.55
1.00, 0.53
0.14, 0.52
1.00, 0.55
0.12, 0.53
1.00, 0.56
0.00, 0.53
1.00, 0.57
0.80, 0.53
0.78, 0.55
1.00, 0.56
0.38, 0.51
0.70, 0.57
1.00, 0.55
1.00, 0.56
0.90, 0.56
0.80, 0.56
0.00, 0.52
0.71, 0.57
0.56, 0.56
0.89, 0.57
1.00, 0.55
1.00, 0.53
0.00, 0.51
0.75, 0.55
0.00, 0.53
1.00, 0.56
0.86, 0.56
1.00, 0.54
1.00, 0.57
1.00, 0.55
1.00, 0.57
