Score, Predict
0.00, 0.40
0.62, 0.92
1.00, 1.00
0.78, 1.00
1.00, 1.00
0.75, 1.00
0.00, 0.32
1.00, 0.99
1.00, 0.97
0.71, 1.00
1.00, 1.00
1.00, 1.00
0.67, 0.99
0.78, 0.92
1.00, 1.00
1.00, 1.00
0.78, 1.00
1.00, 1.00
0.00, 0.35
0.78, 1.00
1.00, 1.00
0.89, 0.96
1.00, 1.00
1.00, 0.99
1.00, 0.96
0.89, 1.00
0.89, 1.00
1.00, 1.00
1.00, 1.00
0.14, 1.00
1.00, 1.00
1.00, 0.81
0.56, 0.63
1.00, 1.00
0.38, 1.00
0.43, 1.00
1.00, 1.00
0.71, 0.99
0.11, 0.88
1.00, 0.98
1.00, 1.00
0.10, 0.78
0.90, 1.00
1.00, 1.00
0.90, 1.00
1.00, 1.00
0.43, 1.00
0.71, 1.00
0.71, 0.99
1.00, 1.00
0.88, 1.00
0.00, 0.34
0.10, 0.79
1.00, 1.00
0.78, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.56, 1.00
0.56, 0.97
0.00, 0.45
0.29, 0.86
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.20, 1.00
1.00, 0.99
0.43, 0.81
0.62, 1.00
1.00, 1.00
0.78, 0.99
0.90, 1.00
1.00, 1.00
0.60, 0.99
0.90, 0.99
0.10, 0.74
1.00, 0.98
0.78, 0.95
0.89, 0.99
1.00, 0.99
1.00, 0.99
0.90, 1.00
1.00, 1.00
0.57, 0.89
1.00, 1.00
0.89, 0.98
1.00, 1.00
0.80, 0.68
0.00, 0.68
1.00, 1.00
0.90, 0.64
0.12, 0.99
0.88, 1.00
1.00, 1.00
0.44, 1.00
1.00, 1.00
1.00, 1.00
1.00, 0.85
1.00, 1.00
0.00, 0.74
0.14, 0.85
0.25, 0.85
0.71, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.96
1.00, 1.00
1.00, 1.00
0.90, 1.00
0.86, 0.98
1.00, 1.00
0.00, 0.96
0.12, 1.00
0.71, 0.98
1.00, 1.00
0.11, 1.00
0.88, 1.00
0.14, 0.97
0.00, 0.31
0.00, 0.85
1.00, 1.00
0.00, 0.46
0.00, 0.59
0.86, 1.00
0.00, 0.93
1.00, 1.00
0.00, 0.65
0.00, 0.63
0.22, 0.74
1.00, 1.00
1.00, 1.00
0.67, 1.00
0.56, 0.93
0.00, 0.54
0.90, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.29
0.57, 1.00
1.00, 1.00
0.33, 1.00
1.00, 1.00
0.43, 0.93
0.88, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.52
0.88, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.78, 0.95
1.00, 1.00
1.00, 0.94
1.00, 1.00
1.00, 1.00
0.14, 0.51
1.00, 1.00
1.00, 0.95
1.00, 1.00
1.00, 1.00
0.00, 0.53
0.00, 0.99
0.86, 1.00
0.86, 1.00
0.43, 0.99
1.00, 1.00
1.00, 1.00
0.86, 0.99
1.00, 0.98
1.00, 1.00
0.00, 0.91
0.90, 0.98
0.78, 0.92
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.56, 0.98
1.00, 1.00
1.00, 1.00
0.86, 1.00
1.00, 1.00
0.88, 1.00
1.00, 0.99
1.00, 1.00
0.71, 1.00
1.00, 1.00
0.30, 0.24
1.00, 1.00
0.00, 0.69
0.00, 0.64
0.00, 0.43
1.00, 1.00
1.00, 0.86
0.44, 0.73
0.89, 1.00
1.00, 1.00
1.00, 1.00
0.88, 1.00
0.40, 1.00
1.00, 1.00
0.00, 0.77
1.00, 1.00
1.00, 1.00
0.25, 1.00
0.00, 0.37
0.89, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.75, 0.84
0.00, 1.00
0.29, 0.86
0.88, 1.00
0.75, 1.00
0.44, 0.99
0.00, 0.97
0.00, 0.99
0.00, 0.93
1.00, 1.00
1.00, 1.00
0.25, 0.81
1.00, 0.99
0.89, 0.90
0.38, 1.00
1.00, 1.00
1.00, 1.00
1.00, 0.64
0.12, 0.74
0.00, 0.56
1.00, 1.00
0.80, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.71, 1.00
0.86, 1.00
0.00, 0.36
1.00, 1.00
1.00, 1.00
0.00, 0.71
1.00, 1.00
1.00, 1.00
0.00, 0.74
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.76
0.00, 0.70
1.00, 1.00
0.62, 0.94
1.00, 1.00
0.90, 0.99
1.00, 1.00
0.30, 0.32
0.00, 0.81
0.44, 0.68
0.78, 1.00
1.00, 1.00
0.50, 0.80
1.00, 1.00
0.78, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.71, 1.00
1.00, 1.00
0.71, 1.00
1.00, 1.00
0.25, 0.58
0.40, 1.00
0.38, 0.40
0.88, 1.00
0.71, 1.00
0.86, 1.00
0.78, 0.75
1.00, 1.00
0.12, 0.90
0.00, 0.59
0.80, 0.99
0.60, 1.00
1.00, 1.00
0.86, 1.00
1.00, 1.00
1.00, 0.99
0.86, 1.00
0.80, 1.00
0.00, 0.27
0.89, 1.00
0.80, 1.00
0.75, 0.95
0.62, 0.70
1.00, 1.00
1.00, 1.00
0.88, 1.00
0.00, 0.73
0.86, 0.85
0.67, 1.00
0.00, 0.30
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.90
1.00, 1.00
1.00, 1.00
0.30, 0.62
1.00, 1.00
0.00, 0.10
0.60, 1.00
0.25, 0.84
1.00, 1.00
0.40, 1.00
0.25, 0.97
1.00, 0.87
1.00, 1.00
1.00, 1.00
0.86, 1.00
0.43, 1.00
0.00, 0.99
0.29, 0.95
0.86, 0.99
0.00, 0.90
1.00, 1.00
1.00, 1.00
0.56, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.57, 0.99
0.86, 1.00
0.00, 0.55
0.00, 0.81
1.00, 0.99
1.00, 1.00
0.57, 1.00
1.00, 1.00
0.00, 0.52
1.00, 1.00
0.10, 0.92
1.00, 0.99
0.86, 1.00
1.00, 1.00
0.86, 1.00
0.90, 1.00
0.12, 1.00
0.14, 0.81
0.89, 1.00
0.00, 0.44
0.00, 0.28
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.65
0.88, 1.00
0.33, 0.78
1.00, 1.00
1.00, 0.99
1.00, 1.00
1.00, 1.00
0.89, 1.00
0.86, 1.00
0.14, 0.75
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.60, 0.86
1.00, 1.00
1.00, 1.00
0.00, 0.53
0.00, 0.75
0.86, 1.00
0.14, 0.74
1.00, 1.00
0.00, 0.97
1.00, 1.00
0.00, 0.69
1.00, 1.00
0.86, 0.99
0.29, 1.00
0.00, 0.86
0.67, 1.00
1.00, 1.00
0.00, 0.12
1.00, 0.92
0.43, 0.88
0.88, 0.70
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.87
1.00, 1.00
1.00, 0.99
0.67, 0.99
0.90, 1.00
1.00, 1.00
0.60, 0.92
1.00, 0.99
0.80, 1.00
0.25, 1.00
0.90, 1.00
0.88, 1.00
1.00, 0.99
1.00, 1.00
0.00, 0.82
0.50, 1.00
0.90, 0.92
0.90, 1.00
1.00, 1.00
1.00, 1.00
0.20, 0.43
0.86, 1.00
0.14, 0.78
1.00, 1.00
1.00, 1.00
0.00, 0.96
0.90, 1.00
1.00, 1.00
1.00, 1.00
0.78, 0.99
0.71, 0.99
0.25, 0.63
1.00, 0.99
0.00, 0.35
0.78, 1.00
0.71, 0.99
0.89, 0.81
0.00, 0.93
0.62, 1.00
0.57, 1.00
0.88, 1.00
0.38, 0.82
1.00, 1.00
0.29, 0.84
1.00, 1.00
0.62, 1.00
0.75, 0.99
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.33, 0.99
1.00, 1.00
1.00, 1.00
0.67, 0.99
1.00, 1.00
0.00, 1.00
1.00, 1.00
0.86, 0.74
0.00, 0.99
0.89, 0.99
1.00, 1.00
0.86, 1.00
1.00, 1.00
0.90, 1.00
1.00, 1.00
0.00, 0.76
1.00, 1.00
0.75, 1.00
1.00, 1.00
0.88, 1.00
0.90, 1.00
0.88, 1.00
0.90, 1.00
0.11, 0.90
0.10, 0.95
0.30, 1.00
0.00, 0.76
0.90, 1.00
1.00, 1.00
1.00, 0.99
0.00, 0.54
1.00, 0.99
0.75, 1.00
0.80, 1.00
0.57, 0.99
1.00, 1.00
0.86, 1.00
0.14, 0.55
1.00, 1.00
1.00, 1.00
0.00, 0.87
0.00, 0.77
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.78, 1.00
1.00, 0.96
1.00, 1.00
1.00, 1.00
0.00, 0.60
0.78, 1.00
1.00, 1.00
0.10, 0.50
0.57, 0.76
0.75, 1.00
0.00, 0.40
1.00, 1.00
0.11, 1.00
1.00, 0.80
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.75, 0.92
0.33, 0.99
1.00, 1.00
1.00, 1.00
0.71, 1.00
0.71, 1.00
1.00, 1.00
1.00, 1.00
0.67, 0.73
1.00, 1.00
0.30, 0.98
0.30, 1.00
0.00, 0.59
1.00, 1.00
0.10, 0.94
1.00, 0.73
1.00, 1.00
0.12, 0.29
1.00, 1.00
1.00, 1.00
0.86, 1.00
0.00, 1.00
0.38, 0.99
1.00, 1.00
0.00, 0.36
0.00, 0.25
0.00, 0.31
0.38, 1.00
1.00, 0.98
0.88, 1.00
0.40, 0.97
1.00, 1.00
1.00, 1.00
0.56, 0.99
0.00, 0.86
0.00, 1.00
0.86, 1.00
0.71, 0.91
0.86, 1.00
0.88, 1.00
0.00, 0.99
0.71, 0.96
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.44, 0.99
0.00, 0.68
1.00, 0.95
0.00, 0.74
1.00, 1.00
1.00, 0.99
1.00, 1.00
0.86, 0.98
1.00, 0.99
1.00, 1.00
0.20, 1.00
0.60, 0.96
0.71, 1.00
1.00, 1.00
0.00, 0.41
0.14, 0.96
0.30, 1.00
0.86, 0.98
0.89, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.82
0.57, 0.99
1.00, 1.00
0.75, 1.00
1.00, 1.00
0.10, 0.76
1.00, 1.00
0.88, 0.65
0.29, 1.00
1.00, 1.00
1.00, 1.00
0.60, 1.00
0.10, 0.60
0.00, 0.51
0.86, 0.98
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 0.99
1.00, 1.00
1.00, 0.95
0.40, 1.00
1.00, 1.00
1.00, 1.00
0.80, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.71, 0.99
1.00, 1.00
0.00, 0.27
1.00, 0.97
1.00, 0.95
1.00, 1.00
1.00, 0.98
1.00, 1.00
0.78, 1.00
1.00, 1.00
0.89, 0.99
1.00, 1.00
1.00, 1.00
1.00, 0.99
1.00, 1.00
0.33, 0.97
0.71, 0.97
0.88, 1.00
0.90, 1.00
0.00, 0.59
1.00, 1.00
0.00, 1.00
0.14, 0.96
1.00, 0.96
1.00, 1.00
1.00, 0.99
0.56, 0.99
1.00, 1.00
0.33, 0.40
0.50, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 1.00
1.00, 1.00
1.00, 1.00
0.88, 1.00
1.00, 0.96
1.00, 1.00
1.00, 1.00
0.90, 0.99
1.00, 1.00
0.00, 0.80
0.00, 0.69
0.12, 1.00
0.86, 0.97
0.90, 0.99
0.88, 1.00
0.00, 0.97
0.90, 0.99
1.00, 1.00
0.40, 1.00
1.00, 1.00
0.71, 1.00
0.78, 0.99
0.71, 1.00
0.44, 1.00
0.00, 0.39
0.00, 0.92
0.70, 1.00
1.00, 1.00
0.43, 0.99
0.89, 1.00
1.00, 1.00
1.00, 1.00
1.00, 0.98
0.22, 0.97
0.25, 0.99
0.70, 1.00
1.00, 1.00
1.00, 0.99
1.00, 1.00
1.00, 0.99
1.00, 0.99
1.00, 1.00
1.00, 1.00
0.00, 0.59
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.20, 0.99
1.00, 0.99
0.00, 0.44
0.80, 1.00
0.00, 1.00
0.30, 0.42
1.00, 1.00
0.80, 1.00
1.00, 1.00
0.86, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.43, 0.88
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.88, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.50, 1.00
1.00, 0.99
0.71, 0.97
0.89, 1.00
1.00, 1.00
0.12, 0.91
0.78, 1.00
0.12, 0.95
0.00, 0.34
0.30, 1.00
1.00, 1.00
1.00, 0.99
1.00, 1.00
0.88, 1.00
0.00, 0.53
0.30, 1.00
0.00, 0.44
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.43, 0.99
0.43, 0.98
1.00, 1.00
0.90, 1.00
0.50, 0.93
0.40, 0.87
0.00, 0.85
1.00, 1.00
1.00, 1.00
0.57, 0.95
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.00, 0.72
0.00, 0.93
0.80, 0.40
0.90, 0.99
0.86, 1.00
0.43, 0.86
0.14, 1.00
1.00, 1.00
0.50, 1.00
1.00, 1.00
0.60, 1.00
0.75, 1.00
0.00, 0.66
1.00, 1.00
1.00, 1.00
0.00, 0.84
1.00, 0.99
0.88, 1.00
0.88, 1.00
0.60, 1.00
0.86, 0.84
1.00, 1.00
0.50, 0.96
0.71, 1.00
0.86, 1.00
0.71, 1.00
0.00, 0.84
0.86, 1.00
1.00, 1.00
1.00, 1.00
0.60, 0.99
1.00, 1.00
0.00, 1.00
0.71, 1.00
0.00, 0.47
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.67, 0.98
1.00, 1.00
1.00, 1.00
0.22, 1.00
0.70, 0.97
0.88, 1.00
1.00, 1.00
1.00, 0.99
0.00, 0.78
0.12, 0.26
1.00, 1.00
0.75, 0.39
0.75, 0.93
1.00, 1.00
1.00, 1.00
1.00, 0.99
0.86, 0.93
0.90, 0.99
0.88, 1.00
1.00, 1.00
0.90, 1.00
1.00, 0.99
0.88, 0.99
1.00, 0.99
0.86, 1.00
1.00, 1.00
0.80, 1.00
1.00, 1.00
0.62, 0.95
0.86, 1.00
0.75, 0.99
0.50, 0.60
0.00, 0.16
1.00, 1.00
1.00, 1.00
0.88, 1.00
1.00, 1.00
0.88, 0.98
1.00, 1.00
1.00, 1.00
0.89, 1.00
1.00, 1.00
0.62, 0.94
0.00, 0.59
1.00, 0.98
1.00, 1.00
0.00, 0.98
1.00, 1.00
1.00, 1.00
0.00, 0.53
1.00, 1.00
0.86, 1.00
1.00, 1.00
1.00, 0.99
1.00, 1.00
0.88, 1.00
1.00, 1.00
1.00, 1.00
1.00, 1.00
0.89, 1.00
0.75, 0.99
0.00, 1.00
0.00, 0.26
1.00, 1.00
0.89, 1.00
1.00, 1.00
0.62, 0.97
0.88, 1.00
0.86, 0.99
0.00, 1.00
1.00, 0.99
0.33, 1.00
