Score, Predict
1.00, 0.81
0.90, 0.81
0.00, 0.82
0.75, 0.79
0.78, 0.82
1.00, 0.81
0.00, 0.80
1.00, 0.82
0.00, 0.83
1.00, 0.81
0.00, 0.81
0.00, 0.81
0.00, 0.81
0.88, 0.81
0.90, 0.83
1.00, 0.82
0.44, 0.81
0.90, 0.81
1.00, 0.82
1.00, 0.80
0.88, 0.81
1.00, 0.80
0.88, 0.81
1.00, 0.79
0.00, 0.81
1.00, 0.80
1.00, 0.82
1.00, 0.81
1.00, 0.79
1.00, 0.81
1.00, 0.82
0.71, 0.82
0.00, 0.80
1.00, 0.81
0.89, 0.83
1.00, 0.80
1.00, 0.84
0.30, 0.79
0.00, 0.83
1.00, 0.79
1.00, 0.81
0.00, 0.79
0.90, 0.81
1.00, 0.81
1.00, 0.81
0.75, 0.81
0.43, 0.82
0.00, 0.82
0.60, 0.82
0.50, 0.80
1.00, 0.81
0.22, 0.80
1.00, 0.79
0.14, 0.83
1.00, 0.81
1.00, 0.81
1.00, 0.82
0.00, 0.79
1.00, 0.81
0.86, 0.82
1.00, 0.82
1.00, 0.81
1.00, 0.82
0.62, 0.83
0.88, 0.81
1.00, 0.83
0.62, 0.81
0.86, 0.82
0.86, 0.81
1.00, 0.82
1.00, 0.80
1.00, 0.81
1.00, 0.80
1.00, 0.80
0.00, 0.81
1.00, 0.80
1.00, 0.81
0.12, 0.81
1.00, 0.81
0.14, 0.81
0.89, 0.82
1.00, 0.79
0.88, 0.81
0.75, 0.80
1.00, 0.82
0.86, 0.83
0.70, 0.81
0.70, 0.81
0.89, 0.79
1.00, 0.79
1.00, 0.80
1.00, 0.81
0.14, 0.82
1.00, 0.82
0.57, 0.79
0.00, 0.81
1.00, 0.82
0.00, 0.82
1.00, 0.82
0.78, 0.82
0.10, 0.82
1.00, 0.82
1.00, 0.82
1.00, 0.82
0.00, 0.83
1.00, 0.81
1.00, 0.81
0.14, 0.83
0.56, 0.81
1.00, 0.78
0.22, 0.82
1.00, 0.81
1.00, 0.79
0.00, 0.81
1.00, 0.81
1.00, 0.81
0.57, 0.82
0.62, 0.79
1.00, 0.81
0.00, 0.81
1.00, 0.81
0.50, 0.81
1.00, 0.79
0.00, 0.82
1.00, 0.82
0.57, 0.81
0.88, 0.82
0.71, 0.82
1.00, 0.81
0.29, 0.83
1.00, 0.83
0.88, 0.82
0.90, 0.82
1.00, 0.81
1.00, 0.82
0.00, 0.83
1.00, 0.81
1.00, 0.82
0.00, 0.81
1.00, 0.81
1.00, 0.80
0.57, 0.82
1.00, 0.82
0.57, 0.84
1.00, 0.83
0.88, 0.80
1.00, 0.81
1.00, 0.80
0.86, 0.82
1.00, 0.80
0.75, 0.81
1.00, 0.81
1.00, 0.81
0.86, 0.82
1.00, 0.81
0.43, 0.82
1.00, 0.81
0.86, 0.82
1.00, 0.81
0.90, 0.82
0.86, 0.81
0.90, 0.81
0.75, 0.81
1.00, 0.81
1.00, 0.83
0.71, 0.82
0.29, 0.80
