Score, Predict
0.57, 0.38
0.90, 0.92
1.00, 0.74
0.56, 0.52
1.00, 0.95
0.88, 0.88
0.00, 0.38
0.86, 0.72
0.56, 0.69
1.00, 0.95
1.00, 0.98
0.33, 0.38
1.00, 0.91
0.88, 0.55
0.78, 0.93
1.00, 0.98
0.00, 0.38
0.38, 0.79
1.00, 0.83
0.86, 0.83
1.00, 0.97
0.90, 0.58
0.40, 0.62
0.75, 0.69
1.00, 0.96
1.00, 0.95
0.00, 0.59
0.44, 0.48
1.00, 0.84
1.00, 0.88
0.43, 0.62
0.80, 0.97
1.00, 0.95
1.00, 0.74
0.00, 0.38
1.00, 0.89
1.00, 0.92
1.00, 0.98
1.00, 0.75
0.50, 0.79
1.00, 0.77
0.00, 0.38
1.00, 0.73
1.00, 0.96
1.00, 0.83
1.00, 0.95
0.25, 0.46
0.75, 0.93
1.00, 0.97
0.75, 0.71
1.00, 0.83
1.00, 0.99
1.00, 0.96
0.89, 0.95
1.00, 0.94
1.00, 0.97
0.12, 0.93
1.00, 0.81
0.00, 0.39
0.89, 0.97
0.70, 0.93
0.89, 0.96
0.75, 0.96
0.00, 0.82
1.00, 0.98
0.00, 0.38
1.00, 0.98
1.00, 0.90
1.00, 0.88
1.00, 0.90
1.00, 0.95
0.80, 0.75
0.67, 0.57
1.00, 0.98
1.00, 0.91
0.70, 0.88
0.78, 0.82
0.90, 0.96
1.00, 0.96
0.78, 0.97
0.00, 0.38
0.00, 0.38
0.90, 0.93
1.00, 0.72
0.88, 0.94
1.00, 0.70
0.12, 0.96
0.75, 0.91
0.60, 0.93
0.25, 0.93
1.00, 0.99
1.00, 0.98
1.00, 0.87
0.00, 0.38
0.57, 0.40
1.00, 0.94
1.00, 0.97
1.00, 0.99
1.00, 0.91
1.00, 0.94
1.00, 0.86
0.62, 0.90
0.57, 0.38
1.00, 0.84
1.00, 0.92
0.90, 0.98
0.22, 0.40
1.00, 0.94
0.11, 0.38
0.14, 0.91
0.50, 0.40
0.89, 0.92
1.00, 0.95
0.86, 0.88
0.86, 0.43
0.89, 0.98
0.86, 0.91
0.00, 0.38
1.00, 0.86
1.00, 0.78
0.11, 0.39
1.00, 0.90
1.00, 0.93
1.00, 0.96
1.00, 0.94
1.00, 0.96
0.38, 0.76
0.56, 0.83
1.00, 0.98
1.00, 0.94
0.75, 0.86
0.88, 0.89
1.00, 0.91
1.00, 0.80
1.00, 0.93
0.88, 0.69
1.00, 0.70
0.22, 0.79
0.14, 0.38
0.89, 0.93
1.00, 0.98
0.00, 0.44
0.25, 0.72
1.00, 0.94
1.00, 0.88
1.00, 0.93
0.71, 0.96
1.00, 0.94
0.90, 0.86
0.86, 0.87
0.71, 0.64
0.86, 0.94
1.00, 0.95
1.00, 0.92
0.29, 0.38
0.38, 0.98
1.00, 0.93
0.86, 0.88
1.00, 0.91
0.88, 0.83
0.43, 0.54
1.00, 0.95
0.00, 0.38
1.00, 0.89
1.00, 0.89
0.75, 0.97
0.00, 0.38
1.00, 0.94
1.00, 0.96
0.88, 0.92
1.00, 0.96
0.62, 0.98
1.00, 0.97
0.67, 0.91
0.70, 0.55
0.80, 0.87
0.00, 0.38
