Score, Predict
0.80, 0.55
0.43, 0.61
1.00, 0.67
0.00, 0.64
1.00, 0.57
0.00, 0.64
0.00, 0.54
0.86, 0.62
0.30, 0.70
1.00, 0.56
1.00, 0.67
0.50, 0.71
0.71, 0.59
0.86, 0.62
0.25, 0.58
1.00, 0.65
0.00, 0.41
1.00, 0.67
1.00, 0.48
0.86, 0.71
0.62, 0.66
0.60, 0.66
0.90, 0.56
0.00, 0.58
0.57, 0.68
0.86, 0.57
1.00, 0.60
0.86, 0.70
0.89, 0.66
0.00, 0.50
1.00, 0.63
1.00, 0.69
0.71, 0.75
1.00, 0.61
0.40, 0.46
0.62, 0.64
1.00, 0.71
0.00, 0.51
1.00, 0.57
0.33, 0.59
1.00, 0.62
0.75, 0.56
0.88, 0.57
0.62, 0.58
0.90, 0.59
0.89, 0.58
1.00, 0.60
0.10, 0.62
0.00, 0.59
1.00, 0.67
1.00, 0.67
1.00, 0.70
0.80, 0.58
0.12, 0.51
1.00, 0.65
0.88, 0.64
1.00, 0.62
1.00, 0.61
0.90, 0.66
1.00, 0.65
0.57, 0.53
1.00, 0.67
0.88, 0.70
0.00, 0.66
1.00, 0.68
0.00, 0.54
1.00, 0.63
1.00, 0.52
0.78, 0.72
1.00, 0.48
0.80, 0.61
1.00, 0.62
0.29, 0.59
1.00, 0.69
1.00, 0.64
0.00, 0.54
1.00, 0.60
1.00, 0.61
0.10, 0.59
0.90, 0.60
1.00, 0.63
1.00, 0.61
0.38, 0.51
0.14, 0.59
1.00, 0.64
0.90, 0.59
1.00, 0.68
0.22, 0.49
1.00, 0.61
0.86, 0.58
1.00, 0.69
1.00, 0.60
1.00, 0.59
1.00, 0.62
1.00, 0.66
0.00, 0.59
1.00, 0.57
1.00, 0.64
0.00, 0.48
0.86, 0.70
0.89, 0.61
1.00, 0.68
0.12, 0.49
1.00, 0.63
0.67, 0.72
0.67, 0.65
0.89, 0.57
0.50, 0.58
0.12, 0.59
1.00, 0.64
0.56, 0.56
1.00, 0.66
1.00, 0.65
1.00, 0.54
1.00, 0.61
1.00, 0.69
1.00, 0.60
1.00, 0.68
1.00, 0.58
0.86, 0.65
0.14, 0.67
0.86, 0.59
0.12, 0.63
0.00, 0.53
0.00, 0.61
0.00, 0.54
1.00, 0.58
1.00, 0.57
0.88, 0.58
0.29, 0.55
1.00, 0.64
0.00, 0.63
1.00, 0.69
1.00, 0.68
1.00, 0.64
0.00, 0.59
0.25, 0.54
0.00, 0.64
1.00, 0.58
0.80, 0.63
0.29, 0.64
1.00, 0.53
1.00, 0.56
1.00, 0.64
0.00, 0.47
0.29, 0.65
0.62, 0.50
1.00, 0.73
1.00, 0.61
1.00, 0.58
1.00, 0.64
1.00, 0.63
0.44, 0.65
0.78, 0.62
0.80, 0.61
1.00, 0.47
0.88, 0.61
0.00, 0.60
1.00, 0.64
1.00, 0.59
0.00, 0.45
1.00, 0.65
1.00, 0.58
0.60, 0.56
1.00, 0.59
0.00, 0.58
1.00, 0.67
0.71, 0.53
1.00, 0.65
0.00, 0.70
1.00, 0.61
1.00, 0.57
0.00, 0.66
1.00, 0.65
0.70, 0.64
1.00, 0.52
1.00, 0.67
1.00, 0.69
0.60, 0.50
0.86, 0.58
1.00, 0.53
1.00, 0.60
1.00, 0.65
1.00, 0.55
0.90, 0.59
0.43, 0.64
0.80, 0.60
1.00, 0.68
1.00, 0.49
1.00, 0.59
0.86, 0.55
1.00, 0.67
1.00, 0.63
1.00, 0.61
0.50, 0.74
1.00, 0.64
0.88, 0.62
1.00, 0.57
1.00, 0.63
1.00, 0.56
0.44, 0.66
1.00, 0.54
0.88, 0.60
0.71, 0.69
1.00, 0.65
0.40, 0.51
1.00, 0.60
0.00, 0.59
1.00, 0.63
0.88, 0.70
0.00, 0.54
0.00, 0.56
1.00, 0.59
0.90, 0.63
0.75, 0.68
1.00, 0.67
1.00, 0.62
0.00, 0.66
0.90, 0.64
1.00, 0.62
0.22, 0.53
1.00, 0.59
1.00, 0.62
0.25, 0.61
1.00, 0.59
0.50, 0.50
0.86, 0.59
1.00, 0.72
0.88, 0.69
0.14, 0.60
1.00, 0.63
0.75, 0.59
0.00, 0.55
1.00, 0.62
1.00, 0.66
1.00, 0.58
1.00, 0.69
0.88, 0.61
0.00, 0.58
1.00, 0.50
1.00, 0.59
0.86, 0.66
1.00, 0.52
1.00, 0.64
1.00, 0.65
0.56, 0.52
0.86, 0.65
1.00, 0.66
1.00, 0.47
0.43, 0.59
0.75, 0.56
0.67, 0.55
0.90, 0.54
1.00, 0.56
1.00, 0.67
1.00, 0.63
1.00, 0.72
0.20, 0.49
0.86, 0.67
0.25, 0.54
0.00, 0.30
1.00, 0.58
0.86, 0.71
1.00, 0.67
0.89, 0.55
0.86, 0.63
1.00, 0.69
1.00, 0.66
1.00, 0.69
1.00, 0.55
1.00, 0.58
1.00, 0.63
0.86, 0.63
1.00, 0.69
0.43, 0.42
0.00, 0.56
0.30, 0.58
0.00, 0.53
0.90, 0.52
1.00, 0.62
0.75, 0.61
1.00, 0.62
0.60, 0.55
1.00, 0.63
1.00, 0.61
1.00, 0.55
0.44, 0.70
1.00, 0.69
1.00, 0.63
1.00, 0.61
0.22, 0.54
1.00, 0.65
0.11, 0.64
0.12, 0.57
1.00, 0.69
0.00, 0.58
1.00, 0.68
1.00, 0.64
0.70, 0.47
1.00, 0.70
1.00, 0.67
0.00, 0.50
1.00, 0.65
1.00, 0.58
0.86, 0.65
1.00, 0.59
1.00, 0.50
0.70, 0.50
1.00, 0.67
0.88, 0.62
0.00, 0.51
1.00, 0.63
1.00, 0.72
0.86, 0.61
0.50, 0.60
1.00, 0.68
1.00, 0.61
0.88, 0.54
0.88, 0.59
1.00, 0.68
1.00, 0.61
1.00, 0.69
1.00, 0.68
1.00, 0.64
1.00, 0.59
0.90, 0.59
1.00, 0.65
0.00, 0.68
0.60, 0.53
1.00, 0.63
1.00, 0.73
0.00, 0.51
0.67, 0.49
0.12, 0.51
0.86, 0.57
0.90, 0.66
0.00, 0.59
0.38, 0.54
0.50, 0.53
0.86, 0.46
1.00, 0.62
0.10, 0.59
1.00, 0.60
1.00, 0.41
1.00, 0.71
1.00, 0.57
0.89, 0.63
1.00, 0.66
0.86, 0.67
0.00, 0.74
1.00, 0.66
0.57, 0.69
0.38, 0.49
1.00, 0.65
0.88, 0.56
0.88, 0.56
1.00, 0.58
1.00, 0.62
1.00, 0.66
1.00, 0.47
0.78, 0.65
0.86, 0.71
0.71, 0.59
1.00, 0.64
0.20, 0.58
1.00, 0.54
1.00, 0.65
1.00, 0.58
1.00, 0.57
1.00, 0.63
0.89, 0.60
1.00, 0.58
1.00, 0.55
0.00, 0.54
0.90, 0.52
1.00, 0.70
1.00, 0.65
0.88, 0.62
0.43, 0.74
1.00, 0.62
0.62, 0.68
1.00, 0.48
0.22, 0.50
1.00, 0.65
1.00, 0.65
0.00, 0.50
0.22, 0.52
1.00, 0.54
1.00, 0.50
0.56, 0.67
