Score, Predict
0.14, 0.59
0.71, 0.64
0.50, 0.63
1.00, 0.64
0.80, 0.66
1.00, 0.66
0.00, 0.59
1.00, 0.65
1.00, 0.65
0.62, 0.65
1.00, 0.66
1.00, 0.64
1.00, 0.64
0.38, 0.61
0.90, 0.67
0.00, 0.60
1.00, 0.65
0.00, 0.60
1.00, 0.62
0.00, 0.60
1.00, 0.67
0.00, 0.62
1.00, 0.66
1.00, 0.65
1.00, 0.66
0.80, 0.62
0.00, 0.59
0.88, 0.64
0.00, 0.59
1.00, 0.65
0.44, 0.64
0.25, 0.63
1.00, 0.61
0.50, 0.62
1.00, 0.63
1.00, 0.66
0.90, 0.65
1.00, 0.65
0.00, 0.59
1.00, 0.65
0.86, 0.62
0.22, 0.60
0.89, 0.63
1.00, 0.64
0.00, 0.59
0.90, 0.62
0.88, 0.66
1.00, 0.66
0.00, 0.59
0.00, 0.60
1.00, 0.62
1.00, 0.66
0.57, 0.66
0.71, 0.60
1.00, 0.65
0.56, 0.63
0.00, 0.60
0.89, 0.65
1.00, 0.64
1.00, 0.63
0.14, 0.64
1.00, 0.64
0.78, 0.62
1.00, 0.64
0.00, 0.62
1.00, 0.67
1.00, 0.65
0.00, 0.59
1.00, 0.63
1.00, 0.62
1.00, 0.63
1.00, 0.64
1.00, 0.65
0.71, 0.63
0.33, 0.62
0.43, 0.60
0.86, 0.63
1.00, 0.66
1.00, 0.64
0.43, 0.60
1.00, 0.64
0.14, 0.60
0.00, 0.59
1.00, 0.62
0.50, 0.62
1.00, 0.66
0.20, 0.60
1.00, 0.65
0.44, 0.62
1.00, 0.64
0.00, 0.61
0.43, 0.60
0.25, 0.61
1.00, 0.60
1.00, 0.60
0.89, 0.64
0.43, 0.63
0.00, 0.59
1.00, 0.62
0.56, 0.60
0.90, 0.63
1.00, 0.67
0.75, 0.66
1.00, 0.65
0.89, 0.60
1.00, 0.63
0.25, 0.59
1.00, 0.66
0.89, 0.61
1.00, 0.62
0.10, 0.61
0.90, 0.63
0.62, 0.65
1.00, 0.64
1.00, 0.67
0.71, 0.60
0.00, 0.60
0.22, 0.61
0.43, 0.63
1.00, 0.65
0.00, 0.59
0.12, 0.59
0.86, 0.65
0.60, 0.64
0.89, 0.65
1.00, 0.66
0.88, 0.62
0.14, 0.65
1.00, 0.62
0.30, 0.64
0.90, 0.65
0.22, 0.66
0.75, 0.64
1.00, 0.66
0.67, 0.63
0.00, 0.59
1.00, 0.66
0.56, 0.61
1.00, 0.66
1.00, 0.65
1.00, 0.64
0.56, 0.63
1.00, 0.64
1.00, 0.66
0.00, 0.61
0.22, 0.61
0.57, 0.61
0.50, 0.63
1.00, 0.64
1.00, 0.65
1.00, 0.65
1.00, 0.65
0.67, 0.63
0.22, 0.61
1.00, 0.60
1.00, 0.66
1.00, 0.65
0.00, 0.62
0.62, 0.63
1.00, 0.65
1.00, 0.64
1.00, 0.63
1.00, 0.66
1.00, 0.67
1.00, 0.67
1.00, 0.62
1.00, 0.64
0.00, 0.59
1.00, 0.64
1.00, 0.65
1.00, 0.65
1.00, 0.66
1.00, 0.64
1.00, 0.67
1.00, 0.62
1.00, 0.67
0.89, 0.67
1.00, 0.63
0.50, 0.61
1.00, 0.66
0.75, 0.61
0.14, 0.59
0.89, 0.64
0.88, 0.62
1.00, 0.65
1.00, 0.64
0.38, 0.62
0.12, 0.59
0.11, 0.59
1.00, 0.62
1.00, 0.63
0.25, 0.60
0.57, 0.60
1.00, 0.65
0.00, 0.59
1.00, 0.63
0.89, 0.65
1.00, 0.65
1.00, 0.65
0.86, 0.62
0.20, 0.59
0.57, 0.60
1.00, 0.65
1.00, 0.64
1.00, 0.64
0.10, 0.59
1.00, 0.64
0.43, 0.62
1.00, 0.65
0.90, 0.66
0.10, 0.59
1.00, 0.63
0.71, 0.64
0.20, 0.59
0.50, 0.61
1.00, 0.65
1.00, 0.65
0.86, 0.64
1.00, 0.63
0.86, 0.64
1.00, 0.66
1.00, 0.66
0.88, 0.65
1.00, 0.64
0.90, 0.62
1.00, 0.63
0.00, 0.59
1.00, 0.63
1.00, 0.63
0.00, 0.62
1.00, 0.64
0.70, 0.64
1.00, 0.64
0.78, 0.64
0.71, 0.66
1.00, 0.66
0.75, 0.63
0.30, 0.65
0.70, 0.65
0.00, 0.60
1.00, 0.63
0.86, 0.63
0.00, 0.59
1.00, 0.65
1.00, 0.65
1.00, 0.65
0.10, 0.64
0.86, 0.62
0.00, 0.59
1.00, 0.64
0.29, 0.60
0.71, 0.64
0.90, 0.64
0.12, 0.62
1.00, 0.63
1.00, 0.65
1.00, 0.65
0.71, 0.61
0.70, 0.62
0.10, 0.59
0.86, 0.64
1.00, 0.66
0.20, 0.60
1.00, 0.66
0.89, 0.64
0.90, 0.64
1.00, 0.63
0.00, 0.62
1.00, 0.65
0.00, 0.59
1.00, 0.65
0.12, 0.63
1.00, 0.63
1.00, 0.65
0.00, 0.59
1.00, 0.65
0.75, 0.64
1.00, 0.61
0.86, 0.65
1.00, 0.63
1.00, 0.64
0.90, 0.66
1.00, 0.64
1.00, 0.67
1.00, 0.63
0.71, 0.63
0.67, 0.63
1.00, 0.67
0.00, 0.60
1.00, 0.66
0.44, 0.62
0.00, 0.59
1.00, 0.64
1.00, 0.62
0.43, 0.66
0.86, 0.60
0.00, 0.59
1.00, 0.64
1.00, 0.66
0.00, 0.59
0.71, 0.63
1.00, 0.63
1.00, 0.65
0.57, 0.60
1.00, 0.64
0.00, 0.59
1.00, 0.66
0.71, 0.62
0.00, 0.65
1.00, 0.64
0.50, 0.60
0.86, 0.62
1.00, 0.64
0.89, 0.63
0.00, 0.59
0.10, 0.59
0.90, 0.64
0.57, 0.65
1.00, 0.64
1.00, 0.66
0.14, 0.61
0.78, 0.64
1.00, 0.64
1.00, 0.64
1.00, 0.64
0.86, 0.64
1.00, 0.63
0.38, 0.59
1.00, 0.60
1.00, 0.60
0.80, 0.65
1.00, 0.65
1.00, 0.65
1.00, 0.66
1.00, 0.62
1.00, 0.63
1.00, 0.64
1.00, 0.65
1.00, 0.65
1.00, 0.66
1.00, 0.65
1.00, 0.65
1.00, 0.66
0.75, 0.65
1.00, 0.66
1.00, 0.64
1.00, 0.66
0.86, 0.66
0.86, 0.63
0.89, 0.64
0.30, 0.60
1.00, 0.65
1.00, 0.64
1.00, 0.65
1.00, 0.63
1.00, 0.66
0.00, 0.59
0.00, 0.59
1.00, 0.65
1.00, 0.64
1.00, 0.64
1.00, 0.65
1.00, 0.63
0.30, 0.61
1.00, 0.64
0.75, 0.62
0.89, 0.66
0.20, 0.59
1.00, 0.65
0.78, 0.66
1.00, 0.63
1.00, 0.65
1.00, 0.65
0.00, 0.59
1.00, 0.60
1.00, 0.64
0.89, 0.62
1.00, 0.65
0.57, 0.61
0.00, 0.59
1.00, 0.65
0.00, 0.59
0.00, 0.61
1.00, 0.60
1.00, 0.61
1.00, 0.64
1.00, 0.62
0.25, 0.60
0.71, 0.62
1.00, 0.62
0.88, 0.66
0.00, 0.63
1.00, 0.60
0.00, 0.62
1.00, 0.66
1.00, 0.61
0.00, 0.59
0.11, 0.61
1.00, 0.65
1.00, 0.63
1.00, 0.66
1.00, 0.62
0.20, 0.64
1.00, 0.60
1.00, 0.62
1.00, 0.64
0.50, 0.60
0.00, 0.63
0.40, 0.60
1.00, 0.63
0.50, 0.61
1.00, 0.61
