Score, Predict
0.00, 0.60
0.88, 0.40
1.00, 0.62
0.90, 0.99
0.90, 0.80
0.00, 0.92
1.00, 0.92
0.62, 0.99
0.86, 0.95
1.00, 0.99
1.00, 0.92
1.00, 0.91
1.00, 0.97
1.00, 0.65
1.00, 0.80
1.00, 0.96
1.00, 0.91
0.80, 0.98
0.78, 0.87
1.00, 0.93
1.00, 0.98
0.90, 0.94
1.00, 0.85
0.50, 0.99
0.88, 0.98
0.78, 0.91
0.78, 0.71
1.00, 0.95
1.00, 0.98
1.00, 1.00
1.00, 0.98
0.90, 0.53
1.00, 1.00
1.00, 0.99
1.00, 0.98
0.88, 1.00
0.86, 0.99
1.00, 0.99
0.00, 0.39
0.86, 0.93
0.12, 0.49
0.11, 0.21
0.71, 0.97
1.00, 0.82
0.25, 0.92
0.67, 0.92
0.30, 0.31
0.62, 0.85
0.25, 0.27
0.00, 0.23
0.00, 0.96
1.00, 0.99
1.00, 1.00
0.00, 0.23
0.00, 0.28
0.88, 0.99
1.00, 0.98
0.00, 0.50
1.00, 0.97
0.71, 0.88
0.88, 0.95
0.71, 0.90
1.00, 0.93
1.00, 0.98
0.00, 0.34
1.00, 0.96
1.00, 0.75
0.29, 0.87
0.25, 0.48
0.12, 0.62
0.00, 0.48
1.00, 0.99
1.00, 0.85
0.89, 0.97
0.40, 0.99
0.30, 0.41
1.00, 0.95
1.00, 0.98
0.33, 0.31
0.86, 1.00
0.25, 0.98
1.00, 0.96
1.00, 0.99
1.00, 0.90
1.00, 0.99
1.00, 0.97
0.00, 0.49
0.75, 0.98
0.29, 0.93
1.00, 0.95
1.00, 0.82
1.00, 0.97
1.00, 0.78
1.00, 0.98
1.00, 0.90
0.00, 0.87
1.00, 0.98
1.00, 0.89
1.00, 0.92
0.30, 0.56
0.86, 0.92
0.00, 0.14
0.62, 0.96
0.78, 0.97
0.86, 0.94
0.90, 0.94
1.00, 0.83
1.00, 0.99
0.30, 0.98
1.00, 0.99
1.00, 0.73
1.00, 0.97
1.00, 0.95
1.00, 0.89
1.00, 0.96
0.40, 0.97
0.78, 0.51
0.80, 0.80
1.00, 0.46
1.00, 1.00
1.00, 0.96
0.00, 0.33
1.00, 0.88
1.00, 0.95
1.00, 0.83
1.00, 0.96
1.00, 0.90
0.86, 0.99
0.14, 0.85
0.89, 0.97
0.62, 0.37
0.00, 0.15
1.00, 0.91
0.14, 0.86
0.90, 0.99
0.00, 0.32
1.00, 0.93
1.00, 0.96
0.86, 0.95
1.00, 0.97
1.00, 1.00
0.88, 0.98
1.00, 0.97
0.43, 0.51
0.80, 0.95
1.00, 0.98
0.38, 0.64
1.00, 0.98
1.00, 0.91
0.12, 0.97
0.86, 0.76
1.00, 0.92
1.00, 0.97
0.29, 0.91
1.00, 0.95
0.40, 0.85
1.00, 0.99
1.00, 0.94
0.75, 0.66
0.30, 0.61
1.00, 0.90
0.00, 0.27
1.00, 0.89
1.00, 0.99
0.86, 0.97
0.00, 0.20
0.60, 0.85
0.62, 0.93
1.00, 0.97
0.14, 0.29
1.00, 0.92
1.00, 0.94
1.00, 0.97
0.43, 0.43
0.00, 0.36
1.00, 0.98
1.00, 0.98
1.00, 0.99
0.78, 0.42
1.00, 0.99
1.00, 0.96
0.78, 1.00
0.88, 0.58
0.10, 0.36
1.00, 0.99
0.00, 0.49
1.00, 0.98
0.88, 0.29
1.00, 0.95
0.00, 0.25
0.89, 0.98
1.00, 0.98
1.00, 0.90
0.33, 0.91
1.00, 0.85
0.00, 0.27
1.00, 0.99
0.75, 0.95
1.00, 0.97
1.00, 0.98
1.00, 0.91
1.00, 1.00
0.00, 0.15
1.00, 0.99
0.14, 0.88
0.86, 0.98
1.00, 0.92
1.00, 0.82
0.71, 0.87
0.62, 0.70
1.00, 0.93
1.00, 0.28
1.00, 0.86
1.00, 1.00
0.43, 0.96
0.38, 0.17
1.00, 0.97
0.88, 0.95
0.86, 0.99
1.00, 0.99
1.00, 1.00
1.00, 0.51
1.00, 0.99
1.00, 0.97
1.00, 0.94
1.00, 0.96
1.00, 0.96
0.78, 0.96
0.50, 0.31
0.00, 0.92
1.00, 0.99
0.00, 0.32
1.00, 1.00
0.00, 0.39
0.12, 0.78
0.00, 0.43
0.86, 0.97
1.00, 0.63
1.00, 0.97
0.71, 0.95
1.00, 1.00
0.00, 0.51
1.00, 0.93
0.57, 0.43
0.80, 0.92
0.90, 0.97
0.88, 0.97
1.00, 0.98
0.80, 0.98
0.88, 0.89
0.40, 0.79
0.89, 0.98
0.70, 0.38
1.00, 0.96
0.67, 0.84
1.00, 0.99
0.75, 0.90
0.86, 0.99
1.00, 0.96
1.00, 0.98
1.00, 0.99
0.88, 0.99
0.70, 0.92
1.00, 0.99
1.00, 0.98
1.00, 0.94
1.00, 0.55
0.80, 0.96
0.60, 0.36
0.29, 0.85
1.00, 0.96
1.00, 1.00
0.00, 0.88
1.00, 0.84
1.00, 0.98
0.00, 0.31
1.00, 0.68
1.00, 0.90
1.00, 0.80
0.80, 0.96
0.88, 0.99
0.43, 1.00
1.00, 0.28
0.88, 0.88
0.00, 0.34
0.25, 0.53
1.00, 0.93
1.00, 0.95
1.00, 0.31
1.00, 0.97
0.89, 0.96
1.00, 0.98
0.86, 0.99
1.00, 0.91
1.00, 0.76
1.00, 0.98
1.00, 0.22
0.12, 0.16
1.00, 0.82
0.80, 0.99
0.75, 0.98
1.00, 0.92
1.00, 0.99
1.00, 0.96
1.00, 0.79
0.78, 0.99
0.78, 0.93
0.86, 0.99
1.00, 0.50
1.00, 0.90
1.00, 0.96
0.86, 0.96
0.30, 0.86
1.00, 0.98
0.50, 0.93
1.00, 0.99
1.00, 0.99
0.00, 0.20
0.56, 0.98
0.70, 0.28
0.00, 0.84
1.00, 1.00
0.80, 0.92
1.00, 1.00
0.75, 0.96
1.00, 0.93
0.00, 0.41
1.00, 0.98
1.00, 0.92
0.00, 0.86
1.00, 0.89
0.43, 0.97
1.00, 0.94
0.88, 0.91
0.00, 0.17
1.00, 0.97
0.57, 0.92
1.00, 0.77
0.00, 0.95
1.00, 0.82
0.00, 0.25
1.00, 0.97
1.00, 0.99
0.00, 0.22
0.88, 0.97
1.00, 0.98
0.75, 0.37
1.00, 0.90
1.00, 1.00
0.70, 0.95
0.62, 0.93
1.00, 0.99
1.00, 0.87
1.00, 0.95
1.00, 0.98
1.00, 0.91
0.00, 0.10
1.00, 0.99
1.00, 0.98
1.00, 0.96
0.86, 0.94
0.86, 0.91
0.60, 0.85
1.00, 1.00
0.71, 0.24
0.10, 0.59
1.00, 0.98
1.00, 0.99
0.00, 0.47
0.57, 0.72
1.00, 0.86
1.00, 0.99
1.00, 0.98
0.71, 0.96
0.86, 0.94
0.00, 0.14
1.00, 0.85
0.00, 0.99
0.86, 0.96
1.00, 0.95
1.00, 0.94
0.00, 0.85
1.00, 0.84
0.25, 0.93
1.00, 0.93
0.86, 0.97
1.00, 0.89
1.00, 0.98
0.20, 0.14
1.00, 1.00
0.88, 0.94
0.75, 0.96
0.70, 0.42
1.00, 0.51
1.00, 0.95
1.00, 0.98
1.00, 0.86
0.86, 0.92
1.00, 0.85
1.00, 0.99
1.00, 0.95
0.86, 0.86
1.00, 0.95
1.00, 0.94
1.00, 0.90
0.44, 0.37
1.00, 0.94
1.00, 1.00
0.12, 0.23
0.00, 0.87
0.90, 0.96
1.00, 1.00
1.00, 0.98
0.70, 0.99
0.86, 0.98
0.14, 0.53
1.00, 0.96
0.00, 0.52
0.38, 0.87
0.75, 0.98
1.00, 0.96
0.00, 0.18
0.00, 0.34
0.70, 0.96
1.00, 0.97
1.00, 0.92
